date_obj,Wyvern%20bones price
2015-03-26,2206
2015-03-27,2206
2015-03-28,2197
2015-03-29,2233
2015-03-30,2267
2015-03-31,2292
2015-04-01,2299
2015-04-02,2323
2015-04-03,2301
2015-04-04,2262
2015-04-05,2222
2015-04-06,2222
2015-04-07,2230
2015-04-08,2234
2015-04-09,2217
2015-04-10,2229
2015-04-11,2255
2015-04-12,2283
2015-04-13,2314
2015-04-14,2333
2015-04-15,2363
2015-04-16,2441
2015-04-17,2464
2015-04-18,2447
2015-04-19,2406
2015-04-20,2395
2015-04-21,2392
2015-04-22,2421
2015-04-23,2423
2015-04-24,2444
2015-04-25,2467
2015-04-26,2501
2015-04-27,2551
2015-04-28,2590
2015-04-29,2613
2015-04-30,2672
2015-05-01,2757
2015-05-02,2757
2015-05-03,2677
2015-05-04,2666
2015-05-05,2603
2015-05-06,2595
2015-05-07,2570
2015-05-08,2599
2015-05-09,2625
2015-05-10,2633
2015-05-11,2652
2015-05-12,2670
2015-05-13,2694
2015-05-14,2602
2015-05-15,2611
2015-05-16,2609
2015-05-17,2614
2015-05-18,2592
2015-05-19,2578
2015-05-20,2538
2015-05-21,2549
2015-05-22,2617
2015-05-23,2627
2015-05-24,2630
2015-05-25,2568
2015-05-26,2541
2015-05-27,2601
2015-05-28,2640
2015-05-29,2635
2015-05-30,2661
2015-05-31,2653
2015-06-01,2637
2015-06-02,2624
2015-06-03,2630
2015-06-04,2655
2015-06-05,2709
2015-06-06,2748
2015-06-07,2746
2015-06-08,2742
2015-06-09,2754
2015-06-10,2743
2015-06-11,2709
2015-06-12,2656
2015-06-13,2673
2015-06-14,2662
2015-06-15,2629
2015-06-16,2598
2015-06-17,2619
2015-06-18,2622
2015-06-19,2591
2015-06-20,2556
2015-06-21,2528
2015-06-22,2523
2015-06-23,2523
2015-06-24,2439
2015-06-25,2423
2015-06-26,2354
2015-06-27,2338
2015-06-28,2365
2015-06-29,2439
2015-06-30,2526
2015-07-01,2581
2015-07-02,2607
2015-07-03,2525
2015-07-04,2475
2015-07-05,2468
2015-07-06,2463
2015-07-07,2470
2015-07-08,2484
2015-07-09,2541
2015-07-10,2478
2015-07-11,2434
2015-07-12,2418
2015-07-13,2438
2015-07-14,2458
2015-07-15,2427
2015-07-16,2440
2015-07-17,2439
2015-07-18,2425
2015-07-19,2351
2015-07-20,2337
2015-07-21,2359
2015-07-22,2356
2015-07-23,2392
2015-07-24,2395
2015-07-25,2401
2015-07-26,2428
2015-07-27,2414
2015-07-28,2462
2015-07-29,2530
2015-07-30,2581
2015-07-31,2620
2015-08-01,2646
2015-08-02,2633
2015-08-03,2623
2015-08-04,2681
2015-08-05,2745
2015-08-06,2818
2015-08-07,2858
2015-08-08,2888
2015-08-09,2853
2015-08-10,2857
2015-08-11,2907
2015-08-12,3016
2015-08-13,2965
2015-08-14,2923
2015-08-15,2782
2015-08-16,2695
2015-08-17,2691
2015-08-18,2822
2015-08-19,2882
2015-08-20,2970
2015-08-21,2902
2015-08-22,2894
2015-08-23,2853
2015-08-24,2835
2015-08-25,2840
2015-08-26,2884
2015-08-27,2874
2015-08-28,2891
2015-08-29,2895
2015-08-30,2918
2015-08-31,2921
2015-09-01,2968
2015-09-02,2891
2015-09-03,2940
2015-09-04,2965
2015-09-05,2972
2015-09-06,2981
2015-09-07,3054
2015-09-08,3055
2015-09-09,3032
2015-09-10,2958
2015-09-11,2991
2015-09-12,3067
2015-09-13,3017
2015-09-14,2985
2015-09-15,2955
2015-09-16,2986
2015-09-17,3012
2015-09-18,3055
2015-09-19,3039
2015-09-20,3038
2015-09-21,3005
2015-09-22,2987
2015-09-23,2989
2015-09-24,3046
2015-09-25,3063
2015-09-27,3048
2015-09-28,3000
2015-09-29,2997
2015-09-30,3005
2015-10-05,2957
2015-10-06,2953
