date_obj,Bandos%20chestplate price
2015-03-26,8786127
2015-03-27,8786127
2015-03-28,8809304
2015-03-29,8849196
2015-03-30,8964193
2015-03-31,9110944
2015-04-01,9163740
2015-04-02,9413001
2015-04-03,9429356
2015-04-04,9680863
2015-04-05,9807194
2015-04-06,9858198
2015-04-07,9847861
2015-04-08,9847861
2015-04-09,9786713
2015-04-10,9727236
2015-04-11,9692546
2015-04-12,9654131
2015-04-13,9625691
2015-04-14,9631007
2015-04-15,9679917
2015-04-16,9837602
2015-04-17,9929107
2015-04-18,10077158
2015-04-19,10050168
2015-04-20,10106820
2015-04-21,10306487
2015-04-22,10748757
2015-04-23,10881283
2015-04-24,11027612
2015-04-25,11144199
2015-04-26,11210314
2015-04-27,11298462
2015-04-28,11259721
2015-04-29,11259721
2015-04-30,11151109
2015-05-01,10944259
2015-05-02,10784249
2015-05-03,10784249
2015-05-04,10586257
2015-05-05,10435520
2015-05-06,10395908
2015-05-07,10502699
2015-05-08,10543552
2015-05-09,10571274
2015-05-10,10543289
2015-05-11,10543289
2015-05-12,10556514
2015-05-13,10600429
2015-05-14,10751981
2015-05-15,10941346
2015-05-16,11125965
2015-05-17,11348097
2015-05-18,11378385
2015-05-19,11397571
2015-05-20,11397571
2015-05-21,11424485
2015-05-22,11535966
2015-05-23,11563263
2015-05-24,11569444
2015-05-25,11434952
2015-05-26,11426455
2015-05-27,11402477
2015-05-28,11346349
2015-05-29,11320163
2015-05-30,11282489
2015-05-31,11276320
2015-06-01,11243552
2015-06-02,11240444
2015-06-03,11245378
2015-06-04,11233785
2015-06-05,11321920
2015-06-06,11499047
2015-06-07,11704221
2015-06-08,11685503
2015-06-09,11657365
2015-06-10,11635405
2015-06-11,11565781
2015-06-12,11258648
2015-06-13,10991062
2015-06-14,10946125
2015-06-15,10886612
2015-06-16,10832389
2015-06-17,10804499
2015-06-18,10776572
2015-06-19,10709423
2015-06-20,10583690
2015-06-21,10520488
2015-06-22,10160378
2015-06-23,10183124
2015-06-24,10187015
2015-06-25,10131621
2015-06-26,10046870
2015-06-27,10001066
2015-06-28,9986356
2015-06-29,9954751
2015-06-30,9982526
2015-07-01,10362700
2015-07-02,10529276
2015-07-03,10603698
2015-07-04,10541480
2015-07-05,10659700
2015-07-06,10681286
2015-07-07,10682401
2015-07-08,10701674
2015-07-09,10684133
2015-07-10,10694706
2015-07-11,10734096
2015-07-12,10756461
2015-07-13,10691240
2015-07-14,10861836
2015-07-15,11003977
2015-07-16,11040367
2015-07-17,11158476
2015-07-18,11144915
2015-07-19,11078658
2015-07-20,10912406
2015-07-21,10910887
2015-07-22,10898010
2015-07-23,10905898
2015-07-24,10967400
2015-07-25,10965032
2015-07-26,11121720
2015-07-27,11150008
2015-07-28,11084085
2015-07-29,11044066
2015-07-30,11051681
2015-07-31,11081628
2015-08-01,11394138
2015-08-02,11393754
2015-08-03,11413966
2015-08-04,11401054
2015-08-05,11423985
2015-08-06,11445711
2015-08-07,11489227
2015-08-08,11831435
2015-08-09,11838223
2015-08-10,11896696
2015-08-11,11893754
2015-08-12,11868608
2015-08-13,11854982
2015-08-14,11790884
2015-08-15,11944831
2015-08-16,11946522
2015-08-17,11870228
2015-08-18,11922738
2015-08-19,11798457
2015-08-20,11763868
2015-08-21,11847926
2015-08-22,11867070
2015-08-23,11942776
2015-08-24,11936742
2015-08-25,11927349
2015-08-26,11910845
2015-08-27,12387752
2015-08-28,12863288
2015-08-29,13319703
2015-08-30,13051663
2015-08-31,12750412
2015-09-01,12398823
2015-09-02,12327286
2015-09-03,12200121
2015-09-04,12263386
2015-09-05,12405875
2015-09-06,12397764
2015-09-07,12383771
2015-09-08,12374124
2015-09-09,12318160
2015-09-10,12319554
2015-09-11,12568394
2015-09-12,12936552
2015-09-13,13036111
2015-09-14,12895130
2015-09-15,12481746
2015-09-16,12245319
2015-09-17,11931780
2015-09-18,12068168
2015-09-19,12220728
2015-09-20,12294004
2015-09-21,12259387
2015-09-22,12181048
2015-09-23,12036078
2015-09-24,11895540
2015-09-25,11433251
2015-09-27,11589674
2015-09-28,11666506
2015-09-29,11845328
2015-09-30,12015645
2015-10-05,12481275
2015-10-06,12160431
2015-10-07,12048328
2015-10-08,12001706
2015-10-09,11997692
2015-10-10,11992476
2015-10-11,11947343
2015-10-12,11766126
2015-10-13,11849344
2015-10-14,11792517
2015-10-15,11718899
2015-10-16,11666858
2015-10-17,11681909
2015-10-18,11665313
2015-10-19,11644669
2015-10-20,11654880
2015-10-22,11762386
2015-10-23,11844263
2015-10-24,11825297
2015-10-25,11962505
2015-10-26,12221332
2015-10-27,12212767
2015-10-28,12325412
2015-10-29,12300313
2015-10-30,12292267
2015-10-31,12170720
2015-11-01,12085750
2015-11-02,11822915
2015-11-03,11675637
2015-11-04,11604516
2015-11-05,11473552
2015-11-06,11513960
2015-11-07,11607960
2015-11-08,11596032
2015-11-09,11571900
2015-11-10,11392912
2015-11-11,11256075
2015-11-12,11210955
2015-11-13,11279747
2015-11-14,11351865
2015-11-15,11405853
2015-11-16,11380312
2015-11-17,11349886
2015-11-18,11417022
2015-11-19,11511365
2015-11-20,11586084
2015-11-21,11599721
2015-11-22,11645996
2015-11-23,11730873
2015-11-24,11783983
2015-11-25,11895519
2015-11-26,11894426
2015-11-27,12126183
2015-11-28,12244019
2015-11-29,12358038
2015-11-30,12330057
2015-12-01,12381440
2015-12-02,12347356
2015-12-03,12289058
2015-12-04,12253498
2015-12-05,12209311
2015-12-06,12187541
2015-12-07,12330926
2015-12-08,12330599
2015-12-09,12282267
2015-12-10,12232572
2015-12-11,12260716
2015-12-12,12451610
2015-12-13,12516438
2015-12-14,12548422
2015-12-15,12615172
2015-12-16,12635814
2015-12-17,12640863
2015-12-18,12710817
2015-12-19,12747468
2015-12-20,12805871
2015-12-21,12880152
2015-12-22,13013622
2015-12-23,13207963
2015-12-24,13246985
2015-12-25,13528016
2015-12-26,13689492
2015-12-27,13625052
2015-12-28,13455196
2015-12-29,13003437
2015-12-30,12769241
2015-12-31,12726911
2016-01-01,12706770
