date_obj,Sleeping%20cap price
2015-03-26,25849
2015-03-27,25849
2015-03-28,25134
2015-03-29,25134
2015-03-30,24405
2015-03-31,24405
2015-04-01,24405
2015-04-02,23271
2015-04-03,23271
2015-04-04,22107
2015-04-05,22107
2015-04-06,21096
2015-04-07,21096
2015-04-08,21096
2015-04-09,20109
2015-04-10,20109
2015-04-11,19206
2015-04-12,19206
2015-04-13,18333
2015-04-14,18333
2015-04-15,18072
2015-04-16,18072
2015-04-17,18072
2015-04-18,17585
2015-04-19,17585
2015-04-20,17585
2015-04-21,17072
2015-04-22,17072
2015-04-23,17072
2015-04-24,16407
2015-04-25,16407
2015-04-26,16407
2015-04-27,15725
2015-04-28,15725
2015-04-29,15725
2015-04-30,15700
2015-05-01,15700
2015-05-02,15700
2015-05-03,15402
2015-05-04,15402
2015-05-05,14968
2015-05-06,14968
2015-05-07,14968
2015-05-08,14377
2015-05-09,14377
2015-05-10,14026
2015-05-11,14026
2015-05-12,14026
2015-05-13,14003
2015-05-14,14003
2015-05-15,14003
2015-05-16,13339
2015-05-17,13339
2015-05-18,12700
2015-05-19,12700
2015-05-20,12700
2015-05-21,12700
2015-05-22,12297
2015-05-23,12297
2015-05-24,12297
2015-05-25,11785
2015-05-26,11785
2015-05-27,11785
2015-05-28,11785
2015-05-29,11195
2015-05-30,11195
2015-05-31,10851
2015-06-01,10851
2015-06-02,10851
2015-06-03,10789
2015-06-04,10789
2015-06-05,10789
2015-06-06,10789
2015-06-07,10618
2015-06-08,10618
2015-06-09,10618
2015-06-10,10452
2015-06-11,10452
2015-06-12,10452
2015-06-13,10452
2015-06-14,10559
2015-06-15,10559
2015-06-16,10559
2015-06-17,10559
2015-06-18,10617
2015-06-19,10617
2015-06-20,10617
2015-06-21,10617
2015-06-22,10955
2015-06-23,10955
2015-06-24,10955
2015-06-25,10955
2015-06-26,11344
2015-06-27,11344
2015-06-28,11344
2015-06-29,11344
2015-06-30,11591
2015-07-01,11591
2015-07-02,11591
2015-07-03,11377
2015-07-04,11377
2015-07-05,11377
2015-07-06,11377
2015-07-07,11427
2015-07-08,11427
2015-07-09,11427
2015-07-10,11427
2015-07-11,11569
2015-07-12,11569
2015-07-13,11569
2015-07-14,11814
2015-07-15,11814
2015-07-16,11814
2015-07-17,12369
2015-07-18,12369
2015-07-19,12369
2015-07-20,12369
2015-07-21,12943
2015-07-22,12943
2015-07-23,12943
2015-07-24,13479
2015-07-25,13479
2015-07-26,13479
2015-07-27,14087
2015-07-28,14087
2015-07-29,14087
2015-07-30,14463
2015-07-31,14463
2015-08-01,14463
2015-08-02,14488
2015-08-03,14488
2015-08-04,14488
2015-08-05,14356
2015-08-06,14356
2015-08-07,14356
2015-08-08,14501
2015-08-09,14501
2015-08-10,14501
2015-08-11,14643
2015-08-12,14643
2015-08-13,14643
2015-08-14,14858
2015-08-15,14858
2015-08-16,14858
2015-08-17,14807
2015-08-18,14807
2015-08-19,14807
2015-08-20,14737
2015-08-21,14737
2015-08-22,14737
2015-08-23,14167
2015-08-24,14167
2015-08-25,14167
2015-08-26,14167
2015-08-27,14329
2015-08-28,14329
2015-08-29,14329
2015-08-30,14041
2015-08-31,14041
2015-09-01,14041
2015-09-02,13706
2015-09-03,13706
2015-09-04,13706
2015-09-05,14052
2015-09-06,14052
2015-09-07,14052
2015-09-08,14052
2015-09-09,13765
2015-09-10,13765
2015-09-11,13765
2015-09-12,13765
2015-09-13,13922
2015-09-14,13922
2015-09-15,13922
2015-09-16,13922
2015-09-17,14053
2015-09-18,14053
2015-09-19,14053
2015-09-20,14053
2015-09-21,14165
2015-09-22,14165
2015-09-23,14165
2015-09-24,14165
2015-09-25,14551
2015-09-27,14551
2015-09-28,14551
2015-09-29,14450
2015-09-30,14450
2015-10-05,14553
2015-10-06,14553
2015-10-07,15060
2015-10-08,15060
2015-10-09,15060
2015-10-10,15060
2015-10-11,15528
2015-10-12,15528
2015-10-13,15528
2015-10-14,15528
2015-10-15,15488
2015-10-16,15488
2015-10-17,15488
2015-10-18,15488
2015-10-19,15310
2015-10-20,15310
2015-10-22,15310
2015-10-23,15621
2015-10-24,15621
2015-10-25,15621
2015-10-26,16363
2015-10-27,16363
2015-10-29,16363
2015-10-30,16363
2015-10-31,16928
2015-11-01,16928
2015-11-02,16928
2015-11-03,16928
2015-11-04,16928
2015-11-05,17353
2015-11-06,17353
2015-11-07,17353
2015-11-08,17353
2015-11-09,17684
2015-11-10,17684
2015-11-11,17684
2015-11-12,17684
2015-11-13,17684
2015-11-14,18088
2015-11-15,18088
2015-11-16,18088
2015-11-17,18088
2015-11-18,18088
2015-11-19,18387
2015-11-20,18387
2015-11-21,18387
2015-11-22,18387
2015-11-23,18834
2015-11-24,18834
2015-11-25,18834
2015-11-26,18874
2015-11-27,18874
2015-11-28,18874
2015-11-29,18874
2015-11-30,19000
2015-12-01,19000
2015-12-02,19000
2015-12-03,19000
2015-12-04,19000
2015-12-05,19107
2015-12-06,19107
2015-12-07,19107
2015-12-08,19107
2015-12-09,19010
2015-12-10,19010
2015-12-11,19010
2015-12-12,19010
2015-12-13,19010
2015-12-14,19899
2015-12-15,19899
2015-12-16,19899
2015-12-17,19899
2015-12-18,19899
2015-12-19,19999
2015-12-20,19999
2015-12-21,19999
2015-12-22,19999
2015-12-23,20375
2015-12-24,20375
2015-12-25,20375
2015-12-26,20375
2015-12-27,21175
2015-12-28,21175
2015-12-29,21175
2015-12-30,21175
2015-12-31,21283
2016-01-01,21283
2016-01-02,21283
2016-01-03,21283
2016-01-04,21347
2016-01-05,21347
2016-01-06,21347
2016-01-07,21347
2016-01-08,20958
2016-01-09,20958
2016-01-10,20958
2016-01-11,20958
2016-01-12,20468
2016-01-13,20468
2016-01-14,20468
2016-01-15,20468
2016-01-16,19918
2016-01-17,19918
2016-01-18,19918
2016-01-19,19918
2016-01-20,19730
2016-01-21,19730
2016-01-22,19730
2016-01-23,19730
2016-01-24,19865
2016-01-25,19865
2016-01-26,19865
2016-01-27,19865
2016-01-28,19605
2016-01-29,19605
2016-01-30,19605
2016-01-31,19112
2016-02-01,19112
2016-02-02,19112
2016-02-03,19221
2016-02-04,19221
2016-02-05,19221
2016-02-06,18797
2016-02-07,18797
2016-02-08,18797
2016-02-09,18797
2016-02-10,18480
2016-02-11,18480
2016-02-12,18480
2016-02-13,18480
2016-02-14,18031
2016-02-15,18031
2016-02-16,18031
2016-02-17,18031
2016-02-18,18123
2016-02-19,18123
2016-02-20,18123
2016-02-21,17685
2016-02-22,17685
2016-02-23,17685
2016-02-24,17685
2016-02-25,17946
2016-02-26,17946
2016-02-27,17946
2016-02-28,17946
2016-02-29,18652
2016-03-01,18652
2016-03-02,18652
2016-03-03,18379
2016-03-04,18379
2016-03-05,18379
2016-03-06,18379
2016-03-07,18102
2016-03-08,18102
2016-03-09,18102
2016-03-10,18102
2016-03-11,17865
2016-03-12,17865
2016-03-13,17865
2016-03-14,17657
2016-03-15,17657
2016-03-16,17657
2016-03-17,17420
2016-03-18,17420
2016-03-19,17420
2016-03-20,17736
2016-03-21,17736
2016-03-22,17736
2016-03-23,17736
2016-03-24,17713
2016-03-25,17713
2016-03-26,17713
2016-03-27,17713
2016-03-28,16925
2016-03-29,16925
2016-03-30,16925
2016-03-31,16925
2016-04-01,16553
2016-04-02,16553
2016-04-03,16553
2016-04-04,16420
2016-04-05,16420
2016-04-06,16420
2016-04-07,16420
2016-04-08,16420
2016-04-09,16475
2016-04-10,16475
2016-04-11,16475
2016-04-12,16475
2016-04-13,15990
2016-04-14,15990
2016-04-15,15990
2016-04-16,15824
2016-04-17,15824
2016-04-18,15824
2016-04-19,15632
2016-04-20,15632
2016-04-21,15632
2016-04-22,15632
2016-04-23,15154
2016-04-24,15154
2016-04-25,15154
2016-04-26,15154
2016-04-27,15099
2016-04-28,15099
2016-04-29,15099
2016-04-30,15725
2016-05-01,15725
2016-05-02,15725
2016-05-03,16458
2016-05-04,16458
2016-05-05,16458
2016-05-06,16458
2016-05-07,17210
2016-05-08,17210
2016-05-09,17210
2016-05-10,17956
2016-05-11,17956
2016-05-12,17956
2016-05-13,17956
2016-05-14,18827
2016-05-15,18827
2016-05-16,18827
2016-05-17,19737
2016-05-18,19737
2016-05-19,19737
2016-05-22,20648
2016-05-23,21655
2016-05-24,21655
2016-05-25,21655
2016-05-26,22708
2016-05-27,22708
2016-05-28,22708
2016-05-29,23194
2016-05-30,23194
2016-05-31,23194
2016-06-01,24309
2016-06-02,24309
2016-06-03,24309
2016-06-04,25117
2016-06-05,25117
2016-06-06,25117
2016-06-07,25117
2016-06-08,25448
2016-06-09,25448
2016-06-10,25448
2016-06-11,26058
2016-06-12,26058
2016-06-13,26058
2016-06-14,26058
2016-06-15,26329
2016-06-16,26329
2016-06-17,26329
2016-06-18,26329
2016-06-19,25776
2016-06-20,25776
2016-06-21,25776
2016-06-22,25776
2016-06-23,25919
2016-06-24,25919
2016-06-25,25919
2016-06-26,25919
2016-06-27,25744
2016-06-28,25744
2016-06-29,25744
2016-06-30,25218
2016-07-01,25218
2016-07-02,25218
2016-07-03,24599
2016-07-04,24599
2016-07-05,24599
