date_obj,Elven%20top%20(yellow) price
2019-07-25,5000
2019-07-25,4908
2019-07-26,4908
2019-07-27,4823
2019-07-28,4823
2019-07-29,4723
2019-07-30,4723
2019-07-31,4829
2019-08-01,4829
2019-08-02,4829
2019-08-03,5070
2019-08-04,5070
2019-08-05,5070
2019-08-06,5280
2019-08-07,5280
2019-08-08,5280
2019-08-09,5280
2019-08-10,5431
2019-08-11,5431
2019-08-12,5431
2019-08-13,5231
2019-08-14,5231
2019-08-15,5231
2019-08-16,5040
2019-08-17,5040
2019-08-18,5040
2019-08-19,5040
2019-08-20,4951
2019-08-21,4951
2019-08-22,4951
2019-08-23,4951
2019-08-24,5017
2019-08-24,5017
2019-08-25,5017
2019-08-25,5017
2019-08-26,5017
2019-08-26,5017
2019-08-27,5017
2019-08-27,5017
2019-08-28,5017
2019-08-29,5125
2019-08-30,5125
2019-08-31,5125
2019-09-01,5125
2019-09-02,5125
2019-09-03,5370
2019-09-04,5370
2019-09-05,5370
2019-09-06,5370
2019-09-07,5370
2019-09-08,5624
2019-09-09,5624
2019-09-10,5624
2019-09-11,5624
2019-09-12,5624
2019-09-13,5624
2019-09-14,5887
2019-09-15,5887
2019-09-16,5887
2019-09-17,5887
2019-09-18,6046
2019-09-19,6046
2019-09-20,6046
2019-09-21,6046
2019-09-22,6046
2019-09-23,6113
2019-09-24,6113
2019-09-25,6113
2019-09-26,6113
2019-09-27,6113
2019-09-28,6295
2019-09-29,6295
2019-09-30,6295
2019-10-01,6295
2019-10-02,6295
2019-10-03,6295
2019-10-04,6247
2019-10-05,6247
2019-10-06,6247
2019-10-07,6247
2019-10-08,6247
2019-10-09,6247
2019-10-10,6349
2019-10-11,6349
2019-10-12,6349
2019-10-13,6349
2019-10-14,6349
2019-10-15,6438
2019-10-16,6438
2019-10-17,6438
2019-10-18,6438
2019-10-19,6438
2019-10-20,6471
2019-10-21,6471
2019-10-22,6471
2019-10-23,6471
2019-10-24,6471
2019-10-25,6471
2019-10-26,6583
2019-10-27,6583
2019-10-28,6583
2019-10-29,6583
2019-10-30,6583
2019-10-31,6583
2019-11-01,6512
2019-11-02,6512
2019-11-03,6512
2019-11-04,6512
2019-11-05,6512
2019-11-06,6512
2019-11-07,6615
2019-11-08,6615
2019-11-09,6615
2019-11-10,6615
2019-11-11,6615
2019-11-12,6625
2019-11-13,6625
2019-11-14,6625
2019-11-15,6625
2019-11-16,6625
2019-11-17,6625
2019-11-18,6542
2019-11-19,6542
2019-11-20,6542
2019-11-21,6542
2019-11-22,6542
2019-11-23,6542
2019-11-24,6502
2019-11-25,6502
2019-11-26,6502
2019-11-27,6502
2019-11-28,6502
2019-11-29,6566
2019-11-30,6566
2019-12-01,6566
2019-12-02,6566
2019-12-03,6566
2019-12-04,6734
2019-12-05,6734
2019-12-06,6734
2019-12-07,6734
2019-12-08,6734
2019-12-09,6734
2019-12-10,6756
2019-12-11,6756
2019-12-12,6756
2019-12-13,6756
2019-12-14,6756
2019-12-15,6756
2019-12-16,6659
2019-12-17,6659
2019-12-18,6659
2019-12-19,6659
2019-12-20,6659
2019-12-21,6659
2019-12-22,6503
2019-12-23,6503
2019-12-24,6503
2019-12-25,6503
2019-12-26,6503
2019-12-27,6515
2019-12-28,6515
2019-12-29,6515
2019-12-30,6515
2019-12-31,6515
2020-01-01,6515
2020-01-02,6661
2020-01-03,6661
2020-01-04,6661
2020-01-05,6661
2020-01-06,6661
2020-01-07,6661
2020-01-08,6581
2020-01-09,6581
