date_obj,Willow%20comp%20bow price
2015-03-26,10841
2015-03-27,10841
2015-03-28,10298
2015-03-29,9825
2015-03-30,9378
2015-03-31,9005
2015-04-01,9005
2015-04-02,8569
2015-04-03,8366
2015-04-04,7947
2015-04-05,7701
2015-04-06,7347
2015-04-07,7119
2015-04-08,7119
2015-04-09,6954
2015-04-10,6873
2015-04-11,6794
2015-04-12,6794
2015-04-13,6634
2015-04-14,6634
2015-04-15,6532
2015-04-16,6451
2015-04-17,6434
2015-04-18,6396
2015-04-19,6366
2015-04-20,6366
2015-04-21,6319
2015-04-22,6319
2015-04-23,6191
2015-04-24,6064
2015-04-25,6142
2015-04-26,6333
2015-04-27,6170
2015-04-28,6258
2015-04-29,6258
2015-04-30,6109
2015-05-01,6084
2015-05-02,5955
2015-05-03,5955
2015-05-04,5835
2015-05-05,5741
2015-05-06,5502
2015-05-07,5389
2015-05-08,5372
2015-05-09,5254
2015-05-10,5053
2015-05-11,5053
2015-05-12,4855
2015-05-13,4657
2015-05-14,4471
2015-05-15,4337
2015-05-16,4337
2015-05-17,4173
2015-05-18,3991
2015-05-19,3897
2015-05-20,3897
2015-05-21,3778
2015-05-22,3667
2015-05-23,3667
2015-05-24,3587
2015-05-25,3493
2015-05-26,3575
2015-05-27,3575
2015-05-28,3538
2015-05-29,3538
2015-05-30,3462
2015-05-31,3462
2015-06-01,3418
2015-06-02,3418
2015-06-03,3474
2015-06-04,3474
2015-06-05,3534
2015-06-06,3534
2015-06-07,3554
2015-06-08,3554
2015-06-09,3541
2015-06-10,3572
2015-06-11,3572
2015-06-12,3653
2015-06-13,3653
2015-06-14,3628
2015-06-15,3628
2015-06-16,3624
2015-06-17,3624
2015-06-18,3573
2015-06-19,3573
2015-06-20,3593
2015-06-21,3593
2015-06-22,3538
2015-06-23,3538
2015-06-24,3562
2015-06-25,3562
2015-06-26,3662
2015-06-27,3662
2015-06-28,3623
2015-06-29,3623
2015-06-30,3533
2015-07-01,3533
2015-07-02,3666
2015-07-03,3703
2015-07-04,3703
2015-07-05,3766
2015-07-06,3766
2015-07-07,3868
2015-07-08,4043
2015-07-09,4043
2015-07-10,4169
2015-07-11,4169
2015-07-12,4239
2015-07-13,4177
2015-07-14,4177
2015-07-15,4152
2015-07-16,4152
2015-07-17,4081
2015-07-18,4081
2015-07-19,3964
2015-07-20,3920
2015-07-21,3920
2015-07-22,3842
2015-07-23,3842
2015-07-24,3814
2015-07-25,3814
2015-07-26,3839
2015-07-27,3839
2015-07-28,3982
2015-07-29,3956
2015-07-30,3956
2015-07-31,3913
2015-08-01,3913
2015-08-02,3926
2015-08-03,3926
2015-08-04,3935
2015-08-05,3784
2015-08-06,3784
2015-08-07,3719
2015-08-08,3605
2015-08-09,3520
2015-08-10,3520
2015-08-11,3533
2015-08-12,3533
2015-08-13,3515
2015-08-14,3466
2015-08-15,3466
2015-08-16,3447
2015-08-17,3447
2015-08-18,3420
2015-08-19,3409
2015-08-20,3409
2015-08-21,3354
2015-08-22,3354
2015-08-23,3341
2015-08-24,3355
2015-08-25,3355
2015-08-26,3496
2015-08-27,3636
2015-08-28,3636
2015-08-29,3509
2015-08-30,3509
2015-08-31,3411
2015-09-01,3411
2015-09-02,3361
2015-09-03,3361
2015-09-04,3382
2015-09-05,3382
2015-09-06,3316
2015-09-07,3284
2015-09-08,3284
2015-09-09,3293
2015-09-10,3293
2015-09-11,3437
2015-09-12,3437
2015-09-13,3608
2015-09-14,3608
2015-09-15,3702
2015-09-16,3702
2015-09-17,3860
2015-09-18,3860
2015-09-19,3999
2015-09-20,3999
2015-09-21,4030
2015-09-22,4030
2015-09-23,3968
2015-09-24,3968
2015-09-25,3901
2015-09-27,3848
2015-09-28,3848
2015-09-29,4019
2015-09-30,4184
2015-10-05,4478
2015-10-06,4614
2015-10-07,4614
2015-10-08,4763
2015-10-09,4876
2015-10-10,4876
2015-10-11,5022
2015-10-12,5022
2015-10-13,5260
2015-10-14,5260
2015-10-15,5426
2015-10-16,5426
2015-10-17,5460
2015-10-18,5460
2015-10-19,5390
2015-10-20,5390
2015-10-22,5397
2015-10-23,5409
2015-10-24,5409
2015-10-25,5475
2015-10-26,5475
2015-10-27,5488
2015-10-29,5400
2015-10-30,5400
2015-10-31,5416
2015-11-01,5416
2015-11-02,5385
2015-11-03,5385
2015-11-05,5526
2015-11-06,5526
2015-11-07,5644
2015-11-08,5644
2015-11-09,5876
2015-11-10,5876
2015-11-11,6110
2015-11-12,6110
2015-11-13,6110
2015-11-14,6234
2015-11-15,6366
2015-11-16,6366
2015-11-17,6450
2015-11-18,6450
2015-11-19,6565
2015-11-20,6565
2015-11-21,6567
2015-11-22,6587
2015-11-23,6587
2015-11-24,6489
2015-11-25,6382
2015-11-26,6382
2015-11-27,6360
2015-11-28,6360
2015-11-29,6246
2015-11-30,6215
2015-12-01,6215
2015-12-02,6172
2015-12-03,6172
2015-12-04,6105
2015-12-05,6042
2015-12-06,6015
2015-12-07,6015
2015-12-08,6098
2015-12-09,5923
2015-12-10,5923
2015-12-11,5701
2015-12-13,5519
2015-12-14,5519
2015-12-15,5325
2015-12-16,5204
2015-12-17,5204
2015-12-18,5070
2015-12-19,5070
2015-12-20,4990
2015-12-21,4990
2015-12-22,4948
