date_obj,Spiked%20boots price
2015-03-26,995
2015-03-27,995
2015-03-28,995
2015-03-29,995
2015-03-30,995
2015-03-31,1030
2015-04-01,1030
2015-04-02,1030
2015-04-03,1030
2015-04-04,1030
2015-04-05,1030
2015-04-06,1057
2015-04-07,1057
2015-04-08,1057
2015-04-09,1057
2015-04-10,1057
2015-04-11,1057
2015-04-12,1106
2015-04-13,1106
2015-04-14,1106
2015-04-15,1106
2015-04-16,1106
2015-04-17,1106
2015-04-18,1157
2015-04-19,1157
2015-04-20,1157
2015-04-21,1157
2015-04-22,1157
2015-04-23,1157
2015-04-24,1157
2015-04-25,1208
2015-04-26,1208
2015-04-27,1208
2015-04-28,1208
2015-04-29,1208
2015-04-30,1208
2015-05-01,1262
2015-05-02,1262
2015-05-03,1262
2015-05-04,1262
2015-05-05,1262
2015-05-06,1262
2015-05-07,1322
2015-05-08,1322
2015-05-09,1322
2015-05-10,1322
2015-05-11,1322
2015-05-12,1322
2015-05-13,1322
2015-05-14,1388
2015-05-15,1388
2015-05-16,1388
2015-05-17,1388
2015-05-18,1388
2015-05-19,1388
2015-05-20,1388
2015-05-21,1457
2015-05-22,1457
2015-05-23,1457
2015-05-24,1457
2015-05-25,1457
2015-05-26,1457
2015-05-27,1526
2015-05-28,1526
2015-05-29,1526
2015-05-30,1526
2015-05-31,1526
2015-06-01,1599
2015-06-02,1599
2015-06-03,1599
2015-06-04,1599
2015-06-05,1599
2015-06-06,1599
2015-06-07,1677
2015-06-08,1677
2015-06-09,1677
2015-06-10,1677
2015-06-11,1677
2015-06-12,1677
2015-06-13,1756
2015-06-14,1756
2015-06-15,1756
2015-06-16,1756
2015-06-17,1756
2015-06-18,1756
2015-06-19,1841
2015-06-20,1841
2015-06-21,1841
2015-06-22,1841
2015-06-23,1841
2015-06-24,1933
2015-06-25,1933
2015-06-26,1933
2015-06-27,1933
2015-06-28,1933
2015-06-29,1933
2015-06-30,1992
2015-07-01,1992
2015-07-02,1992
2015-07-03,1992
2015-07-04,1992
2015-07-05,1992
2015-07-06,2065
2015-07-07,2065
2015-07-08,2065
2015-07-09,2065
2015-07-10,2065
2015-07-11,2065
2015-07-12,2023
2015-07-13,2023
2015-07-14,2023
2015-07-15,2023
2015-07-16,2023
2015-07-17,2104
2015-07-18,2104
2015-07-19,2104
2015-07-20,2104
2015-07-21,2104
2015-07-22,2184
2015-07-23,2184
2015-07-24,2184
2015-07-25,2184
2015-07-26,2184
2015-07-27,2184
2015-07-28,2248
2015-07-29,2248
2015-07-30,2248
2015-07-31,2248
2015-08-01,2248
2015-08-02,2333
2015-08-03,2333
2015-08-04,2333
2015-08-05,2333
2015-08-06,2333
2015-08-07,2333
2015-08-08,2402
2015-08-09,2402
2015-08-10,2402
2015-08-11,2402
2015-08-12,2402
2015-08-13,2402
