date_obj,Menaphite%20purple%20hat price
2015-03-05,1500
2015-03-06,1500
2015-03-07,1500
2015-03-08,1500
2015-03-09,1500
2015-03-10,1500
2015-03-11,1500
2015-03-12,1500
2015-03-13,1500
2015-03-14,1541
2015-03-15,1541
2015-03-16,1541
2015-03-17,1541
2015-03-18,1541
2015-03-19,1541
2015-03-20,1541
2015-03-21,1541
2015-03-22,1541
2015-03-23,1541
2015-03-24,1541
2015-03-25,1541
2015-03-26,1541
2015-03-27,1541
2015-03-28,1541
2015-03-29,1541
2015-03-30,1541
2015-03-31,1541
2015-04-01,1541
2015-04-02,1538
2015-04-03,1538
2015-04-04,1538
2015-04-05,1538
2015-04-06,1538
2015-04-07,1538
2015-04-08,1538
2015-04-09,1538
2015-04-10,1538
2015-04-11,1538
2015-04-12,1538
2015-04-13,1538
2015-04-14,1538
2015-04-15,1538
2015-04-16,1538
2015-04-17,1538
2015-04-18,1518
2015-04-19,1518
2015-04-20,1518
2015-04-21,1518
2015-04-22,1518
2015-04-23,1518
2015-04-24,1518
2015-04-25,1518
2015-04-26,1518
2015-04-27,1518
2015-04-28,1518
2015-04-29,1518
2015-04-30,1518
2015-05-01,1518
2015-05-02,1518
2015-05-03,1518
2015-05-04,1518
2015-05-05,1518
2015-05-06,1518
2015-05-07,1518
2015-05-08,1509
2015-05-09,1509
2015-05-10,1509
2015-05-11,1509
2015-05-12,1509
2015-05-13,1509
2015-05-14,1509
2015-05-15,1509
2015-05-16,1509
2015-05-17,1509
2015-05-18,1509
2015-05-19,1509
2015-05-20,1509
2015-05-21,1509
2015-05-22,1509
2015-05-23,1509
2015-05-24,1509
2015-05-25,1509
2015-05-26,1509
2015-05-27,1509
2015-05-28,1547
2015-05-29,1547
2015-05-30,1547
2015-05-31,1547
2015-06-01,1547
2015-06-02,1547
2015-06-03,1547
2015-06-04,1547
2015-06-05,1547
2015-06-06,1547
2015-06-07,1547
2015-06-08,1547
2015-06-09,1547
2015-06-10,1547
2015-06-11,1547
2015-06-12,1547
2015-06-13,1576
2015-06-14,1576
2015-06-15,1576
2015-06-16,1576
2015-06-17,1576
2015-06-18,1576
2015-06-19,1576
2015-06-20,1576
2015-06-21,1576
2015-06-22,1576
2015-06-23,1576
2015-06-24,1576
2015-06-25,1570
2015-06-26,1570
2015-06-27,1570
2015-06-28,1570
2015-06-29,1570
2015-06-30,1570
2015-07-01,1570
2015-07-02,1570
2015-07-03,1570
2015-07-04,1570
2015-07-05,1549
2015-07-06,1549
2015-07-07,1549
2015-07-08,1549
2015-07-09,1549
2015-07-10,1549
2015-07-11,1549
2015-07-12,1549
2015-07-13,1549
2015-07-14,1549
2015-07-15,1532
2015-07-16,1532
2015-07-17,1532
2015-07-18,1532
2015-07-19,1532
2015-07-20,1532
2015-07-21,1532
2015-07-22,1532
2015-07-23,1532
2015-07-24,1491
2015-07-25,1491
2015-07-26,1491
2015-07-27,1491
2015-07-28,1491
2015-07-29,1491
2015-07-30,1491
2015-07-31,1491
2015-08-01,1491
2015-08-02,1450
2015-08-03,1450
2015-08-04,1450
2015-08-05,1450
2015-08-06,1450
2015-08-07,1450
2015-08-08,1450
2015-08-09,1450
2015-08-10,1450
2015-08-11,1472
2015-08-12,1472
2015-08-13,1472
2015-08-14,1472
2015-08-15,1472
2015-08-16,1472
2015-08-17,1472
2015-08-18,1472
2015-08-19,1472
2015-08-20,1472
2015-08-21,1493
2015-08-22,1493
2015-08-23,1493
2015-08-24,1493
2015-08-25,1493
2015-08-26,1493
2015-08-27,1493
2015-08-28,1493
2015-08-29,1493
2015-08-30,1493
2015-08-31,1493
2015-09-02,1463
2015-09-07,1463
2015-09-08,1463
2015-09-10,1463
2015-09-14,1449
2015-09-16,1449
2015-09-22,1448
2015-09-23,1448
2015-09-24,1448
2015-09-25,1448
2015-09-27,1448
2015-09-28,1448
2015-09-29,1448
