date_obj,Hat%20eyepatch price
2015-03-26,525000
2015-03-27,525000
2015-03-28,525000
2015-03-29,525000
2015-03-30,525000
2015-03-31,525000
2015-04-01,525000
2015-04-02,525000
2015-04-03,525000
2015-04-04,525000
2015-04-05,525000
2015-04-06,525000
2015-04-07,525000
2015-04-08,525000
2015-04-09,525000
2015-04-10,525000
2015-04-11,525000
2015-04-12,525000
2015-04-13,525000
2015-04-14,525000
2015-04-15,525000
2015-04-16,525000
2015-04-17,525000
2015-04-18,525000
2015-04-19,525000
2015-04-20,525000
2015-04-21,525000
2015-04-22,525000
2015-04-23,525000
2015-04-24,525000
2015-04-25,525000
2015-04-26,525000
2015-04-27,525000
2015-04-28,525000
2015-04-29,525000
2015-04-30,525000
2015-05-01,525000
2015-05-02,525000
2015-05-03,525000
2015-05-04,525000
2015-05-05,525000
2015-05-06,525000
2015-05-07,525000
2015-05-08,525000
2015-05-09,499275
2015-05-10,499275
2015-05-11,499275
2015-05-12,499275
2015-05-13,499275
2015-05-14,499275
2015-05-15,499275
2015-05-16,499275
2015-05-17,499275
2015-05-18,499275
2015-05-19,499275
2015-05-20,499275
2015-05-21,499275
2015-05-22,499275
2015-05-23,499275
2015-05-24,499275
2015-05-25,499275
2015-05-26,499275
2015-05-27,499275
2015-05-28,499275
2015-05-29,499275
2015-05-30,499275
2015-05-31,499275
2015-06-01,474564
2015-06-02,474564
2015-06-03,474564
2015-06-04,474564
2015-06-05,474564
2015-06-06,474564
2015-06-07,474564
2015-06-08,474564
2015-06-09,474564
2015-06-10,474564
2015-06-11,474564
2015-06-12,474564
2015-06-13,474564
2015-06-14,474564
2015-06-15,474564
2015-06-16,474564
2015-06-17,474564
2015-06-18,474564
2015-06-19,474564
2015-06-20,474564
2015-06-21,474564
2015-06-22,474564
2015-06-23,474564
2015-06-24,451360
2015-06-25,451360
2015-06-26,451360
2015-06-27,451360
2015-06-28,451360
2015-06-29,451360
2015-06-30,451360
2015-07-01,451360
2015-07-02,451360
2015-07-03,451360
2015-07-04,451360
2015-07-05,451360
2015-07-06,451360
2015-07-07,451360
2015-07-08,451360
2015-07-09,451360
2015-07-10,451360
2015-07-11,451360
2015-07-12,451360
2015-07-13,451360
2015-07-14,451360
2015-07-15,451360
2015-07-16,451360
2015-07-17,451360
2015-07-18,451360
2015-07-19,451360
2015-07-20,451360
2015-07-21,451360
2015-07-22,431122
2015-07-23,431122
2015-07-24,431122
2015-07-25,431122
2015-07-26,431122
2015-07-27,431122
2015-07-28,431122
2015-07-29,431122
2015-07-30,431122
2015-07-31,431122
2015-08-01,431122
2015-08-02,431122
2015-08-03,431122
2015-08-04,431122
2015-08-05,431122
2015-08-06,431122
2015-08-07,431122
2015-08-08,431122
2015-08-09,431122
2015-08-10,431122
2015-08-11,431122
2015-08-12,431122
2015-08-13,431122
2015-08-14,431122
2015-08-15,431122
2015-08-16,431122
2015-08-17,431122
2015-08-18,410548
2015-08-19,410548
2015-08-20,410548
2015-08-21,410548
2015-08-22,410548
2015-08-23,410548
2015-08-24,410548
2015-08-25,410548
2015-08-26,410548
2015-08-27,410548
2015-08-28,410548
2015-08-29,410548
2015-08-30,410548
2015-08-31,410548
2015-09-01,410548
2015-09-02,410548
2015-09-03,410548
2015-09-04,410548
2015-09-05,410548
2015-09-06,410548
2015-09-07,410548
2015-09-08,410548
2015-09-09,410548
2015-09-10,410548
2015-09-11,410548
2015-09-12,410548
2015-09-13,410548
2015-09-14,410548
2015-09-15,410548
2015-09-16,410548
2015-09-17,410548
2015-09-18,410548
2015-09-19,390995
2015-09-20,390995
2015-09-21,390995
2015-09-22,390995
2015-09-23,390995
2015-09-24,390995
2015-09-25,390995
2015-09-27,390995
2015-09-28,390995
2015-09-29,390995
2015-09-30,390995
2015-10-05,390995
2015-10-06,390995
2015-10-07,390995
2015-10-08,390995
2015-10-09,390995
2015-10-10,390995
2015-10-11,371783
2015-10-12,371783
2015-10-13,371783
2015-10-14,371783
2015-10-15,371783
2015-10-16,371783
2015-10-17,371783
2015-10-18,371783
2015-10-19,371783
2015-10-20,371783
2015-10-22,371783
2015-10-23,371783
2015-10-24,371783
2015-10-25,371783
2015-10-26,371783
2015-10-27,371783
2015-10-29,371783
2015-10-30,371783
2015-10-31,371783
2015-11-01,371783
2015-11-02,371783
2015-11-03,371783
2015-11-04,371783
2015-11-05,371783
2015-11-06,371783
2015-11-07,371783
