date_obj,Blue%20d'hide%20chaps price
2016-02-13,2570
2016-02-14,2474
2016-02-15,2435
2016-02-16,2461
2016-02-17,2491
2016-02-18,2416
2016-02-19,2391
2016-02-20,2431
2016-02-21,2417
2016-02-22,2426
2016-02-23,2450
2016-02-24,2509
2016-02-25,2443
2016-02-26,2408
2016-02-27,2455
2016-02-28,2407
2016-02-29,2392
2016-03-01,2402
2016-03-02,2443
2016-03-03,2423
2016-03-04,2436
2016-03-05,2418
2016-03-06,2390
2016-03-07,2359
2016-03-08,2396
2016-03-09,2455
2016-03-10,2458
2016-03-11,2407
2016-03-12,2372
2016-03-13,2333
2016-03-14,2367
2016-03-15,2378
2016-03-16,2362
2016-03-17,2383
2016-03-18,2492
2016-03-19,2616
2016-03-20,2621
2016-03-21,2583
2016-03-22,2537
2016-03-23,2433
2016-03-24,2397
2016-03-25,2342
2016-03-26,2362
2016-03-27,2344
2016-03-28,2321
2016-03-29,2382
2016-03-30,2381
2016-03-31,2409
2016-04-01,2433
2016-04-02,2414
2016-04-03,2403
2016-04-04,2374
2016-04-05,2349
2016-04-06,2411
2016-04-07,2458
2016-04-08,2459
2016-04-09,2423
2016-04-10,2389
2016-04-11,2389
2016-04-12,2361
2016-04-13,2403
2016-04-14,2455
2016-04-15,2516
2016-04-16,2558
2016-04-17,2576
2016-04-18,2514
2016-04-19,2515
2016-04-20,2461
2016-04-21,2425
2016-04-22,2379
2016-04-23,2404
2016-04-24,2362
2016-04-25,2360
2016-04-26,2388
2016-04-27,2380
2016-04-28,2359
2016-04-29,2383
2016-04-30,2396
2016-05-01,2351
2016-05-02,2407
2016-05-03,2450
2016-05-04,2378
2016-05-05,2294
2016-05-06,2232
2016-05-07,2270
2016-05-08,2260
2016-05-09,2301
2016-05-10,2330
2016-05-11,2364
2016-05-12,2354
2016-05-13,2362
2016-05-14,2361
2016-05-15,2364
2016-05-16,2359
2016-05-17,2367
2016-05-18,2392
2016-05-19,2428
2016-05-22,2459
2016-05-23,2455
2016-05-24,2447
2016-05-25,2396
2016-05-26,2396
2016-05-27,2369
2016-05-28,2358
2016-05-29,2385
2016-05-30,2436
2016-05-31,2427
2016-06-01,2389
2016-06-02,2354
2016-06-03,2371
2016-06-04,2368
2016-06-05,2371
2016-06-06,2389
2016-06-07,2443
2016-06-08,2452
2016-06-09,2399
2016-06-10,2407
2016-06-11,2393
2016-06-12,2385
2016-06-13,2338
