date_obj,Amulet%20of%20bounty price
2017-02-01,9501
2017-02-02,9029
2017-02-03,9029
2017-02-04,8577
2017-02-05,8577
2017-02-06,8577
2017-02-07,8577
2017-02-08,8148
2017-02-09,8148
2017-02-10,8148
2017-02-11,8148
2017-02-12,8148
2017-02-13,7756
2017-02-14,7756
2017-02-15,7756
2017-02-16,7756
2017-02-17,7756
2017-02-18,7756
2017-02-19,7756
2017-02-20,7369
2017-02-21,7369
2017-02-22,7369
2017-02-23,7369
2017-02-24,7369
2017-02-25,7369
2017-02-26,7369
2017-02-27,7369
2017-02-28,7369
2017-03-01,7017
2017-03-02,7017
2017-03-03,7017
2017-03-04,7017
2017-03-05,7017
2017-03-06,7017
2017-03-07,7017
2017-03-08,7017
2017-03-09,7017
2017-03-10,6669
2017-03-11,6669
2017-03-12,6669
2017-03-13,6669
2017-03-14,6669
2017-03-15,6669
2017-03-16,6669
2017-03-17,6669
2017-03-18,6669
2017-03-19,6669
2017-03-20,6338
2017-03-21,6338
2017-03-22,6338
2017-03-23,6338
2017-03-24,6338
2017-03-25,6338
2017-03-26,6338
2017-03-27,6338
2017-03-28,6338
2017-03-29,6338
2017-03-30,6338
2017-03-31,6338
2017-04-01,6024
2017-04-02,6024
2017-04-03,6024
2017-04-04,6024
2017-04-05,6024
2017-04-12,400
2017-04-13,400
2017-04-14,400
2017-04-15,400
2017-04-16,400
2017-04-17,400
2017-04-18,400
2017-04-19,400
2017-04-20,400
2017-04-21,400
2017-04-22,400
2017-04-23,400
2017-04-24,400
2017-04-25,397
2017-04-26,397
2017-04-27,397
2017-04-28,397
2017-04-29,397
2017-04-30,397
2017-05-01,397
2017-05-02,397
2017-05-03,397
2017-05-04,397
2017-05-05,397
2017-05-06,397
2017-05-07,397
2017-05-08,397
2017-05-09,397
2017-05-10,397
2017-05-11,397
2017-05-12,397
2017-05-13,397
2017-05-14,397
2017-05-15,397
2017-05-16,391
2017-05-17,391
2017-05-18,391
2017-05-19,391
2017-05-20,391
2017-05-21,391
2017-05-22,391
2017-05-23,391
2017-05-24,391
2017-05-25,391
2017-05-26,391
2017-05-27,391
2017-05-28,391
2017-05-29,391
2017-05-30,391
2017-05-31,391
2017-06-01,391
2017-06-02,391
2017-06-03,391
2017-06-04,391
2017-06-05,391
2017-06-06,392
2017-06-07,392
2017-06-08,392
2017-06-09,392
2017-06-10,392
2017-06-11,392
2017-06-12,392
2017-06-13,392
2017-06-14,392
2017-06-15,392
2017-06-16,392
2017-06-17,392
2017-06-18,392
2017-06-19,392
2017-06-20,392
2017-06-21,392
2017-06-22,392
2017-06-23,392
2017-06-24,392
2017-06-25,392
2017-06-26,392
2017-06-27,392
2017-06-28,392
2017-06-29,398
2017-06-30,398
2017-07-01,398
2017-07-02,398
2017-07-03,398
2017-07-04,398
2017-07-05,398
2017-07-06,398
2017-07-07,398
2017-07-08,398
2017-07-09,398
2017-07-13,398
2017-07-14,398
2017-07-15,398
2017-07-16,398
2017-07-17,398
2017-07-18,398
2017-07-19,398
2017-07-20,398
2017-07-21,398
2017-07-22,398
2017-07-23,398
2017-07-24,398
2017-07-25,398
2017-07-26,398
2017-07-27,392
2017-07-28,392
2017-07-29,392
2017-07-30,392
2017-07-31,392
