date_obj,Dragonfruit price
2019-01-10,3500
2019-01-10,3675
2019-01-11,3859
2019-01-12,4022
2019-01-13,3827
2019-01-14,3635
2019-01-15,3453
2019-01-16,3282
2019-01-17,3117
2019-01-18,2968
2019-01-19,2819
2019-01-20,2678
2019-01-21,2544
2019-01-22,2416
2019-01-23,2295
2019-01-24,2180
2019-01-25,2071
2019-01-26,1967
2019-01-27,1868
2019-01-28,1774
2019-01-29,1685
2019-01-30,1600
2019-01-31,1520
2019-02-01,1444
2019-02-02,1371
2019-02-03,1302
2019-02-04,1236
2019-02-05,1174
2019-02-06,1115
2019-02-07,1064
2019-02-08,1010
2019-02-09,959
2019-02-10,912
2019-02-11,866
2019-02-12,828
2019-02-13,818
2019-02-14,826
2019-02-15,823
2019-02-16,818
2019-02-17,827
2019-02-18,823
2019-02-19,833
2019-02-20,857
2019-02-21,877
2019-02-22,892
2019-02-23,916
2019-02-24,873
2019-02-25,857
2019-02-26,855
2019-02-27,853
2019-02-28,821
2019-03-01,785
2019-03-02,764
2019-03-03,738
2019-03-04,711
2019-03-05,675
2019-03-06,651
2019-03-07,640
2019-03-08,640
2019-03-09,668
2019-03-10,680
2019-03-11,706
2019-03-12,735
2019-03-13,767
2019-03-14,806
2019-03-15,847
2019-03-16,890
2019-03-17,935
2019-03-18,982
2019-03-19,1028
2019-03-20,997
2019-03-21,947
2019-03-22,909
2019-03-23,935
2019-03-24,949
2019-03-25,949
2019-03-26,945
2019-03-27,931
2019-03-28,920
2019-03-29,900
2019-03-30,900
2019-03-31,860
2019-04-01,842
2019-04-02,854
2019-04-03,870
2019-04-04,856
2019-04-05,844
2019-04-06,810
2019-04-07,801
2019-04-08,806
2019-04-09,833
2019-04-10,836
2019-04-11,846
2019-04-12,819
2019-04-13,789
2019-04-14,755
2019-04-15,732
2019-04-16,705
2019-04-17,685
2019-04-18,653
2019-04-19,626
2019-04-20,615
2019-04-21,605
2019-04-22,593
2019-04-23,603
2019-04-24,592
2019-04-25,612
2019-04-26,643
2019-04-27,654
2019-04-28,675
2019-04-29,664
