date_obj,Desert%20goat%20horn price
2016-02-05,127
2016-02-06,121
2016-02-07,121
2016-02-08,121
2016-02-09,121
2016-02-10,115
2016-02-11,115
2016-02-12,115
2016-02-13,115
2016-02-14,109
2016-02-15,109
2016-02-16,109
2016-02-17,109
2016-02-18,104
2016-02-19,104
2016-02-20,104
2016-02-21,99
2016-02-22,99
2016-02-23,99
2016-02-24,99
2016-02-25,99
2016-02-26,95
2016-02-27,95
2016-02-28,95
2016-03-01,94
2016-03-02,94
2016-03-03,94
2016-03-04,94
2016-03-05,93
2016-03-06,93
2016-03-07,93
2016-03-08,93
2016-03-09,92
2016-03-10,92
2016-03-11,92
2016-03-12,92
2016-03-13,92
2016-03-14,92
2016-03-15,92
2016-03-16,92
2016-03-17,90
2016-03-18,90
2016-03-19,90
2016-03-20,91
2016-03-21,91
2016-03-22,91
2016-03-23,91
2016-03-24,91
2016-03-25,95
2016-03-26,95
2016-03-27,95
2016-03-28,95
2016-03-29,96
2016-03-30,96
2016-03-31,96
2016-04-01,96
2016-04-02,96
2016-04-03,95
2016-04-04,95
2016-04-05,95
2016-04-06,95
2016-04-07,90
2016-04-08,90
2016-04-09,90
2016-04-10,90
2016-04-11,90
2016-04-12,90
2016-04-13,90
2016-04-14,90
2016-04-15,85
2016-04-16,85
2016-04-17,85
2016-04-18,85
2016-04-19,83
2016-04-20,83
2016-04-21,83
2016-04-22,83
2016-04-23,83
2016-04-24,82
2016-04-25,82
2016-04-26,82
2016-04-27,82
2016-04-28,85
2016-04-29,85
2016-04-30,85
2016-05-01,85
2016-05-02,85
2016-05-03,82
2016-05-04,82
2016-05-05,82
2016-05-06,82
2016-05-07,81
2016-05-08,81
2016-05-09,81
2016-05-10,81
2016-05-11,81
2016-05-12,78
2016-05-13,78
2016-05-14,78
2016-05-15,78
2016-05-16,78
2016-05-17,78
2016-05-18,78
2016-05-19,81
2016-05-22,81
2016-05-23,85
2016-05-24,85
2016-05-25,85
2016-05-26,85
2016-05-27,86
2016-05-28,86
2016-05-29,86
2016-05-30,86
2016-05-31,90
2016-06-01,90
2016-06-02,90
2016-06-03,90
2016-06-04,95
2016-06-05,95
2016-06-06,95
2016-06-07,95
2016-06-08,100
2016-06-09,100
2016-06-10,100
2016-06-11,100
2016-06-12,105
2016-06-13,105
2016-06-14,105
2016-06-15,105
2016-06-16,104
2016-06-17,104
2016-06-18,104
2016-06-19,110
2016-06-20,110
2016-06-21,110
2016-06-22,110
2016-06-23,116
2016-06-24,116
2016-06-25,116
2016-06-26,116
2016-06-27,122
2016-06-28,122
2016-06-29,122
2016-06-30,122
2016-07-01,129
2016-07-02,129
2016-07-03,129
2016-07-04,129
2016-07-05,136
2016-07-06,136
2016-07-07,136
2016-07-08,136
2016-07-09,133
2016-07-10,133
2016-07-11,133
2016-07-12,133
2016-07-13,137
2016-07-14,137
2016-07-15,137
2016-07-16,137
2016-07-17,144
2016-07-18,144
2016-07-23,152
2016-07-24,152
2016-07-25,152
2016-07-26,152
2016-07-27,158
2016-07-28,158
2016-07-29,158
2016-07-30,158
2016-07-31,152
2016-08-01,152
2016-08-02,152
2016-08-03,152
2016-08-04,146
2016-08-05,146
2016-08-06,146
2016-08-07,146
2016-08-08,146
2016-08-09,138
2016-08-10,138
2016-08-11,138
2016-08-12,138
2016-08-13,138
2016-08-14,132
2016-08-15,132
2016-08-16,132
2016-08-17,132
2016-08-18,132
2016-08-19,129
2016-08-20,129
2016-08-21,129
