date_obj,Cup%20of%20water price
2015-03-04,200
2015-03-05,200
2015-03-06,200
2015-03-07,200
2015-03-08,200
2015-03-09,200
2015-03-10,200
2015-03-11,200
2015-03-12,200
2015-03-13,200
2015-03-14,200
2015-03-15,200
2015-03-16,200
2015-03-17,200
2015-03-18,200
2015-03-19,200
2015-03-20,200
2015-03-21,200
2015-03-22,200
2015-03-23,200
2015-03-24,200
2015-03-25,200
2015-03-26,200
2015-03-27,200
2015-03-28,200
2015-03-29,200
2015-03-30,200
2015-03-31,200
2015-04-01,200
2015-04-02,200
2015-04-03,200
2015-04-04,200
2015-04-05,200
2015-04-06,200
2015-04-07,200
2015-04-08,200
2015-04-09,200
2015-04-10,200
2015-04-11,200
2015-04-12,200
2015-04-13,200
2015-04-14,200
2015-04-15,200
2015-04-16,200
2015-04-17,200
2015-04-18,200
2015-04-19,200
2015-04-20,200
2015-04-21,200
2015-04-22,200
2015-04-23,200
2015-04-24,200
2015-04-25,200
2015-04-26,200
2015-04-27,200
2015-04-28,200
2015-04-29,200
2015-04-30,200
2015-05-01,200
2015-05-02,200
2015-05-03,200
2015-05-04,200
2015-05-05,200
2015-05-06,200
2015-05-07,200
2015-05-08,200
2015-05-09,200
2015-05-10,200
2015-05-11,200
2015-05-12,200
2015-05-13,200
2015-05-14,200
2015-05-15,200
2015-05-16,200
2015-05-17,200
2015-05-18,200
2015-05-19,200
2015-05-20,200
2015-05-21,200
2015-05-22,200
2015-05-23,200
2015-05-24,200
2015-05-25,200
2015-05-26,200
2015-05-27,200
2015-05-28,197
2015-05-29,197
2015-05-30,197
2015-05-31,197
2015-06-01,197
2015-06-02,197
2015-06-03,197
2015-06-04,197
2015-06-05,197
2015-06-06,197
2015-06-07,197
2015-06-08,197
2015-06-09,197
2015-06-10,197
2015-06-11,197
2015-06-12,197
2015-06-13,197
2015-06-14,197
2015-06-15,197
2015-06-16,197
2015-06-17,197
2015-06-18,197
2015-06-19,197
2015-06-20,197
2015-06-21,197
2015-06-22,197
2015-06-23,197
2015-06-24,197
2015-06-25,197
2015-06-26,197
2015-06-27,197
2015-06-28,197
2015-06-29,197
2015-06-30,197
2015-07-01,197
2015-07-02,197
2015-07-03,197
2015-07-04,197
2015-07-05,197
2015-07-06,197
2015-07-07,197
2015-07-08,197
2015-07-09,197
2015-07-10,197
2015-07-11,197
2015-07-12,197
2015-07-13,197
2015-07-14,197
2015-07-15,197
2015-07-16,197
2015-07-17,197
2015-07-18,197
2015-07-19,197
2015-07-20,197
2015-07-21,197
2015-07-22,197
2015-07-23,197
2015-07-24,196
2015-07-25,196
2015-07-26,196
2015-07-27,196
2015-07-28,196
2015-07-29,196
2015-07-30,196
2015-07-31,196
2015-08-01,196
2015-08-02,196
2015-08-03,196
2015-08-04,196
2015-08-05,196
2015-08-06,196
2015-08-07,196
2015-08-08,196
2015-08-09,196
2015-08-10,196
2015-08-11,196
2015-08-12,196
2015-08-13,196
2015-08-14,196
2015-08-15,196
2015-08-16,196
2015-08-17,196
2015-08-18,196
2015-08-19,196
2015-08-20,196
2015-08-21,196
2015-08-22,196
2015-08-23,196
2015-08-24,196
2015-08-25,196
2015-08-26,196
2015-08-27,196
2015-08-28,196
2015-08-29,196
2015-08-30,196
2015-09-02,196
2015-09-07,196
2015-09-08,196
2015-09-10,196
2015-09-14,204
2015-09-16,204
2015-09-22,204
2015-09-23,204
2015-09-24,204
2015-09-25,204
2015-09-27,204
2015-09-28,204
2015-09-29,204
2015-09-30,204
2015-10-05,204
2015-10-06,204
2015-10-07,204
2015-10-08,204
2015-10-09,204
2015-10-10,204
2015-10-11,204
2015-10-12,204
2015-10-13,204
2015-10-14,204
2015-10-15,204
2015-10-16,204
2015-10-17,204
2015-10-18,204
2015-10-19,204
2015-10-20,204
2015-10-22,204
2015-10-23,204
2015-10-24,204
2015-10-25,204
2015-10-26,204
2015-10-27,204
2015-10-29,204
2015-10-30,204
2015-10-31,204
2015-11-01,204
2015-11-02,204
2015-11-03,204
2015-11-04,204
2015-11-05,204
2015-11-06,204
2015-11-07,204
2015-11-08,204
2015-11-09,204
2015-11-10,204
2015-11-11,204
2015-11-12,204
2015-11-13,204
2015-11-14,204
2015-11-15,204
2015-11-16,204
2015-11-17,204
2015-11-18,204
2015-11-19,204
2015-11-20,204
2015-11-21,204
2015-11-22,205
2015-11-23,205
2015-11-24,205
2015-11-25,205
2015-11-26,205
2015-11-27,205
2015-11-28,205
2015-11-29,205
2015-11-30,205
2015-12-01,205
2015-12-02,205
2015-12-03,205
2015-12-04,205
2015-12-05,205
2015-12-06,205
2015-12-07,205
2015-12-08,205
2015-12-09,205
2015-12-10,205
2015-12-11,205
2015-12-12,205
2015-12-13,205
2015-12-14,205
2015-12-15,205
2015-12-16,205
2015-12-17,205
2015-12-18,205
2015-12-19,205
2015-12-20,205
2015-12-21,205
2015-12-22,205
2015-12-23,205
2015-12-24,205
2015-12-25,205
2015-12-26,205
2015-12-27,205
2015-12-28,205
2015-12-29,205
2015-12-30,205
2015-12-31,205
2016-01-01,205
2016-01-02,205
2016-01-03,205
2016-01-04,205
2016-01-05,205
2016-01-06,205
2016-01-07,205
2016-01-08,205
2016-01-09,205
2016-01-10,205
2016-01-11,205
2016-01-12,205
2016-01-13,205
2016-01-14,205
2016-01-15,205
2016-01-16,205
2016-01-17,205
2016-01-18,205
2016-01-19,205
2016-01-20,205
2016-01-21,205
2016-01-22,205
2016-01-23,205
2016-01-24,205
2016-01-25,205
2016-01-26,205
2016-01-27,205
2016-01-28,205
2016-01-29,205
2016-01-30,205
2016-01-31,205
2016-02-01,205
2016-02-02,205
2016-02-03,205
2016-02-04,205
2016-02-05,205
2016-02-06,205
2016-02-07,205
2016-02-08,205
2016-02-09,205
2016-02-10,205
2016-02-11,205
2016-02-12,205
2016-02-13,205
2016-02-14,205
2016-02-15,205
2016-02-16,205
2016-02-17,205
2016-02-18,205
2016-02-19,205
2016-02-20,205
2016-02-21,205
2016-02-22,205
2016-02-23,205
2016-02-24,205
2016-02-25,205
2016-02-26,205
2016-02-27,205
2016-02-28,205
2016-03-01,205
2016-03-02,205
2016-03-03,205
2016-03-04,205
2016-03-05,201
2016-03-06,201
2016-03-07,201
2016-03-08,201
2016-03-09,201
2016-03-10,201
2016-03-11,201
2016-03-12,201
2016-03-13,201
2016-03-14,201
2016-03-15,201
2016-03-16,201
2016-03-17,201
2016-03-18,201
2016-03-19,201
2016-03-20,201
2016-03-21,201
2016-03-22,201
2016-03-23,201
2016-03-24,201
2016-03-25,201
2016-03-26,201
2016-03-27,201
2016-03-28,201
2016-03-29,201
2016-03-30,201
2016-03-31,201
2016-04-01,201
2016-04-02,201
2016-04-03,201
2016-04-04,201
2016-04-05,201
2016-04-06,201
2016-04-07,201
2016-04-08,201
2016-04-09,201
2016-04-10,201
2016-04-11,201
2016-04-12,201
2016-04-13,201
2016-04-14,201
2016-04-15,201
2016-04-16,201
2016-04-17,201
2016-04-18,201
2016-04-19,201
2016-04-20,201
2016-04-21,201
2016-04-22,201
2016-04-23,201
2016-04-24,201
2016-04-25,201
2016-04-26,201
2016-04-27,201
2016-04-28,201
2016-04-29,201
2016-04-30,201
2016-05-01,201
2016-05-02,192
2016-05-03,192
2016-05-04,192
2016-05-05,192
2016-05-06,192
2016-05-07,192
2016-05-08,192
2016-05-09,192
2016-05-10,192
2016-05-11,192
2016-05-12,192
2016-05-13,192
2016-05-14,192
2016-05-15,192
2016-05-16,192
2016-05-17,192
2016-05-18,192
2016-05-19,192
2016-05-22,192
2016-05-23,192
2016-05-24,192
2016-05-25,192
2016-05-26,192
2016-05-27,192
2016-05-28,192
2016-05-29,192
2016-05-30,192
2016-05-31,192
2016-06-01,192
2016-06-02,192
2016-06-03,192
2016-06-04,192
2016-06-05,192
2016-06-06,192
2016-06-07,192
2016-06-08,192
2016-06-09,192
2016-06-10,192
2016-06-11,192
2016-06-12,184
2016-06-13,184
2016-06-14,184
2016-06-15,184
2016-06-16,184
2016-06-17,184
2016-06-18,184
2016-06-19,184
2016-06-20,184
2016-06-21,184
2016-06-22,184
2016-06-23,184
2016-06-24,184
2016-06-25,184
2016-06-26,184
2016-06-27,184
2016-06-28,184
2016-06-29,184
2016-06-30,184
2016-07-01,184
2016-07-02,184
2016-07-03,184
2016-07-04,184
2016-07-05,184
2016-07-06,184
2016-07-07,184
2016-07-08,184
2016-07-09,184
2016-07-10,184
2016-07-11,184
2016-07-12,184
2016-07-13,184
2016-07-14,184
2016-07-15,184
2016-07-16,184
2016-07-17,184
2016-07-18,184
2016-07-23,184
2016-07-24,184
2016-07-25,184
2016-07-26,184
2016-07-27,184
2016-07-28,184
2016-07-29,184
2016-07-30,175
2016-07-31,175
2016-08-01,175
2016-08-02,175
2016-08-03,175
2016-08-04,175
2016-08-05,175
2016-08-06,175
2016-08-07,175
2016-08-08,175
2016-08-09,175
2016-08-10,175
2016-08-11,175
2016-08-12,175
2016-08-13,175
2016-08-14,175
2016-08-15,175
2016-08-16,175
2016-08-17,175
2016-08-18,175
2016-08-19,175
2016-08-20,175
2016-08-21,175
2016-08-22,175
2016-08-23,175
2016-08-24,175
2016-08-25,175
2016-08-26,175
2016-08-28,175
2016-08-31,175
2016-09-01,175
2016-09-02,175
2016-09-03,175
2016-09-04,175
2016-09-05,175
2016-09-06,175
2016-09-07,175
2016-09-08,175
2016-09-09,175
2016-09-10,175
2016-09-11,175
2016-09-12,175
2016-09-13,175
2016-09-14,175
2016-09-15,168
2016-09-16,168
2016-09-17,168
2016-09-18,168
2016-09-19,168
2016-09-20,168
2016-09-21,168
2016-09-22,168
2016-09-23,168
2016-09-24,168
2016-09-25,168
2016-09-26,168
2016-09-27,168
2016-09-28,168
2016-09-29,168
2016-09-30,168
2016-10-01,168
2016-10-02,168
2016-10-03,168
2016-10-04,168
2016-10-05,168
2016-10-06,168
2016-10-07,168
2016-10-08,168
2016-10-09,168
2016-10-10,168
2016-10-11,168
2016-10-12,168
2016-10-13,168
2016-10-14,168
2016-10-15,168
2016-10-16,168
2016-10-17,168
2016-10-18,168
2016-10-19,168
2016-10-20,168
2016-10-21,168
2016-10-22,168
2016-10-23,168
2016-10-24,168
2016-10-25,168
2016-10-26,168
2016-10-27,168
2016-10-28,168
2016-10-29,168
2016-10-30,168
2016-10-31,168
2016-11-01,168
2016-11-02,168
2016-11-03,168
2016-11-04,168
2016-11-05,168
2016-11-06,168
2016-11-07,168
2016-11-08,160
2016-11-09,160
2016-11-10,160
2016-11-11,160
2016-11-12,160
2016-11-13,160
2016-11-14,160
2016-11-15,160
2016-12-07,160
2016-12-08,160
2016-12-09,160
2016-12-10,160
2016-12-11,160
2016-12-12,160
2016-12-13,160
2016-12-14,160
2016-12-15,160
2016-12-16,160
2016-12-17,160
2016-12-18,160
2016-12-19,160
2016-12-20,156
2016-12-21,156
2016-12-22,156
2016-12-23,156
2016-12-24,156
2016-12-25,156
2016-12-26,156
2016-12-27,156
2016-12-28,156
2016-12-29,156
2016-12-30,156
2016-12-31,156
2017-01-01,156
2017-01-02,156
2017-01-03,156
2017-01-04,156
2017-01-05,156
2017-01-06,156
2017-01-07,156
2017-01-08,156
2017-01-09,156
2017-01-10,156
2017-01-11,156
2017-01-12,156
2017-01-13,156
2017-01-14,156
2017-01-15,156
2017-01-16,156
2017-01-17,156
2017-01-18,156
