date_obj,Bandos%20kiteshield price
2016-02-13,32884
2016-02-14,32884
2016-02-15,32444
2016-02-16,32035
2016-02-17,31965
2016-02-18,31965
2016-02-19,31922
2016-02-20,32187
2016-02-21,32599
2016-02-22,32599
2016-02-23,32794
2016-02-24,32794
2016-02-25,33473
2016-02-26,33473
2016-02-27,33487
2016-02-28,33487
2016-02-29,32466
2016-03-01,32280
2016-03-02,32280
2016-03-03,32083
2016-03-04,31937
2016-03-05,31805
2016-03-06,32458
2016-03-07,32458
2016-03-08,32972
2016-03-09,33388
2016-03-10,33512
2016-03-11,33512
2016-03-12,33523
2016-03-13,33523
2016-03-14,32828
2016-03-15,32071
2016-03-16,32110
2016-03-17,32865
2016-03-18,33460
2016-03-19,33348
2016-03-20,33164
2016-03-21,33164
2016-03-22,33176
2016-03-23,33362
2016-03-24,33362
2016-03-25,33078
2016-03-26,32103
2016-03-27,32103
2016-03-28,31981
2016-03-29,32339
2016-03-30,32339
2016-03-31,33426
2016-04-01,34948
2016-04-02,34948
2016-04-03,35879
2016-04-04,37307
2016-04-05,37307
2016-04-06,39168
2016-04-07,41009
2016-04-08,42447
2016-04-09,40545
2016-04-10,39438
2016-04-11,39438
2016-04-12,37970
2016-04-13,37074
2016-04-14,37201
2016-04-15,35829
2016-04-16,35513
2016-04-17,35220
2016-04-18,34694
2016-04-19,35218
2016-04-20,35206
2016-04-21,35263
2016-04-22,35263
2016-04-23,35186
2016-04-24,35231
2016-04-25,34980
2016-04-26,34354
2016-04-27,33623
2016-04-28,34518
2016-04-29,34713
2016-04-30,34389
2016-05-01,33376
2016-05-02,32576
2016-05-03,32101
2016-05-04,32140
2016-05-05,32682
2016-05-06,32682
2016-05-07,32283
2016-05-08,32283
2016-05-09,32838
2016-05-10,32950
2016-05-11,32950
2016-05-12,32044
2016-05-13,32825
2016-05-14,33604
2016-05-15,33983
2016-05-16,33983
2016-05-17,34468
2016-05-18,34735
2016-05-19,34384
2016-05-22,33431
2016-05-23,33840
2016-05-24,33294
2016-05-25,32586
2016-05-26,32504
2016-05-27,31998
2016-05-28,31998
2016-05-29,32045
2016-05-30,32045
2016-05-31,32466
2016-06-01,32950
2016-06-02,32928
2016-06-03,33168
2016-06-04,32837
2016-06-05,33051
2016-06-06,32798
2016-06-07,32798
2016-06-08,33410
2016-06-09,34801
2016-06-10,35494
2016-06-11,35371
2016-06-12,35195
2016-06-13,35195
2016-06-14,34274
2016-06-15,35638
2016-06-16,36375
2016-06-17,36132
2016-06-18,35261
2016-06-19,34485
2016-06-20,33896
2016-06-21,33347
2016-06-22,34125
2016-06-23,33836
2016-06-24,33836
2016-06-25,34024
2016-06-26,34586
2016-06-27,34817
2016-06-28,35050
2016-06-29,35621
2016-06-30,35871
2016-07-01,35596
2016-07-02,34991
2016-07-03,34297
2016-07-04,34531
2016-07-05,34752
2016-07-06,34475
2016-07-07,34825
2016-07-08,35081
2016-07-09,35119
2016-07-10,34506
2016-07-11,35552
2016-07-12,36268
2016-07-13,35346
2016-07-14,36124
2016-07-15,35659
2016-07-16,35217
2016-07-17,35134
2016-07-18,34454
2016-07-23,34498
2016-07-24,34543
2016-07-25,34286
2016-07-26,34286
2016-07-27,33565
2016-07-28,33565
2016-07-29,33372
2016-07-30,33442
2016-07-31,33442
2016-08-01,33584
2016-08-02,33878
2016-08-03,33991
2016-08-04,33991
2016-08-05,34328
2016-08-06,33997
2016-08-07,34218
2016-08-08,34218
2016-08-09,33675
2016-08-10,33689
2016-08-11,33689
2016-08-12,33942
2016-08-13,33942
2016-08-14,34272
2016-08-15,34434
2016-08-16,34330
2016-08-17,34330
2016-08-18,34451
2016-08-19,34350
2016-08-20,33930
2016-08-21,33930
2016-08-22,33244
2016-08-23,32884
2016-08-24,32884
2016-08-25,32860
2016-08-26,32860
2016-08-28,32829
2016-08-31,33322
2016-09-01,33933
2016-09-02,33933
2016-09-03,34653
2016-09-04,35416
2016-09-05,35661
2016-09-06,35619
2016-09-07,35619
2016-09-08,35764
2016-09-09,35764
2016-09-10,35215
2016-09-11,35215
2016-09-12,34827
2016-09-13,35270
2016-09-14,35270
2016-09-15,35748
2016-09-16,35748
2016-09-17,35448
2016-09-18,34667
2016-09-19,35277
2016-09-20,35277
2016-09-21,36703
2016-09-22,37701
2016-09-23,37433
2016-09-24,37433
2016-09-25,37142
2016-09-26,37142
2016-09-27,36066
2016-09-28,35751
2016-09-29,35751
2016-09-30,35856
2016-10-01,35230
2016-10-02,35230
2016-10-03,35116
2016-10-04,35126
2016-10-05,35149
2016-10-06,34863
2016-10-07,34863
2016-10-08,34746
2016-10-09,34746
2016-10-10,34154
2016-10-11,34860
2016-10-12,34860
2016-10-13,34812
2016-10-14,35150
2016-10-15,35490
2016-10-16,35490
2016-10-17,35369
2016-10-18,35369
2016-10-19,34785
2016-10-20,34174
2016-10-21,34541
2016-10-22,34541
2016-10-23,34049
2016-10-24,33586
2016-10-25,33586
2016-10-26,33641
2016-10-27,33739
2016-10-28,33739
2016-10-29,33745
2016-10-30,33864
2016-10-31,33882
2016-11-01,33882
2016-11-02,33804
2016-11-03,33804
2016-11-04,34173
2016-11-05,34173
2016-11-06,34006
2016-11-07,33783
2016-11-08,33906
2016-11-09,33567
2016-11-10,33746
2016-11-11,33746
2016-11-12,33646
2016-11-13,33646
2016-11-14,33706
2016-11-15,33855
2016-12-07,34010
2016-12-08,33836
2016-12-09,33812
2016-12-10,33812
2016-12-11,34056
2016-12-12,33940
2016-12-13,33853
2016-12-14,34192
2016-12-15,34192
2016-12-16,34107
2016-12-17,33863
2016-12-18,33558
2016-12-19,33552
2016-12-20,33356
2016-12-21,32807
2016-12-22,32709
2016-12-23,32823
2016-12-24,33096
