date_obj,Black%20platebody%20(h1) price
2019-04-11,48000
2019-04-11,49608
2019-04-12,51017
2019-04-13,53151
2019-04-14,53151
2019-04-15,54100
2019-04-16,51872
2019-04-17,51872
2019-04-18,49593
2019-04-19,49593
2019-04-20,47113
2019-04-21,47113
2019-04-22,44757
2019-04-23,44757
2019-04-24,42519
2019-04-25,42519
2019-04-26,40393
2019-04-27,40393
2019-04-28,38465
2019-04-29,38465
2019-04-30,36822
2019-05-01,36822
2019-05-02,35280
2019-05-03,35280
2019-05-04,33516
2019-05-05,33516
2019-05-06,32230
2019-05-07,32230
2019-05-08,30772
2019-05-09,30772
2019-05-10,29463
2019-05-11,29463
2019-05-12,28212
2019-05-13,28212
2019-05-14,26944
2019-05-15,26944
2019-05-16,26944
2019-05-17,25789
2019-05-18,25789
2019-05-19,25789
2019-05-20,24550
2019-05-21,24550
2019-05-22,24550
2019-05-23,23409
2019-05-24,23409
2019-05-25,23409
2019-05-26,22391
2019-05-27,22391
2019-05-28,21483
2019-05-29,21483
2019-05-30,21483
2019-05-31,20554
2019-06-01,20554
2019-06-02,20554
2019-06-03,19738
2019-06-04,19738
2019-06-05,19738
2019-06-06,18796
2019-06-07,18796
2019-06-08,18796
2019-06-09,17878
2019-06-10,17878
2019-06-11,17878
2019-06-12,17649
2019-06-13,17649
2019-06-14,17649
2019-06-15,16955
2019-06-16,16955
2019-06-17,16955
2019-06-18,16141
2019-06-19,16141
2019-06-20,16141
2019-06-21,15482
2019-06-22,15482
2019-06-23,15482
2019-06-24,15482
2019-06-25,14821
2019-06-26,14821
2019-06-27,14821
2019-06-28,14238
2019-06-29,14238
2019-06-30,14238
2019-07-01,14238
2019-07-02,13735
2019-07-03,13735
2019-07-04,13735
2019-07-05,13166
2019-07-06,13166
2019-07-07,13166
2019-07-08,13166
2019-07-09,12667
2019-07-10,12667
2019-07-11,12667
2019-07-12,12377
2019-07-13,12377
2019-07-14,12377
2019-07-15,12377
2019-07-16,12028
2019-07-17,12028
2019-07-18,12028
2019-07-19,12028
2019-07-20,11481
2019-07-21,11481
2019-07-22,11481
2019-07-23,11481
