date_obj,Monk's%20robe%20top%20(g) price
2016-07-06,10310467
2016-07-07,10310467
2016-07-08,10301377
2016-07-09,10301377
2016-07-10,10301377
2016-07-11,10024987
2016-07-12,10024987
2016-07-13,10024987
2016-07-14,10024987
2016-07-15,9564795
2016-07-16,9564795
2016-07-17,9564795
2016-07-18,9564795
2016-07-23,9086555
2016-07-24,9086555
2016-07-25,8632227
2016-07-26,8632227
2016-07-27,8632227
2016-07-28,8632227
2016-07-29,8203627
2016-07-30,8203627
2016-07-31,8203627
2016-08-01,8203627
2016-08-02,8203627
2016-08-03,7793445
2016-08-04,7793445
2016-08-05,7793445
2016-08-06,7793445
2016-08-07,7793445
2016-08-08,7793445
2016-08-09,7403772
2016-08-10,7403772
2016-08-11,7403772
2016-08-12,7403772
2016-08-13,7403772
2016-08-14,7036409
2016-08-15,7036409
2016-08-16,7036409
2016-08-17,7036409
2016-08-18,7036409
2016-08-19,6684588
2016-08-20,6684588
2016-08-21,6684588
2016-08-22,6684588
2016-08-23,6350358
2016-08-24,6350358
2016-08-25,6350358
2016-08-26,6350358
2016-08-28,6032840
2016-08-31,6032840
2016-09-01,5731198
2016-09-02,5731198
2016-09-03,5731198
2016-09-04,5731198
2016-09-05,5520202
2016-09-06,5520202
2016-09-07,5520202
2016-09-08,5520202
2016-09-09,5594631
2016-09-10,5594631
2016-09-11,5594631
2016-09-12,5594631
2016-09-13,5521734
2016-09-14,5521734
2016-09-15,5521734
2016-09-16,5521734
2016-09-17,5521734
2016-09-18,5585634
2016-09-19,5585634
2016-09-20,5585634
2016-09-21,5585634
2016-09-22,5585634
2016-09-23,5770174
2016-09-24,5770174
2016-09-25,5770174
2016-09-26,5770174
2016-09-27,6031228
2016-09-28,6031228
2016-09-29,6031228
2016-09-30,6031228
2016-10-01,6301739
2016-10-02,6301739
2016-10-03,6301739
2016-10-04,6301739
2016-10-05,6560593
2016-10-06,6560593
2016-10-07,6560593
2016-10-08,6815176
2016-10-09,6815176
2016-10-10,6815176
2016-10-11,6815176
2016-10-12,6815176
2016-10-13,7044222
2016-10-14,7044222
2016-10-15,7044222
2016-10-16,7044222
2016-10-17,7047691
2016-10-18,7047691
2016-10-19,7047691
2016-10-20,7047691
2016-10-21,6964075
2016-10-22,6964075
2016-10-23,6964075
2016-10-24,6964075
2016-10-25,6964075
2016-10-26,6842455
2016-10-27,6842455
2016-10-28,6842455
2016-10-29,6842455
2016-10-30,6842455
2016-10-31,6639899
2016-11-01,6639899
2016-11-02,6639899
2016-11-03,6639899
2016-11-04,6639899
2016-11-05,6639899
2016-11-06,6604075
2016-11-07,6604075
2016-11-08,6604075
2016-11-09,6604075
2016-11-10,6604075
2016-11-11,6560325
2016-11-12,6560325
2016-11-13,6560325
2016-11-14,6560325
2016-12-07,7096499
2016-12-08,7096499
2016-12-09,7096499
2016-12-10,7222859
2016-12-11,7222859
2016-12-12,7222859
2016-12-13,7222859
2016-12-14,7478106
2016-12-15,7478106
2016-12-16,7478106
2016-12-17,7478106
2016-12-18,7782989
2016-12-19,7782989
2016-12-20,7782989
2016-12-21,7782989
2016-12-22,7782989
2016-12-23,7969939
2016-12-24,7969939
2016-12-25,7969939
2016-12-26,7969939
2016-12-27,7969939
2016-12-28,7996891
2016-12-29,7996891
2016-12-30,7996891
2016-12-31,7996891
2017-01-01,7996891
2017-01-02,7738159
2017-01-03,7738159
2017-01-04,7738159
2017-01-05,7738159
2017-01-06,7385593
2017-01-07,7385593
2017-01-08,7385593
2017-01-09,7023247
