date_obj,Unholy%20symbol price
2015-03-26,22387
2015-03-27,22387
2015-03-28,22387
2015-03-29,22387
2015-03-30,22387
2015-03-31,22387
2015-04-01,21287
2015-04-02,21287
2015-04-03,21287
2015-04-04,21287
2015-04-05,21287
2015-04-06,21287
2015-04-07,21287
2015-04-08,21287
2015-04-09,21287
2015-04-10,21287
2015-04-11,20223
2015-04-12,20223
2015-04-13,20223
2015-04-14,20223
2015-04-15,20223
2015-04-16,20223
2015-04-17,20223
2015-04-18,20223
2015-04-19,20223
2015-04-20,20223
2015-04-21,20223
2015-04-22,20223
2015-04-23,19232
2015-04-24,19232
2015-04-25,19232
2015-04-26,19232
2015-04-27,19232
2015-04-28,19232
2015-04-29,19232
2015-04-30,19232
2015-05-01,19232
2015-05-02,18297
2015-05-03,18297
2015-05-04,18297
2015-05-05,18297
2015-05-06,18297
2015-05-07,18297
2015-05-08,18297
2015-05-09,18297
2015-05-10,18297
2015-05-11,18297
2015-05-12,17385
2015-05-13,17385
2015-05-14,17385
2015-05-15,17385
2015-05-16,17385
2015-05-17,17385
2015-05-18,17385
2015-05-19,17385
2015-05-20,17385
2015-05-21,17385
2015-05-22,17385
2015-05-23,16518
2015-05-24,16518
2015-05-25,16518
2015-05-26,16518
2015-05-27,16518
2015-05-28,16518
2015-05-29,16518
2015-05-30,15692
2015-05-31,15692
2015-06-01,15692
2015-06-02,15692
2015-06-03,15692
2015-06-04,15692
2015-06-05,15692
2015-06-06,15692
2015-06-07,14908
2015-06-08,14908
2015-06-09,14908
2015-06-10,14908
2015-06-11,14908
2015-06-12,14908
2015-06-13,14908
2015-06-14,14908
2015-06-15,14165
2015-06-16,14165
2015-06-17,14165
2015-06-18,14165
2015-06-19,14165
2015-06-20,14165
2015-06-21,14165
2015-06-22,13463
2015-06-23,13463
2015-06-24,13463
2015-06-25,13463
2015-06-26,13463
2015-06-27,13463
2015-06-28,12826
2015-06-29,12826
2015-06-30,12826
2015-07-01,12826
2015-07-02,12826
2015-07-03,12826
2015-07-04,12826
2015-07-05,12186
2015-07-06,12186
2015-07-07,12186
2015-07-08,12186
2015-07-09,12186
2015-07-10,12186
2015-07-11,12186
2015-07-12,11577
2015-07-13,11577
2015-07-14,11577
2015-07-15,11577
2015-07-16,11577
2015-07-17,11577
2015-07-18,11001
2015-07-19,11001
2015-07-20,11001
2015-07-21,11001
2015-07-22,11001
2015-07-23,11001
2015-07-24,10465
2015-07-25,10465
2015-07-26,10465
2015-07-27,10465
2015-07-28,10465
2015-07-29,10465
2015-07-30,9957
2015-07-31,9957
2015-08-01,9957
2015-08-02,9957
2015-08-03,9957
2015-08-04,9957
2015-08-05,9465
2015-08-06,9465
2015-08-07,9465
2015-08-08,9465
2015-08-09,9465
2015-08-10,9465
2015-08-11,9006
2015-08-12,9006
2015-08-13,9006
2015-08-14,9006
2015-08-15,9006
2015-08-16,9006
2015-08-17,9006
2015-08-18,9006
2015-08-19,9006
2015-08-20,9006
2015-08-21,8564
2015-08-22,8564
2015-08-23,8564
2015-08-24,8564
2015-08-25,8564
2015-08-26,8564
2015-08-27,8564
2015-08-28,8149
2015-08-29,8149
2015-08-30,8149
2015-08-31,8149
2015-09-01,8149
2015-09-02,8149
2015-09-03,7746
2015-09-04,7746
2015-09-05,7746
2015-09-06,7746
2015-09-07,7746
2015-09-08,7746
2015-09-09,7363
2015-09-10,7363
2015-09-11,7363
2015-09-12,7363
2015-09-13,7363
2015-09-14,7363
2015-09-15,6999
2015-09-16,6999
2015-09-17,6999
2015-09-18,6999
2015-09-19,6999
2015-09-20,6999
2015-09-21,6999
2015-09-22,6658
2015-09-23,6658
2015-09-24,6658
2015-09-25,6658
2015-09-27,6658
2015-09-28,6658
2015-09-29,6658
2015-09-30,6333
2015-10-05,6333
2015-10-06,6333
2015-10-07,6333
2015-10-08,6027
2015-10-09,6027
2015-10-10,6027
2015-10-11,6027
2015-10-12,6027
2015-10-13,6027
2015-10-14,6027
2015-10-15,6027
2015-10-16,5729
2015-10-17,5729
2015-10-18,5729
2015-10-19,5729
2015-10-20,5729
2015-10-22,5729
2015-10-23,5729
2015-10-24,5453
2015-10-25,5453
2015-10-26,5453
2015-10-27,5453
2015-10-29,5453
2015-10-30,5453
