date_obj,Blue%20dye price
2015-03-26,2253
2015-03-27,2140
2015-03-28,2033
2015-03-29,1931
2015-03-30,1834
2015-03-31,1742
2015-04-01,1654
2015-04-02,1571
2015-04-03,1492
2015-04-04,1426
2015-04-05,1354
2015-04-06,1286
2015-04-07,1221
2015-04-08,1159
2015-04-09,1101
2015-04-10,1045
2015-04-11,992
2015-04-12,942
2015-04-13,894
2015-04-14,849
2015-04-15,806
2015-04-16,765
2015-04-17,726
2015-04-18,689
2015-04-19,654
2015-04-20,621
2015-04-21,604
2015-04-22,582
2015-04-23,585
2015-04-24,571
2015-04-25,553
2015-04-26,556
2015-04-27,544
2015-04-28,534
2015-04-29,507
2015-04-30,508
2015-05-01,512
2015-05-02,500
2015-05-03,495
2015-05-04,493
2015-05-05,504
2015-05-06,513
2015-05-07,511
2015-05-08,501
2015-05-09,483
2015-05-10,477
2015-05-11,455
2015-05-12,442
2015-05-13,430
2015-05-14,419
2015-05-15,427
2015-05-16,427
2015-05-17,433
2015-05-18,429
2015-05-19,437
2015-05-20,442
2015-05-21,434
2015-05-22,430
2015-05-23,425
2015-05-24,437
2015-05-25,446
2015-05-26,466
2015-05-27,478
2015-05-28,495
2015-05-29,500
2015-05-30,488
2015-05-31,488
2015-06-01,501
2015-06-02,513
2015-06-03,536
2015-06-04,543
2015-06-05,535
2015-06-06,516
2015-06-07,502
2015-06-08,515
2015-06-09,516
2015-06-10,518
2015-06-11,501
2015-06-12,483
2015-06-13,485
2015-06-14,497
2015-06-15,481
2015-06-16,482
2015-06-17,483
2015-06-18,471
2015-06-19,473
2015-06-20,474
2015-06-21,468
2015-06-22,489
2015-06-23,511
2015-06-24,530
2015-06-25,503
2015-06-26,515
2015-06-27,533
2015-06-28,535
2015-06-29,560
2015-06-30,572
2015-07-01,575
2015-07-02,547
2015-07-03,558
2015-07-04,582
2015-07-05,607
2015-07-06,626
2015-07-07,642
2015-07-08,649
2015-07-09,669
2015-07-10,681
2015-07-11,701
2015-07-12,712
2015-07-13,695
2015-07-14,695
2015-07-15,670
2015-07-16,639
2015-07-17,623
2015-07-18,630
2015-07-19,632
2015-07-20,620
2015-07-21,605
2015-07-22,614
2015-07-23,620
2015-07-24,608
2015-07-25,583
2015-07-26,565
2015-07-27,577
2015-07-28,594
2015-07-29,598
2015-07-30,599
2015-07-31,585
2015-08-01,602
2015-08-02,589
2015-08-03,595
2015-08-04,574
2015-08-05,562
2015-08-06,533
2015-08-07,506
2015-08-08,483
2015-08-09,472
2015-08-10,476
2015-08-11,481
2015-08-12,498
2015-08-13,512
2015-08-14,506
2015-08-15,501
2015-08-16,519
2015-08-17,528
2015-08-18,530
2015-08-19,531
2015-08-20,516
2015-08-21,504
2015-08-22,522
2015-08-23,526
2015-08-24,514
2015-08-25,495
2015-08-26,490
2015-08-27,466
2015-08-28,448
2015-08-29,435
2015-08-30,422
2015-08-31,421
2015-09-01,406
2015-09-02,395
2015-09-03,393
2015-09-04,394
2015-09-05,408
2015-09-06,401
2015-09-07,409
2015-09-08,419
2015-09-09,428
2015-09-10,422
2015-09-11,415
2015-09-12,407
2015-09-13,400
2015-09-14,402
2015-09-15,411
2015-09-16,421
2015-09-17,434
2015-09-18,451
2015-09-19,453
2015-09-20,472
2015-09-21,473
2015-09-22,490
2015-09-23,489
2015-09-24,469
2015-09-25,455
2015-09-27,410
2015-09-28,389
2015-09-29,369
2015-09-30,372
2015-10-05,398
2015-10-06,401
2015-10-07,412
2015-10-08,429
2015-10-09,447
2015-10-10,457
2015-10-11,476
2015-10-12,479
2015-10-13,499
2015-10-14,523
2015-10-15,541
2015-10-16,563
2015-10-17,575
2015-10-18,578
2015-10-19,569
