date_obj,Adamant%20gold-trimmed%20set%20(lg) price
2015-03-26,281379
2015-03-27,281379
2015-03-28,281379
2015-03-29,281379
2015-03-30,281379
2015-03-31,267966
2015-04-01,267966
2015-04-02,267966
2015-04-03,267966
2015-04-04,267966
2015-04-05,267966
2015-04-06,254956
2015-04-07,254956
2015-04-08,254956
2015-04-09,254956
2015-04-10,254956
2015-04-11,243008
2015-04-12,243008
2015-04-13,243008
2015-04-14,243008
2015-04-15,243008
2015-04-16,231308
2015-04-17,231308
2015-04-18,231308
2015-04-19,231308
2015-04-20,231308
2015-04-21,231308
2015-04-22,231308
2015-04-23,220182
2015-04-24,220182
2015-04-25,220182
2015-04-26,220182
2015-04-27,220182
2015-04-28,209764
2015-04-29,209764
2015-04-30,209764
2015-05-01,209764
2015-05-02,209764
2015-05-03,209764
2015-05-04,199592
2015-05-05,199592
2015-05-06,199592
2015-05-07,199592
2015-05-08,199592
2015-05-09,190422
2015-05-10,190422
2015-05-11,190422
2015-05-12,190422
2015-05-13,190422
2015-05-14,181423
2015-05-15,181423
2015-05-16,181423
2015-05-17,181423
2015-05-18,181423
2015-05-19,172714
2015-05-20,172714
2015-05-21,172714
2015-05-22,172714
2015-05-23,172714
2015-05-24,172714
2015-05-25,164350
2015-05-26,164350
2015-05-27,164350
2015-05-28,156598
2015-05-29,156598
2015-05-30,149466
2015-05-31,149466
2015-06-01,149466
2015-06-02,142508
2015-06-03,142508
2015-06-04,135832
2015-06-05,135832
2015-06-06,129570
2015-06-07,129570
2015-06-08,129570
2015-06-09,123216
2015-06-10,123216
2015-06-11,123216
2015-06-12,118920
2015-06-13,118920
2015-06-14,118920
2015-06-15,113452
2015-06-16,113452
2015-06-17,113452
2015-06-18,108697
2015-06-19,108697
2015-06-20,108697
2015-06-21,104322
2015-06-22,104322
2015-06-23,104322
2015-06-24,99372
2015-06-25,99372
2015-06-26,99372
2015-06-27,98379
2015-06-28,98379
2015-06-29,98379
2015-06-30,96532
2015-07-01,96532
2015-07-02,96532
2015-07-03,95636
2015-07-04,95636
2015-07-05,95636
2015-07-06,95054
2015-07-07,95054
2015-07-08,95054
2015-07-09,97006
2015-07-10,97006
2015-07-11,97006
2015-07-12,100937
2015-07-13,100937
2015-07-14,100937
2015-07-15,104190
2015-07-16,104190
2015-07-17,104190
2015-07-18,104190
2015-07-19,104736
2015-07-20,104736
2015-07-21,104736
2015-07-22,105586
2015-07-23,105586
2015-07-24,105586
2015-07-25,107660
2015-07-26,107660
2015-07-27,107660
2015-07-28,110180
2015-07-29,110180
2015-07-30,110180
2015-07-31,112703
2015-08-01,112703
2015-08-02,112703
2015-08-03,114679
2015-08-04,114679
2015-08-05,114679
2015-08-06,114679
2015-08-07,116694
2015-08-08,116694
2015-08-09,116694
2015-08-10,115099
2015-08-11,115099
2015-08-12,115099
2015-08-13,115099
2015-08-14,113485
2015-08-15,113485
2015-08-16,113485
2015-08-17,112081
2015-08-18,112081
2015-08-19,112081
2015-08-20,110184
2015-08-21,110184
2015-08-22,110184
2015-08-23,108288
2015-08-24,108288
2015-08-25,108288
2015-08-26,110456
2015-08-27,110456
