date_obj,Explorer%20backpack price
2015-03-26,54583
2015-03-27,54583
2015-03-28,53703
2015-03-29,51441
2015-03-30,51282
2015-03-31,50716
2015-04-01,50992
2015-04-02,50839
2015-04-03,50249
2015-04-04,50299
2015-04-05,50354
2015-04-06,50077
2015-04-07,49934
2015-04-08,50190
2015-04-09,49191
2015-04-10,49263
2015-04-11,48929
2015-04-12,49961
2015-04-13,50068
2015-04-14,49924
2015-04-15,48873
2015-04-16,48895
2015-04-17,48747
2015-04-18,48591
2015-04-19,48269
2015-04-20,48563
2015-04-21,47799
2015-04-22,47683
2015-04-23,47306
2015-04-24,45739
2015-04-25,44928
2015-04-26,45135
2015-04-27,44020
2015-04-28,43324
2015-04-29,43324
2015-04-30,41562
2015-05-01,40426
2015-05-02,39654
2015-05-03,38736
2015-05-04,38176
2015-05-05,37502
2015-05-06,36625
2015-05-07,36132
2015-05-08,35967
2015-05-09,36232
2015-05-10,36024
2015-05-11,35393
2015-05-12,34921
2015-05-13,34108
2015-05-14,33484
2015-05-15,33314
2015-05-16,32856
2015-05-17,32313
2015-05-18,31599
2015-05-19,31046
2015-05-20,31046
2015-05-21,30122
2015-05-22,29401
2015-05-23,29346
2015-05-24,29812
2015-05-25,29909
2015-05-26,30173
2015-05-27,30231
2015-05-28,31243
2015-05-29,31661
2015-05-30,31923
2015-05-31,32133
2015-06-01,32410
2015-06-02,32410
2015-06-03,32861
2015-06-04,34088
2015-06-05,34174
2015-06-06,34663
2015-06-07,35789
2015-06-08,36631
2015-06-09,37197
2015-06-10,38644
2015-06-11,40105
2015-06-12,40868
2015-06-13,42785
2015-06-14,44691
2015-06-15,46349
2015-06-16,48021
2015-06-17,49836
2015-06-18,51144
2015-06-19,52270
2015-06-20,53611
2015-06-21,54416
2015-06-22,54646
2015-06-23,55670
2015-06-24,56542
2015-06-25,56542
2015-06-26,56456
2015-06-27,57363
2015-06-28,57305
2015-06-29,56548
2015-06-30,57332
2015-07-01,57734
2015-07-02,57734
2015-07-03,57892
2015-07-04,58298
2015-07-05,59358
2015-07-06,59749
2015-07-07,62057
2015-07-08,64166
2015-07-09,64166
2015-07-10,65517
2015-07-11,66581
2015-07-12,68003
2015-07-13,69547
2015-07-14,71081
2015-07-15,71269
2015-07-16,70564
2015-07-17,69219
2015-07-18,69207
2015-07-19,69212
2015-07-20,69690
2015-07-21,69580
2015-07-22,71507
2015-07-23,71507
2015-07-24,70752
2015-07-25,70161
2015-07-26,67622
2015-07-27,65619
2015-07-28,64764
2015-07-29,64277
2015-07-30,61063
2015-07-31,58848
2015-08-01,58183
2015-08-02,57090
2015-08-03,57322
2015-08-04,56344
2015-08-05,56331
2015-08-06,54259
2015-08-07,53848
2015-08-08,53081
2015-08-09,52506
2015-08-10,52491
2015-08-11,51666
2015-08-12,51666
2015-08-13,51554
2015-08-14,51123
2015-08-15,50404
2015-08-16,50445
2015-08-17,50033
2015-08-18,50853
2015-08-19,50241
2015-08-20,50281
2015-08-21,51547
2015-08-22,53241
2015-08-23,55371
2015-08-24,57803
2015-08-25,57803
2015-08-26,60184
2015-08-27,61084
2015-08-28,62950
2015-08-29,64287
2015-08-30,66600
2015-08-31,69510
2015-09-01,72689
2015-09-02,76128
2015-09-03,79935
2015-09-04,81183
2015-09-05,81481
2015-09-06,78764
2015-09-07,74913
2015-09-08,72391
2015-09-09,70960
2015-09-10,67942
2015-09-11,67029
2015-09-12,66095
2015-09-13,66528
2015-09-14,66923
2015-09-15,68838
2015-09-16,70116
2015-09-17,73429
2015-09-18,75748
2015-09-19,78944
2015-09-20,81807
2015-09-21,82188
2015-09-22,84191
2015-09-23,86416
2015-09-24,88950
2015-09-25,88602
2015-09-27,82767
2015-09-28,80638
2015-09-29,77805
2015-09-30,75278
2015-10-05,64410
2015-10-06,63599
2015-10-07,61732
2015-10-08,61043
2015-10-09,59634
2015-10-10,59634
2015-10-11,58524
2015-10-12,56236
2015-10-13,56236
2015-10-14,54897
2015-10-15,53514
2015-10-16,52960
2015-10-17,52960
2015-10-18,52618
2015-10-19,51978
2015-10-20,52368
2015-10-22,53087
2015-10-23,54043
2015-10-24,54293
2015-10-25,55573
2015-10-26,57437
2015-10-27,58523
2015-10-29,61682
2015-10-30,61660
2015-10-31,62355
2015-11-01,62355
2015-11-02,63085
2015-11-03,61179
2015-11-04,58314
2015-11-05,56682
2015-11-06,56833
2015-11-07,56732
2015-11-08,56732
2015-11-09,55601
2015-11-10,54392
2015-11-11,53415
2015-11-12,52457
2015-11-13,52177
2015-11-14,52461
2015-11-15,51134
2015-11-16,48957
2015-11-17,47935
2015-11-18,48055
2015-11-19,47507
2015-11-20,47572
