date_obj,Bruise%20blue%20snelm%20(round) price
2015-02-25,46500
2015-02-26,46500
2015-02-27,46500
2015-02-28,46500
2015-03-01,46500
2015-03-02,46500
2015-03-03,46500
2015-03-04,46500
2015-03-05,46500
2015-03-06,46500
2015-03-07,46500
2015-03-08,46500
2015-03-09,46500
2015-03-10,46500
2015-03-11,46500
2015-03-12,46500
2015-03-13,44357
2015-03-14,44357
2015-03-15,44357
2015-03-16,44357
2015-03-17,44357
2015-03-18,44357
2015-03-19,44357
2015-03-20,44357
2015-03-21,44357
2015-03-22,44357
2015-03-23,44357
2015-03-24,44357
2015-03-25,44357
2015-03-26,44357
2015-03-27,44357
2015-03-28,42164
2015-03-29,42164
2015-03-30,42164
2015-03-31,42164
2015-04-01,42164
2015-04-02,42164
2015-04-03,42164
2015-04-04,42164
2015-04-05,42164
2015-04-06,42164
2015-04-07,42164
2015-04-08,42164
2015-04-09,42164
2015-04-10,42164
2015-04-11,40095
2015-04-12,40095
2015-04-13,40095
2015-04-14,40095
2015-04-15,40095
2015-04-16,40095
2015-04-17,40095
2015-04-18,40095
2015-04-19,40095
2015-04-20,40095
2015-04-21,40095
2015-04-22,40095
2015-04-23,40095
2015-04-24,40095
2015-04-25,40095
2015-04-26,40095
2015-04-27,38150
2015-04-28,38150
2015-04-29,38150
2015-04-30,38150
2015-05-01,38150
2015-05-02,38150
2015-05-03,38150
2015-05-04,38150
2015-05-05,38150
2015-05-06,38150
2015-05-07,38150
2015-05-08,36309
2015-05-09,36309
2015-05-10,36309
2015-05-11,36309
2015-05-12,36309
2015-05-13,36309
2015-05-14,36309
2015-05-15,36309
2015-05-16,36309
2015-05-17,36309
2015-05-18,36309
2015-05-19,34526
2015-05-20,34526
2015-05-21,34526
2015-05-22,34526
2015-05-23,34526
2015-05-24,34526
2015-05-25,34526
2015-05-26,34526
2015-05-27,34526
2015-05-28,32855
2015-05-29,32855
2015-05-30,32855
2015-05-31,32855
2015-06-01,32855
2015-06-02,32855
2015-06-03,32855
2015-06-04,32855
2015-06-05,32855
2015-06-06,31274
2015-06-07,31274
2015-06-08,31274
2015-06-09,31274
2015-06-10,31274
2015-06-11,31274
2015-06-12,31274
2015-06-13,31274
2015-06-14,31274
2015-06-15,31274
2015-06-16,31274
2015-06-17,31274
2015-06-18,29754
2015-06-19,29754
2015-06-20,29754
2015-06-21,29754
2015-06-22,29754
2015-06-23,29754
2015-06-24,29754
2015-06-25,29754
2015-06-26,29754
2015-06-27,29754
2015-06-28,29754
2015-06-29,29754
2015-06-30,28289
2015-07-01,28289
2015-07-02,28289
2015-07-03,28289
2015-07-04,28289
2015-07-05,28289
2015-07-06,28289
2015-07-07,28289
2015-07-08,28289
2015-07-09,28289
2015-07-10,28289
2015-07-11,26921
2015-07-12,26921
2015-07-13,26921
2015-07-14,26921
2015-07-15,26921
2015-07-16,26921
2015-07-17,26921
2015-07-18,26921
2015-07-19,26921
2015-07-20,26921
2015-07-21,26921
2015-07-22,25607
2015-07-23,25607
2015-07-24,25607
2015-07-25,25607
2015-07-26,25607
2015-07-27,25607
2015-07-28,25607
2015-07-29,25607
2015-07-30,25607
2015-07-31,25607
2015-08-01,25607
2015-08-02,24342
2015-08-03,24342
2015-08-04,24342
2015-08-05,24342
2015-08-06,24342
2015-08-07,24342
2015-08-08,24342
2015-08-09,24342
2015-08-10,24342
2015-08-11,24342
2015-08-12,24342
2015-08-13,23249
2015-08-14,23249
2015-08-15,23249
2015-08-16,23249
2015-08-17,23249
2015-08-18,23249
2015-08-19,23249
2015-08-20,23249
2015-08-21,23249
2015-08-22,22141
2015-08-23,22141
2015-08-24,22141
2015-08-25,22141
2015-08-26,22141
2015-08-27,22141
2015-08-28,22141
2015-08-29,21207
2015-08-30,21207
2015-08-31,21207
2015-09-01,21207
2015-09-02,21207
2015-09-03,21207
2015-09-04,21207
2015-09-05,21207
2015-09-06,20215
2015-09-07,20215
2015-09-08,20215
2015-09-09,20215
2015-09-10,20215
2015-09-11,20215
2015-09-12,20215
2015-09-13,20215
2015-09-14,20215
2015-09-15,19294
2015-09-16,19294
2015-09-17,19294
2015-09-18,19294
2015-09-19,19294
2015-09-20,19294
2015-09-21,19294
2015-09-22,19294
2015-09-23,19294
2015-09-24,19294
2015-09-25,19294
2015-09-26,19294
2015-09-27,18340
2015-09-28,18340
2015-09-29,18340
2015-09-30,18340
2015-10-01,18340
2015-10-02,18340
2015-10-03,18340
2015-10-04,18340
2015-10-05,18340
2015-10-06,18340
2015-10-07,18340
2015-10-08,18340
2015-10-09,18340
2015-10-10,18340
2015-10-11,18340
2015-10-12,17537
2015-10-13,17537
2015-10-14,17537
2015-10-15,17537
2015-10-16,17537
2015-10-17,17537
2015-10-18,17537
2015-10-19,17537
2015-10-20,17537
2015-10-21,17537
2015-10-22,17537
2015-10-23,17537
2015-10-24,17537
2015-10-25,16694
2015-10-26,16694
2015-10-27,16694
2015-10-28,16694
2015-10-29,16694
2015-10-30,16694
2015-10-31,16694
2015-11-01,16694
2015-11-02,16694
2015-11-03,16694
2015-11-04,16694
2015-11-05,16694
2015-11-06,16694
2015-11-07,15870
2015-11-08,15870
2015-11-09,15870
2015-11-10,15870
2015-11-11,15870
2015-11-12,15870
2015-11-13,15870
2015-11-14,15870
2015-11-15,15870
2015-11-16,15870
2015-11-17,15870
2015-11-18,15870
2015-11-19,15093
2015-11-20,15093
2015-11-21,15093
2015-11-22,15093
2015-11-23,15093
2015-11-24,15093
2015-11-25,15093
2015-11-26,15093
2015-11-27,15093
2015-11-28,15093
2015-11-29,14383
2015-11-30,14383
2015-12-01,14383
2015-12-02,14383
2015-12-03,14383
2015-12-04,14383
2015-12-05,14383
2015-12-06,14383
2015-12-07,14383
2015-12-08,14383
2015-12-09,14383
2015-12-10,13683
2015-12-11,13683
2015-12-12,13683
2015-12-13,13683
2015-12-14,13683
2015-12-15,13683
2015-12-16,13683
2015-12-17,13683
2015-12-18,13683
2015-12-19,13683
2015-12-20,13017
2015-12-21,13017
2015-12-22,13017
2015-12-23,13017
2015-12-24,13017
2015-12-25,13017
2015-12-26,13017
2015-12-27,13017
2015-12-28,13017
2015-12-29,13017
2015-12-30,12388
2015-12-31,12388
2016-01-01,12388
2016-01-02,12388
2016-01-03,12388
2016-01-04,12388
2016-01-05,11791
2016-01-06,11791
2016-01-07,11791
2016-01-08,11791
2016-01-09,11791
2016-01-10,11791
2016-01-11,11791
2016-01-12,11791
2016-01-13,11791
2016-01-14,11235
2016-01-15,11235
2016-01-16,11235
2016-01-17,11235
2016-01-18,11235
2016-01-19,11235
2016-01-20,11235
2016-01-21,11235
2016-01-22,10703
2016-01-23,10703
2016-01-24,10703
2016-01-25,10703
2016-01-26,10703
2016-01-27,10703
2016-01-28,10703
2016-01-29,10183
2016-01-30,10183
2016-01-31,10183
2016-02-01,10183
2016-02-02,10183
2016-02-03,10183
2016-02-04,9682
2016-02-05,9682
2016-02-06,9682
2016-02-07,9682
2016-02-08,9682
2016-02-09,9682
2016-02-10,9682
2016-02-11,9682
2016-02-12,9682
2016-02-13,9219
2016-02-14,9219
2016-02-15,9219
2016-02-16,9219
2016-02-17,9219
2016-02-18,9219
2016-02-19,9219
2016-02-20,9219
2016-02-21,8779
2016-02-22,8779
2016-02-23,8779
2016-02-24,8779
2016-02-25,8779
2016-02-26,8779
2016-02-27,8779
2016-02-28,8779
2016-02-29,8779
2016-03-01,8779
2016-03-02,8362
2016-03-03,8362
2016-03-04,8362
2016-03-05,8362
2016-03-06,8362
2016-03-07,8362
2016-03-08,8362
2016-03-09,8362
2016-03-10,8362
2016-03-11,8362
2016-03-12,7963
2016-03-13,7963
2016-03-14,7963
2016-03-15,7963
2016-03-16,7963
2016-03-17,7963
2016-03-18,7963
2016-03-19,7963
2016-03-20,7963
2016-03-21,7588
2016-03-22,7588
2016-03-23,7588
2016-03-24,7588
2016-03-25,7588
2016-03-26,7588
2016-03-27,7588
2016-03-28,7588
2016-03-29,7588
2016-03-30,7588
2016-03-31,7588
2016-04-01,7238
2016-04-02,7238
2016-04-03,7238
2016-04-04,7238
2016-04-05,7238
2016-04-06,7238
2016-04-07,7238
2016-04-08,7238
2016-04-09,7238
2016-04-10,7238
2016-04-11,7238
2016-04-12,6933
2016-04-13,6933
2016-04-14,6933
2016-04-15,6933
2016-04-16,6933
2016-04-17,6933
2016-04-18,6933
2016-04-19,6933
2016-04-20,6933
2016-04-21,6933
2016-04-22,6933
2016-04-23,6613
2016-04-24,6613
2016-04-25,6613
2016-04-26,6613
2016-04-27,6613
2016-04-28,6613
2016-04-29,6613
2016-04-30,6613
2016-05-01,6304
2016-05-02,6304
2016-05-03,6304
2016-05-04,6304
2016-05-05,6304
2016-05-06,6304
2016-05-07,6304
2016-05-08,6304
2016-05-09,6304
2016-05-10,6003
2016-05-11,6003
2016-05-12,6003
2016-05-13,6003
2016-05-14,6003
2016-05-15,6003
2016-05-16,6003
2016-05-17,6003
2016-05-18,6003
2016-05-19,6003
2016-05-20,6003
2016-05-21,5727
2016-05-22,5727
2016-05-23,5727
2016-05-24,5727
2016-05-25,5727
2016-05-26,5727
2016-05-27,5727
2016-05-28,5727
2016-05-29,5727
2016-05-30,5727
2016-05-31,5727
2016-06-01,5727
2016-06-02,5454
2016-06-03,5454
2016-06-04,5454
2016-06-05,5454
2016-06-06,5454
2016-06-07,5454
2016-06-08,5454
2016-06-09,5454
2016-06-10,5454
2016-06-11,5454
2016-06-12,5454
2016-06-13,5454
2016-06-14,5196
2016-06-15,5196
2016-06-16,5196
2016-06-17,5196
2016-06-18,5196
2016-06-19,5196
2016-06-20,5196
2016-06-21,5196
2016-06-22,5196
2016-06-23,5196
2016-06-24,5196
2016-06-25,5196
2016-06-26,5196
2016-06-27,4947
2016-06-28,4947
2016-06-29,4947
2016-06-30,4947
2016-07-01,4947
2016-07-02,4947
2016-07-03,4947
2016-07-04,4947
2016-07-05,4947
2016-07-06,4947
2016-07-07,4947
2016-07-08,4947
2016-07-09,4705
2016-07-10,4705
2016-07-11,4705
2016-07-12,4705
2016-07-13,4705
2016-07-14,4705
2016-07-15,4705
2016-07-16,4705
2016-07-17,4705
2016-07-18,4705
2016-07-19,4705
2016-07-20,4705
2016-07-21,4491
2016-07-22,4491
2016-07-23,4491
2016-07-24,4491
2016-07-25,4491
2016-07-26,4491
2016-07-27,4491
2016-07-28,4491
2016-07-29,4491
2016-07-30,4491
2016-07-31,4491
2016-08-01,4491
2016-08-02,4491
2016-08-03,4491
2016-08-04,4491
2016-08-05,4491
2016-08-06,4491
2016-08-07,4277
2016-08-08,4277
2016-08-09,4277
2016-08-10,4277
2016-08-11,4277
2016-08-12,4277
2016-08-13,4277
2016-08-14,4277
