date_obj,Ancient%20totem price
2017-11-23,965741
2017-11-24,979927
2017-11-25,986990
2017-11-26,986859
2017-11-27,986859
2017-11-28,985762
2017-11-29,985762
2017-11-30,983002
2017-12-01,985492
2017-12-02,985492
2017-12-03,989520
2017-12-04,989520
2017-12-05,987012
2017-12-06,987012
2017-12-07,978426
2017-12-08,978426
2017-12-09,978426
2017-12-10,978143
2017-12-11,978143
2017-12-12,978143
2017-12-13,978222
2017-12-14,978222
2017-12-15,978222
2017-12-16,979957
2017-12-17,979957
2017-12-18,979957
2017-12-19,982732
2017-12-20,982732
2017-12-21,982732
2017-12-22,982732
2017-12-23,984855
2017-12-24,984855
2017-12-25,984855
2017-12-26,984855
2017-12-27,984455
2017-12-28,984455
2017-12-29,984455
2017-12-30,984455
2017-12-31,984455
2018-01-01,975701
2018-01-02,975701
2018-01-03,975701
2018-01-04,975701
2018-01-05,983663
2018-01-06,983663
2018-01-07,983663
2018-01-08,983663
2018-01-09,983898
2018-01-10,983898
2018-01-11,983898
2018-01-12,983898
2018-01-13,983898
2018-01-14,980945
2018-01-15,980945
2018-01-16,980945
2018-01-17,980945
2018-01-18,983836
2018-01-19,983836
2018-01-20,983836
2018-01-21,983836
2018-01-22,983836
2018-01-23,981678
2018-01-24,981678
2018-01-25,981678
2018-01-26,983200
2018-01-27,983200
2018-01-28,983648
2018-01-29,983648
2018-01-30,984004
2018-01-31,984004
2018-02-01,984004
2018-02-02,983988
2018-02-03,983988
2018-02-04,984089
2018-02-05,984089
2018-02-06,984290
2018-02-07,984358
2018-02-08,944119
2018-02-09,965272
2018-02-10,972928
2018-02-11,982226
2018-02-12,984006
2018-02-13,985353
2018-02-14,986822
2018-02-15,961981
2018-02-16,960939
2018-02-17,967034
2018-02-18,955262
2018-02-19,961029
2018-02-20,959844
2018-02-21,966160
2018-02-22,967881
2018-02-23,968164
2018-02-24,968164
2018-02-25,972138
2018-02-26,972750
2018-02-27,972711
2018-02-28,972711
2018-03-01,974508
2018-03-02,975269
2018-03-03,975877
2018-03-04,975877
2018-03-05,978224
2018-03-06,979652
2018-03-07,975952
2018-03-08,961111
2018-03-09,967792
2018-03-10,975632
2018-03-11,978467
2018-03-12,981268
2018-03-13,983614
2018-03-14,985998
2018-03-15,978035
2018-03-16,983217
2018-03-17,984131
2018-03-18,986406
2018-03-19,986406
2018-03-20,986578
2018-03-21,986938
2018-03-22,987046
2018-03-23,986975
2018-03-24,987120
2018-03-25,987803
2018-03-26,987858
2018-03-27,987988
2018-03-28,987988
2018-03-29,988922
2018-03-30,989106
2018-03-31,989824
2018-04-01,988410
2018-04-02,983791
2018-04-03,983602
2018-04-04,982883
2018-04-05,982883
2018-04-06,984365
2018-04-07,984365
2018-04-08,977785
2018-04-09,990728
2018-04-10,990032
2018-04-11,990390
2018-04-12,989613
2018-04-13,980269
2018-04-14,970647
2018-04-15,990017
2018-04-16,990017
2018-04-17,990366
2018-04-18,977536
2018-04-19,991839
2018-04-20,993182
2018-04-21,991654
2018-04-22,993383
2018-04-23,993837
2018-04-24,993911
2018-04-25,993811
2018-04-26,993811
2018-04-27,974987
2018-04-28,980577
2018-04-29,984810
2018-04-30,986708
2018-05-01,987369
2018-05-02,987568
2018-05-03,988574
2018-05-04,989114
2018-05-05,989405
2018-05-06,989405
2018-05-07,990311
2018-05-08,990712
2018-05-09,990860
2018-05-10,963325
2018-05-11,968320
2018-05-12,972518
2018-05-13,972518
2018-05-14,974734
2018-05-15,974980
2018-05-16,975836
2018-05-17,978398
2018-05-18,971822
2018-05-19,959508
2018-05-20,973288
2018-05-21,975770
2018-05-22,975770
2018-05-23,965447
2018-05-24,963706
2018-05-25,965973
2018-05-26,970403
2018-05-27,971318
2018-05-28,971981
2018-05-29,972927
2018-05-30,973454
2018-05-31,974449
2018-06-01,974864
2018-06-02,975528
2018-06-03,990640
2018-06-04,973412
2018-06-05,978030
2018-06-06,980265
2018-06-07,974295
2018-06-08,980792
2018-06-09,981027
2018-06-10,981893
2018-06-11,983846
2018-06-12,984759
2018-06-13,985816
2018-06-14,986559
2018-06-15,986554
2018-06-16,981858
2018-06-17,984856
2018-06-18,988005
2018-06-19,987511
2018-06-20,987511
2018-06-21,988295
2018-06-22,996873
2018-06-23,985300
2018-06-24,982385
2018-06-25,976350
2018-06-26,990053
2018-06-27,990552
2018-06-28,990575
2018-06-29,977984
2018-06-30,984532
2018-07-01,982301
2018-07-02,985734
2018-07-03,973979
2018-07-04,981287
2018-07-05,982548
2018-07-06,979279
2018-07-07,990354
2018-07-08,978376
2018-07-09,966706
2018-07-10,978734
2018-07-11,980566
2018-07-12,981291
2018-07-13,983054
2018-07-14,985725
2018-07-15,986293
2018-07-16,986299
2018-07-17,987230
2018-07-18,987534
2018-07-19,995244
2018-07-20,996153
2018-07-21,981729
2018-07-22,989703
2018-07-23,990154
2018-07-24,996791
2018-07-25,986122
2018-07-26,986051
2018-07-27,985714
2018-07-28,981122
2018-07-29,991223
2018-07-30,996583
2018-07-31,1000225
2018-08-01,999984
2018-08-02,1000060
2018-08-03,999972
2018-08-04,999729
2018-08-05,976392
2018-08-06,977903
2018-08-07,985052
2018-08-08,990356
2018-08-09,993140
2018-08-10,993183
2018-08-11,996556
2018-08-12,998718
2018-08-14,986035
2018-08-16,986278
2018-08-17,986445
2018-08-18,986445
2018-08-19,986584
