date_obj,Bronze%20dragon%20mask price
2016-02-14,24950
2016-02-15,24472
2016-02-16,24472
2016-02-17,24472
2016-02-18,24472
2016-02-19,24198
2016-02-20,24198
2016-02-21,24198
2016-02-22,24055
2016-02-23,24055
2016-02-24,24055
2016-02-25,24055
2016-02-26,23226
2016-02-27,23226
2016-02-28,23226
2016-02-29,22922
2016-03-01,22922
2016-03-02,22922
2016-03-03,22922
2016-03-04,22872
2016-03-05,22872
2016-03-06,22872
2016-03-07,22872
2016-03-08,23157
2016-03-09,23157
2016-03-10,23157
2016-03-11,23157
2016-03-12,23658
2016-03-13,23658
2016-03-14,23658
2016-03-15,23658
2016-03-16,23575
2016-03-17,23575
2016-03-18,23575
2016-03-19,23575
2016-03-20,23125
2016-03-21,23125
2016-03-22,23125
2016-03-23,23125
2016-03-24,23125
2016-03-25,22210
2016-03-26,22210
2016-03-27,22210
2016-03-28,21162
2016-03-29,21162
2016-03-30,21162
2016-03-31,21162
2016-04-01,20163
2016-04-02,20163
2016-04-03,20163
2016-04-04,20163
2016-04-05,19154
2016-04-06,19154
2016-04-07,19154
2016-04-08,18274
2016-04-09,18274
2016-04-10,18274
2016-04-11,18274
2016-04-12,17480
2016-04-13,17480
2016-04-14,17480
2016-04-15,17480
2016-04-16,16688
2016-04-17,16688
2016-04-18,16688
2016-04-19,15982
2016-04-20,15982
2016-04-21,15982
2016-04-22,15982
2016-04-23,15350
2016-04-24,15350
2016-04-25,15350
2016-04-26,14716
2016-04-27,14716
2016-04-28,14716
2016-04-29,14716
2016-04-30,14407
2016-05-01,14407
2016-05-02,14407
2016-05-03,13937
2016-05-04,13937
2016-05-05,13937
2016-05-06,13802
2016-05-07,13802
2016-05-08,13802
2016-05-09,13536
2016-05-10,13536
2016-05-11,13536
2016-05-12,13536
2016-05-13,13024
2016-05-14,13024
2016-05-15,13024
2016-05-16,13024
2016-05-17,12848
2016-05-18,12848
2016-05-19,12848
2016-05-22,12854
2016-05-23,12854
2016-05-24,13329
2016-05-25,13329
2016-05-26,13329
2016-05-27,13329
2016-05-28,13953
2016-05-29,13953
2016-05-30,13953
2016-05-31,13953
2016-06-01,14398
2016-06-02,14398
2016-06-03,14398
2016-06-04,14398
2016-06-05,14793
2016-06-06,14793
2016-06-07,14793
2016-06-08,14793
2016-06-09,14946
2016-06-10,14946
2016-06-11,14946
2016-06-12,14946
2016-06-13,14775
2016-06-14,14775
2016-06-15,14775
2016-06-16,14775
2016-06-17,14825
2016-06-18,14825
2016-06-19,14825
2016-06-20,14825
2016-06-21,14825
2016-06-22,14982
2016-06-23,14982
2016-06-24,14982
2016-06-25,14982
2016-06-26,14887
2016-06-27,14887
2016-06-28,14887
2016-06-29,14887
2016-06-30,14385
2016-07-01,14385
2016-07-02,14385
2016-07-03,14385
2016-07-04,13922
2016-07-05,13922
2016-07-06,13922
2016-07-07,13922
