date_obj,Red%20cavalier price
2015-03-26,16188
2015-03-27,16188
2015-03-28,15897
2015-03-29,15204
2015-03-30,14443
2015-03-31,13720
2015-04-01,13305
2015-04-02,13108
2015-04-03,13092
2015-04-04,12810
2015-04-05,12810
2015-04-06,12704
2015-04-07,12570
2015-04-08,12570
2015-04-09,12430
2015-04-10,12812
2015-04-11,12786
2015-04-12,12851
2015-04-13,13123
2015-04-14,12887
2015-04-15,12959
2015-04-16,12873
2015-04-17,12730
2015-04-18,12787
2015-04-19,13075
2015-04-20,13075
2015-04-21,13464
2015-04-22,13630
2015-04-23,13689
2015-04-24,13671
2015-04-25,13481
2015-04-26,13393
2015-04-27,13281
2015-04-28,13189
2015-04-29,13189
2015-04-30,13343
2015-05-01,13360
2015-05-02,13261
2015-05-03,13261
2015-05-04,13409
2015-05-05,12989
2015-05-06,12723
2015-05-07,12407
2015-05-08,12061
2015-05-09,11935
2015-05-10,11843
2015-05-11,11843
2015-05-12,12011
2015-05-13,11775
2015-05-14,11886
2015-05-15,12073
2015-05-16,12073
2015-05-17,12311
2015-05-18,12541
2015-05-19,12309
2015-05-20,12309
2015-05-21,12094
2015-05-22,12016
2015-05-23,11961
2015-05-24,11813
2015-05-25,11681
2015-05-26,11096
2015-05-27,10588
2015-05-28,10132
2015-05-29,9761
2015-05-30,9272
2015-05-31,8855
2015-06-01,8694
2015-06-02,8694
2015-06-03,8619
2015-06-04,8370
2015-06-05,8419
2015-06-06,8355
2015-06-07,8346
2015-06-08,8346
2015-06-09,8526
2015-06-10,8906
2015-06-11,8906
2015-06-12,9065
2015-06-13,9329
2015-06-14,9567
2015-06-15,9827
2015-06-16,9931
2015-06-17,9887
2015-06-18,10162
2015-06-19,10523
2015-06-20,10598
2015-06-21,10598
2015-06-22,10691
2015-06-23,10691
2015-06-24,10553
2015-06-25,10553
2015-06-26,10631
2015-06-27,10631
2015-06-28,10630
2015-06-29,10630
2015-06-30,10704
2015-07-01,10944
2015-07-02,10944
2015-07-03,10951
2015-07-04,10919
2015-07-05,11151
2015-07-06,11151
2015-07-07,11261
2015-07-08,11390
2015-07-09,11390
2015-07-10,11128
2015-07-11,11128
2015-07-12,11371
2015-07-13,11515
2015-07-14,11278
2015-07-15,11659
2015-07-16,12177
2015-07-17,12704
2015-07-18,12704
2015-07-19,13093
2015-07-20,13172
2015-07-21,13172
2015-07-22,13381
2015-07-23,13381
2015-07-24,13677
2015-07-25,13677
2015-07-26,13961
2015-07-27,14367
2015-07-28,14112
2015-07-29,13922
2015-07-30,13281
2015-07-31,12715
2015-08-01,12715
2015-08-02,12389
2015-08-03,11955
2015-08-04,11955
2015-08-05,11863
2015-08-06,11310
2015-08-07,11069
2015-08-08,10953
2015-08-09,10755
2015-08-10,10814
2015-08-11,10843
2015-08-12,10843
2015-08-13,10595
2015-08-14,10218
2015-08-15,9986
2015-08-16,9534
2015-08-17,9057
2015-08-18,8702
2015-08-19,8354
2015-08-20,8056
2015-08-21,8106
2015-08-22,8024
2015-08-23,8024
2015-08-24,7872
2015-08-25,7872
2015-08-26,7813
2015-08-27,7444
2015-08-28,7444
2015-08-29,7232
2015-08-30,7232
2015-08-31,7139
2015-09-01,7160
2015-09-02,7160
2015-09-03,7227
2015-09-04,7124
2015-09-05,7124
2015-09-06,7090
2015-09-07,7062
2015-09-08,7240
2015-09-09,7538
2015-09-10,7650
2015-09-11,7861
2015-09-12,8168
2015-09-13,8259
2015-09-14,8230
2015-09-15,8430
2015-09-16,8430
2015-09-17,8424
2015-09-18,8424
2015-09-19,8606
2015-09-20,8606
2015-09-21,8706
2015-09-22,8612
2015-09-23,8840
2015-09-24,8840
2015-09-25,9197
2015-09-27,9435
2015-09-28,9704
2015-09-29,9704
2015-09-30,9697
2015-10-05,9024
2015-10-06,8953
2015-10-07,8817
2015-10-08,8790
2015-10-09,8579
2015-10-10,8579
2015-10-11,8526
2015-10-12,8130
2015-10-13,8130
2015-10-14,7810
2015-10-15,7449
2015-10-16,7084
2015-10-17,7084
2015-10-18,6980
2015-10-19,6968
2015-10-20,6892
2015-10-22,6740
2015-10-23,6762
2015-10-24,6762
2015-10-25,6703
2015-10-26,6663
2015-10-27,6663
2015-10-29,6828
2015-10-30,6828
2015-10-31,6648
2015-11-01,6648
2015-11-02,6755
2015-11-03,6755
2015-11-04,6745
2015-11-05,6740
2015-11-06,6740
2015-11-07,6559
2015-11-08,6559
2015-11-09,6523
2015-11-10,6523
2015-11-11,6810
2015-11-12,6810
2015-11-13,6921
2015-11-14,6921
2015-11-15,7018
2015-11-16,7018
2015-11-17,7196
2015-11-18,7196
2015-11-19,7272
2015-11-20,7280
2015-11-21,7280
2015-11-22,7237
2015-11-23,7237
2015-11-24,7145
2015-11-25,7167
2015-11-26,7167
2015-11-27,7110
2015-11-28,7110
2015-11-29,7093
2015-11-30,7201
2015-12-01,7201
2015-12-02,7121
2015-12-03,7011
2015-12-04,7011
2015-12-05,6844
2015-12-06,6530
2015-12-07,6530
2015-12-08,6407
2015-12-09,6358
2015-12-10,6358
2015-12-11,6328
2015-12-12,6328
2015-12-13,6514
2015-12-14,6514
2015-12-15,6533
2015-12-16,6533
2015-12-17,6739
2015-12-18,6911
2015-12-19,6911
2015-12-20,6890
2015-12-21,6890
2015-12-22,6825
2015-12-23,6900
2015-12-24,6824
2015-12-25,6824
2015-12-26,6758
2015-12-27,6825
2015-12-28,6825
2015-12-29,7077
2015-12-30,7046
2015-12-31,7046
2016-01-01,7112
2016-01-02,7256
2016-01-03,7530
2016-01-04,7747
2016-01-05,7781
2016-01-06,7777
2016-01-07,7743
2016-01-08,7774
2016-01-09,7774
2016-01-10,7691
2016-01-11,7691
2016-01-12,7549
2016-01-13,7549
2016-01-14,7234
2016-01-15,6985
2016-01-16,7096
2016-01-17,7096
2016-01-18,6922
2016-01-19,6922
2016-01-20,6739
2016-01-21,6739
2016-01-22,6584
2016-01-23,6490
2016-01-24,6490
2016-01-25,6367
2016-01-26,6367
2016-01-27,6368
2016-01-28,6368
2016-01-29,6377
2016-01-30,6377
2016-01-31,6468
2016-02-01,6600
2016-02-02,6600
2016-02-03,6686
2016-02-04,6686
2016-02-05,6849
2016-02-06,6760
2016-02-07,6760
2016-02-08,6727
2016-02-09,6653
2016-02-10,6684
2016-02-11,6684
2016-02-12,6657
2016-02-13,6388
2016-02-14,6388
2016-02-15,6197
2016-02-16,6197
2016-02-17,6012
2016-02-18,6012
2016-02-19,5722
2016-02-20,5701
2016-02-21,5648
2016-02-22,5648
2016-02-23,5566
2016-02-24,5496
2016-02-25,5466
2016-02-26,5466
2016-02-27,5491
2016-02-28,5404
2016-02-29,5252
2016-03-01,5156
2016-03-02,5156
2016-03-03,5130
2016-03-04,5133
2016-03-05,5137
2016-03-06,5182
2016-03-07,5182
2016-03-08,5312
2016-03-09,5481
2016-03-10,5583
2016-03-11,5810
2016-03-12,5766
2016-03-13,5869
2016-03-14,6097
2016-03-15,6264
2016-03-16,6413
2016-03-17,6355
2016-03-18,6521
2016-03-19,6718
2016-03-20,6896
2016-03-21,6896
2016-03-22,7017
2016-03-23,6798
2016-03-24,6798
2016-03-25,6698
2016-03-26,6469
2016-03-27,6389
2016-03-28,6346
2016-03-29,6370
2016-03-30,6370
2016-03-31,6211
2016-04-01,6173
2016-04-02,6209
2016-04-03,6133
2016-04-04,6044
2016-04-05,6044
2016-04-06,6205
2016-04-07,6205
2016-04-08,6144
2016-04-09,6018
2016-04-10,5915
2016-04-11,5915
2016-04-12,5966
2016-04-13,5823
2016-04-14,5620
2016-04-15,5514
2016-04-16,5449
2016-04-17,5410
2016-04-18,5442
2016-04-19,5488
2016-04-20,5502
2016-04-21,5518
2016-04-22,5518
2016-04-23,5430
2016-04-24,5436
2016-04-25,5539
2016-04-26,5643
2016-04-27,5659
2016-04-28,5659
2016-04-29,5469
2016-04-30,5316
2016-05-01,5351
2016-05-02,5235
2016-05-03,5346
2016-05-04,5454
2016-05-05,5464
2016-05-06,5464
2016-05-07,5502
2016-05-08,5502
2016-05-09,5729
2016-05-10,5959
2016-05-11,5959
2016-05-12,6161
2016-05-13,5936
2016-05-14,5907
2016-05-15,5922
2016-05-16,5922
2016-05-17,6037
2016-05-18,6153
2016-05-19,6284
2016-05-22,6567
2016-05-23,6556
2016-05-24,6672
2016-05-25,6672
2016-05-26,6588
2016-05-27,6558
2016-05-28,6558
2016-05-29,6380
2016-05-30,6380
2016-05-31,6350
2016-06-01,6165
2016-06-02,5870
2016-06-03,5715
2016-06-04,5675
2016-06-05,5767
2016-06-06,5906
2016-06-07,5906
2016-06-08,6064
2016-06-09,6230
2016-06-10,6358
2016-06-11,6358
2016-06-12,6418
2016-06-13,6418
2016-06-14,6595
2016-06-15,6788
2016-06-16,6938
2016-06-17,7051
2016-06-18,7051
2016-06-19,7220
2016-06-20,7368
2016-06-21,7339
2016-06-22,7424
2016-06-23,7456
2016-06-24,7568
2016-06-25,7593
2016-06-26,7593
2016-06-27,7722
2016-06-28,7859
2016-06-29,7859
2016-06-30,7841
2016-07-01,7891
2016-07-02,7859
2016-07-03,7845
2016-07-04,7805
2016-07-05,7805
2016-07-06,7805
2016-07-07,7626
2016-07-08,7533
2016-07-09,7410
2016-07-10,7232
2016-07-11,6870
2016-07-12,6567
2016-07-13,6331
2016-07-14,6304
2016-07-15,6099
2016-07-16,5899
2016-07-17,5838
2016-07-18,5698
2016-07-23,5172
2016-07-24,5189
2016-07-25,5336
2016-07-26,5336
2016-07-27,5524
2016-07-28,5524
2016-07-29,5632
2016-07-30,5709
2016-07-31,5709
2016-08-01,5753
2016-08-02,5764
2016-08-03,5692
2016-08-04,5692
2016-08-05,5593
2016-08-06,5573
2016-08-07,5704
2016-08-08,5704
2016-08-09,5774
2016-08-10,5755
2016-08-11,5755
2016-08-12,5830
2016-08-13,5830
2016-08-14,5893
2016-08-15,6088
2016-08-16,6088
2016-08-17,6176
2016-08-18,5969
2016-08-19,5891
2016-08-20,5941
2016-08-21,5941
2016-08-22,5986
2016-08-23,5836
2016-08-24,5836
2016-08-25,5779
2016-08-26,5779
