date_obj,Twisted%20hat%20(t2) price
2020-01-13,100000
2020-01-14,100000
2020-01-15,104947
2020-01-16,110195
2020-01-17,110195
2020-01-18,115626
2020-01-19,115626
2020-01-20,121191
2020-01-21,121191
2020-01-22,121191
2020-01-23,121191
2020-01-24,127095
2020-01-25,127095
2020-01-26,127095
2020-01-27,127095
2020-01-28,127095
2020-01-29,127095
2020-01-30,127095
2020-01-31,127095
2020-02-01,133224
2020-02-02,133224
2020-02-03,133224
2020-02-04,133224
2020-02-05,133224
2020-02-06,133224
2020-02-07,133224
2020-02-08,133224
2020-02-09,133224
2020-02-10,133224
2020-02-11,139586
2020-02-12,139586
2020-02-13,139586
2020-02-14,139586
2020-02-15,139586
2020-02-16,139586
2020-02-17,139586
2020-02-18,139586
2020-02-19,139586
2020-02-20,139586
2020-02-21,139586
2020-02-22,139586
2020-02-23,139586
2020-02-24,139586
2020-02-25,146286
2020-02-26,146286
2020-02-27,146286
2020-02-28,146286
2020-02-29,146286
2020-03-01,146286
2020-03-02,146286
2020-03-03,146286
2020-03-04,146286
2020-03-05,146286
2020-03-06,146286
2020-03-07,146286
2020-03-08,146286
2020-03-09,146286
2020-03-10,146286
2020-03-11,153487
2020-03-12,153487
2020-03-13,153487
2020-03-14,153487
2020-03-15,153487
2020-03-16,153487
2020-03-17,153487
2020-03-18,153487
2020-03-19,153487
2020-03-20,153487
2020-03-21,153487
2020-03-22,153487
2020-03-23,153487
2020-03-24,153487
2020-03-25,153487
2020-03-26,153487
2020-03-27,153487
2020-03-28,153487
2020-03-29,153487
2020-03-30,160846
2020-03-31,160846
2020-04-01,160846
2020-04-02,160846
2020-04-03,160846
2020-04-04,160846
2020-04-05,160846
2020-04-06,160846
2020-04-07,160846
2020-04-08,160846
2020-04-09,160846
2020-04-10,160846
2020-04-11,160846
2020-04-12,160846
2020-04-13,160846
2020-04-14,160846
2020-04-15,168234
2020-04-16,168234
2020-04-17,168234
2020-04-18,168234
2020-04-19,168234
2020-04-20,168234
2020-04-21,168234
2020-04-22,168234
2020-04-23,168234
2020-04-24,168234
2020-04-25,168234
2020-04-26,168234
2020-04-27,168234
2020-04-28,168234
2020-04-29,168234
2020-04-30,168234
2020-05-01,168234
2020-05-02,175706
2020-05-03,175706
2020-05-04,175706
2020-05-05,175706
2020-05-06,175706
2020-05-07,175706
2020-05-08,175706
2020-05-09,175706
2020-05-10,175706
2020-05-11,175706
2020-05-12,175706
2020-05-13,175706
