date_obj,Dragon%20longsword price
2015-03-26,67709
2015-03-27,67709
2015-03-28,69264
2015-03-29,70249
2015-03-30,67409
2015-03-31,67052
2015-04-01,67877
2015-04-02,68782
2015-04-03,68471
2015-04-04,66525
2015-04-05,65448
2015-04-06,66179
2015-04-07,68412
2015-04-08,71417
2015-04-09,71637
2015-04-10,69901
2015-04-11,67707
2015-04-12,67828
2015-04-13,68079
2015-04-14,69348
2015-04-15,70813
2015-04-16,70333
2015-04-17,69846
2015-04-18,67616
2015-04-19,67880
2015-04-20,67880
2015-04-21,69103
2015-04-22,68382
2015-04-23,67626
2015-04-24,68206
2015-04-25,67621
2015-04-26,67531
2015-04-27,67374
2015-04-28,67742
2015-04-29,67742
2015-04-30,68719
2015-05-01,69393
2015-05-02,69193
2015-05-03,69193
2015-05-04,66726
2015-05-05,65936
2015-05-06,66237
2015-05-07,66047
2015-05-08,66318
2015-05-09,66406
2015-05-10,67576
2015-05-11,67576
2015-05-12,69126
2015-05-13,67555
2015-05-14,66542
2015-05-15,67469
2015-05-16,68889
2015-05-17,69263
2015-05-18,68553
2015-05-19,67562
2015-05-20,67562
2015-05-21,67739
2015-05-22,68689
2015-05-23,67683
2015-05-24,66867
2015-05-25,67235
2015-05-26,68439
2015-05-27,68337
2015-05-28,68966
2015-05-29,68389
2015-05-30,67676
2015-05-31,66925
2015-06-01,68375
2015-06-02,68023
2015-06-03,68434
2015-06-04,67125
2015-06-05,66783
2015-06-06,68370
2015-06-07,69872
2015-06-08,68296
2015-06-09,67752
2015-06-10,67846
2015-06-11,68553
2015-06-12,69182
2015-06-13,68431
2015-06-14,67042
2015-06-15,67404
2015-06-16,68608
2015-06-17,70850
2015-06-18,68206
2015-06-19,67174
2015-06-20,68235
2015-06-21,69225
2015-06-22,69661
2015-06-23,67398
2015-06-24,66863
2015-06-25,67317
2015-06-26,67673
2015-06-27,69914
2015-06-28,68771
2015-06-29,67556
2015-06-30,68548
2015-07-01,68257
2015-07-02,68257
2015-07-03,68858
2015-07-04,67088
2015-07-05,68085
2015-07-06,68110
2015-07-07,68703
2015-07-08,68673
2015-07-09,69617
2015-07-10,68029
2015-07-11,67002
2015-07-12,66930
2015-07-13,68080
2015-07-14,70806
2015-07-15,71620
2015-07-16,74164
2015-07-17,76395
2015-07-18,72778
2015-07-19,70821
2015-07-20,67878
2015-07-21,65289
2015-07-22,66603
2015-07-23,66603
2015-07-24,69119
2015-07-25,68050
2015-07-26,68076
2015-07-27,67905
2015-07-28,66929
2015-07-29,68402
2015-07-30,69602
2015-07-31,71094
2015-08-01,70117
2015-08-02,68981
2015-08-03,67370
2015-08-04,67889
2015-08-05,68269
2015-08-06,67887
2015-08-07,68585
2015-08-08,69235
2015-08-09,68831
2015-08-10,68665
2015-08-11,69301
2015-08-12,69785
2015-08-13,69517
2015-08-14,67475
2015-08-15,66709
2015-08-16,67592
2015-08-17,67265
2015-08-18,66359
2015-08-19,67797
2015-08-20,69366
2015-08-21,68795
2015-08-22,69495
2015-08-23,71814
2015-08-24,68656
2015-08-25,68656
2015-08-26,67132
2015-08-27,68478
2015-08-28,69719
2015-08-29,67402
2015-08-30,65501
2015-08-31,67562
2015-09-01,68953
2015-09-02,69703
2015-09-03,67916
2015-09-04,67840
2015-09-05,67425
2015-09-06,68555
2015-09-07,68677
2015-09-08,69434
2015-09-09,67126
2015-09-10,66465
2015-09-11,66889
2015-09-12,67612
2015-09-13,67510
2015-09-14,67952
2015-09-15,69236
2015-09-16,67945
2015-09-17,67709
2015-09-18,68525
2015-09-19,67455
2015-09-20,68082
2015-09-21,71289
2015-09-22,68999
2015-09-23,67876
2015-09-24,67535
2015-09-25,68584
2015-09-27,69775
2015-09-28,73264
2015-09-29,75091
2015-09-30,74295
2015-10-05,69101
2015-10-06,67638
2015-10-07,68312
2015-10-08,67793
2015-10-09,67475
2015-10-10,67475
2015-10-11,69105
2015-10-12,68131
2015-10-13,67706
2015-10-14,69001
2015-10-15,66718
2015-10-16,68039
2015-10-17,68039
2015-10-18,68363
2015-10-19,67203
2015-10-20,68281
2015-10-22,68579
2015-10-23,67870
2015-10-24,67986
2015-10-25,68207
2015-10-26,67835
2015-10-27,69572
2015-10-29,68563
2015-10-30,68731
2015-10-31,68499
2015-11-01,69180
2015-11-02,68739
2015-11-03,69016
2015-11-04,71581
2015-11-05,73020
