date_obj,Spined%20helm price
2015-03-26,72000
2015-03-27,72000
2015-03-28,72000
2015-03-29,72000
2015-03-30,72000
2015-03-31,72000
2015-04-01,73917
2015-04-02,73917
2015-04-03,73917
2015-04-04,73917
2015-04-05,73917
2015-04-06,73917
2015-04-07,73917
2015-04-08,73917
2015-04-09,73917
2015-04-10,73917
2015-04-11,73917
2015-04-12,73917
2015-04-13,73917
2015-04-14,73917
2015-04-15,73917
2015-04-16,73917
2015-04-17,73917
2015-04-18,73917
2015-04-19,73917
2015-04-20,73917
2015-04-21,73917
2015-04-22,73917
2015-04-23,73917
2015-04-24,73917
2015-04-25,73917
2015-04-26,73917
2015-04-27,73917
2015-04-28,73917
2015-04-29,73917
2015-04-30,73917
2015-05-01,73917
2015-05-02,73917
2015-05-03,73917
2015-05-04,73917
2015-05-05,73917
2015-05-06,73917
2015-05-07,73917
2015-05-08,73917
2015-05-09,73917
2015-05-10,76494
2015-05-11,76494
2015-05-12,76494
2015-05-13,76494
2015-05-14,76494
2015-05-15,76494
2015-05-16,76494
2015-05-17,76494
2015-05-18,76494
2015-05-19,76494
2015-05-20,76494
2015-05-21,76494
2015-05-22,76494
2015-05-23,76494
2015-05-24,76494
2015-05-25,76494
2015-05-26,76494
2015-05-27,76494
2015-05-28,76494
2015-05-29,76494
2015-05-30,76494
2015-05-31,76494
2015-06-01,76494
2015-06-02,76494
2015-06-03,76494
2015-06-04,79337
2015-06-05,79337
2015-06-06,79337
2015-06-07,79337
2015-06-08,79337
2015-06-09,79337
2015-06-10,79337
2015-06-11,79337
2015-06-12,79337
2015-06-13,79337
2015-06-14,79337
2015-06-15,79337
2015-06-16,79337
2015-06-17,79337
2015-06-18,79337
2015-06-19,79337
2015-06-20,79337
2015-06-21,79337
2015-06-22,79337
2015-06-23,79337
2015-06-24,79337
2015-06-25,79337
2015-06-26,79337
2015-06-27,79337
2015-06-28,79337
2015-06-29,79337
2015-06-30,79337
2015-07-01,79337
2015-07-02,79337
2015-07-03,79337
2015-07-04,82565
2015-07-05,82565
2015-07-06,82565
2015-07-07,82565
2015-07-08,82565
2015-07-09,82565
2015-07-10,82565
2015-07-11,82565
2015-07-12,82565
2015-07-13,82565
2015-07-14,82565
2015-07-15,82565
2015-07-16,82565
2015-07-17,82565
2015-07-18,82565
2015-07-19,82565
2015-07-20,82565
2015-07-21,82565
2015-07-22,82565
2015-07-23,82565
2015-07-24,82565
2015-07-25,82565
2015-07-26,82565
2015-07-27,82565
2015-07-28,82565
2015-07-29,82565
2015-07-30,82565
2015-07-31,82565
2015-08-01,82565
2015-08-02,86051
2015-08-03,86051
2015-08-04,86051
2015-08-05,86051
2015-08-06,86051
2015-08-07,86051
2015-08-08,86051
2015-08-09,86051
2015-08-10,86051
2015-08-11,86051
2015-08-12,86051
2015-08-13,86051
2015-08-14,86051
2015-08-15,86051
2015-08-16,86051
2015-08-17,86051
2015-08-18,86051
2015-08-19,86051
2015-08-20,86051
2015-08-21,86051
2015-08-22,86051
2015-08-23,86051
2015-08-24,86051
2015-08-25,86051
2015-08-26,86051
2015-08-27,86051
2015-08-28,86051
2015-08-29,86051
2015-08-30,89600
2015-08-31,89600
2015-09-01,89600
2015-09-02,89600
2015-09-03,89600
2015-09-04,89600
2015-09-05,89600
2015-09-06,89600
2015-09-07,89600
2015-09-08,89600
2015-09-09,89600
2015-09-10,89600
2015-09-11,89600
2015-09-12,89600
2015-09-13,89600
2015-09-14,89600
2015-09-15,89600
2015-09-16,89600
2015-09-17,89600
2015-09-18,89600
2015-09-19,89600
2015-09-20,89600
2015-09-21,89600
2015-09-22,89600
2015-09-23,89600
2015-09-24,89600
2015-09-25,89600
2015-09-27,89600
2015-09-28,89600
2015-09-29,89600
2015-09-30,93303
2015-10-05,93303
2015-10-06,93303
2015-10-07,93303
2015-10-08,93303
2015-10-09,93303
2015-10-10,93303
2015-10-11,93303
2015-10-12,93303
2015-10-13,93303
2015-10-14,93303
2015-10-15,93303
2015-10-16,93303
2015-10-17,93303
2015-10-18,93303
2015-10-19,93303
2015-10-20,93303
2015-10-22,93303
2015-10-23,93303
2015-10-24,93303
2015-10-25,93303
2015-10-26,93303
2015-10-27,93303
2015-10-29,93303
2015-10-30,93303
2015-10-31,93303
2015-11-01,97004
2015-11-02,97004
2015-11-03,97004
2015-11-04,97004
2015-11-05,97004
2015-11-06,97004
2015-11-07,97004
2015-11-08,97004
2015-11-09,97004
2015-11-10,97004
2015-11-11,97004
2015-11-12,97004
2015-11-13,97004
2015-11-14,97004
2015-11-15,97004
2015-11-16,97004
2015-11-17,97004
2015-11-18,97004
2015-11-19,97004
2015-11-20,97004
2015-11-21,97004
2015-11-22,97004
2015-11-23,97004
2015-11-24,97004
2015-11-25,97004
2015-11-26,97004
2015-11-27,97004
2015-11-28,97004
2015-11-29,101339
2015-11-30,101339
2015-12-01,101339
2015-12-02,101339
2015-12-03,101339
