date_obj,Emerald%20bracelet price
2015-03-26,743
2015-03-27,743
2015-03-28,761
2015-03-29,761
2015-03-30,761
2015-03-31,761
2015-04-01,761
2015-04-02,761
2015-04-03,761
2015-04-04,761
2015-04-05,761
2015-04-06,761
2015-04-07,761
2015-04-08,777
2015-04-09,777
2015-04-10,777
2015-04-11,777
2015-04-12,777
2015-04-13,777
2015-04-14,777
2015-04-15,777
2015-04-16,777
2015-04-17,777
2015-04-18,777
2015-04-19,777
2015-04-20,777
2015-04-21,791
2015-04-22,791
2015-04-23,791
2015-04-24,791
2015-04-25,791
2015-04-26,791
2015-04-27,791
2015-04-28,791
2015-04-29,791
2015-04-30,791
2015-05-01,791
2015-05-02,791
2015-05-03,791
2015-05-04,791
2015-05-05,802
2015-05-06,802
2015-05-07,802
2015-05-08,802
2015-05-09,802
2015-05-10,802
2015-05-11,802
2015-05-12,802
2015-05-13,802
2015-05-14,802
2015-05-15,802
2015-05-16,802
2015-05-17,802
2015-05-18,802
2015-05-19,802
2015-05-20,802
2015-05-21,802
2015-05-22,816
2015-05-23,816
2015-05-24,816
2015-05-25,816
2015-05-26,816
2015-05-27,816
2015-05-28,816
2015-05-29,816
2015-05-30,816
2015-05-31,816
2015-06-01,816
2015-06-02,816
2015-06-03,816
2015-06-04,835
2015-06-05,835
2015-06-06,835
2015-06-07,835
2015-06-08,835
2015-06-09,835
2015-06-10,835
2015-06-11,835
2015-06-12,835
2015-06-13,835
2015-06-14,835
2015-06-15,850
2015-06-16,850
2015-06-17,850
2015-06-18,850
2015-06-19,850
2015-06-20,850
2015-06-21,850
2015-06-22,850
2015-06-23,850
2015-06-24,850
2015-06-25,850
2015-06-26,850
2015-06-27,850
2015-06-28,850
2015-06-29,874
2015-06-30,874
2015-07-01,874
2015-07-02,874
2015-07-03,874
2015-07-04,874
2015-07-05,874
2015-07-06,874
2015-07-07,874
2015-07-08,874
2015-07-09,874
2015-07-10,874
2015-07-11,874
2015-07-12,874
2015-07-13,874
2015-07-14,874
2015-07-15,874
2015-07-16,887
2015-07-17,887
2015-07-18,887
2015-07-19,887
2015-07-20,887
2015-07-21,887
2015-07-22,887
