date_obj,Eternal%20gem price
2017-05-04,521326
2017-05-05,546348
2017-05-06,572920
2017-05-07,600909
2017-05-08,629520
2017-05-09,660119
2017-05-10,691322
2017-05-11,723470
2017-05-12,757966
2017-05-13,794704
2017-05-14,831481
2017-05-16,910433
2017-05-17,910433
2017-05-18,953959
2017-05-19,998532
2017-05-20,1033115
2017-05-21,1033115
2017-05-22,1078297
2017-05-23,1078297
2017-05-24,1126638
2017-05-25,1126638
2017-05-26,1178868
2017-05-27,1231234
2017-05-28,1231234
2017-05-29,1286638
2017-05-30,1286638
2017-05-31,1344378
2017-06-01,1403447
2017-06-02,1468396
2017-06-03,1468396
2017-06-04,1534529
2017-06-05,1534529
2017-06-06,1605204
2017-06-07,1605204
2017-06-08,1675862
2017-06-09,1675862
2017-06-10,1751454
2017-06-11,1751454
2017-06-12,1829378
2017-06-13,1829378
2017-06-14,1913707
2017-06-15,1913707
2017-06-16,2001583
2017-06-17,2001583
2017-06-18,2093266
2017-06-19,2093266
2017-06-20,2093266
2017-06-21,2188102
2017-06-22,2188102
2017-06-23,2188102
2017-06-24,2188102
2017-06-25,2288265
2017-06-26,2288265
2017-06-27,2288265
2017-06-28,2393436
2017-06-29,2393436
2017-06-30,2393436
2017-07-01,2505701
2017-07-02,2505701
2017-07-03,2505701
2017-07-04,2617273
2017-07-05,2617273
2017-07-06,2617273
2017-07-07,2617273
2017-07-08,2734786
2017-07-13,2857257
2017-07-14,2987897
2017-07-15,2987897
2017-07-16,2987897
2017-07-17,3117128
2017-07-18,3117128
2017-07-19,3117128
2017-07-20,3262411
2017-07-21,3262411
2017-07-22,3411268
2017-07-23,3411268
2017-07-24,3563651
2017-07-25,3563651
2017-07-26,3724016
2017-07-27,3724016
2017-07-28,3892919
2017-07-29,3892919
2017-07-30,4071336
2017-07-31,4071336
2017-08-01,4071336
2017-08-02,4262327
2017-08-03,4262327
2017-08-04,4262327
2017-08-05,4465576
2017-08-06,4465576
2017-08-09,4678641
2017-08-10,4678641
2017-08-11,4678641
2017-08-12,4903781
2017-08-13,4903781
2017-08-14,4903781
2017-08-15,4903781
2017-08-16,5130085
2017-08-17,5130085
2017-08-18,5130085
2017-08-19,5130085
2017-08-20,5366568
2017-08-21,5366568
2017-08-22,5366568
2017-08-23,5366568
2017-08-24,5610963
2017-08-25,5610963
2017-08-26,5610963
2017-08-27,5870096
2017-08-28,5870096
2017-08-29,5870096
2017-08-30,5870096
2017-08-31,6101594
2017-09-01,6101594
2017-09-02,6101594
2017-09-03,6101594
2017-09-04,6101594
2017-09-05,6280071
2017-09-06,6280071
2017-09-07,6280071
2017-09-08,6280071
2017-09-09,6280071
2017-09-10,6159538
2017-09-11,6159538
2017-09-12,6159538
2017-09-13,6159538
2017-09-14,6159538
2017-09-15,6159538
2017-09-16,6002027
2017-09-17,6002027
2017-09-18,6002027
2017-09-19,6002027
2017-09-20,6002027
2017-09-21,6125153
2017-09-22,6125153
2017-09-23,6125153
2017-09-24,6125153
2017-09-25,6125153
2017-09-26,6184593
2017-09-27,6184593
2017-09-28,6184593
2017-09-29,6184593
2017-09-30,6184593
2017-10-01,6184593
2017-10-02,6273338
2017-10-03,6273338
2017-10-04,6273338
2017-10-05,6273338
2017-10-06,6273338
2017-10-07,6273338
2017-10-08,6261037
2017-10-09,6261037
2017-10-10,6261037
2017-10-11,6261037
2017-10-12,6261037
2017-10-13,6261037
2017-10-14,6124858
2017-10-15,6124858
2017-10-16,6124858
2017-10-17,6124858
2017-10-18,6124858
2017-10-19,6124858
2017-10-20,5889788
2017-10-21,5889788
2017-10-22,5889788
2017-10-23,5889788
2017-10-24,5889788
2017-10-25,5702175
2017-10-26,5959210
2017-10-27,5959210
2017-10-28,6212594
2017-10-29,6212594
2017-10-30,6480669
2017-10-31,6480669
2017-11-01,6480669
