date_obj,Cactus%20spine price
2015-03-26,3796
2015-03-27,3796
2015-03-28,3979
2015-03-29,3979
2015-03-30,4174
2015-03-31,4174
2015-04-01,4174
2015-04-02,4357
2015-04-03,4357
2015-04-04,4394
2015-04-05,4394
2015-04-06,4394
2015-04-07,4361
2015-04-08,4361
2015-04-09,4361
2015-04-10,4306
2015-04-11,4306
2015-04-12,4418
2015-04-13,4418
2015-04-14,4418
2015-04-15,4342
2015-04-16,4342
2015-04-17,4308
2015-04-18,4308
2015-04-19,4270
2015-04-20,4270
2015-04-21,4270
2015-04-22,4336
2015-04-23,4336
2015-04-24,4243
2015-04-25,4243
2015-04-26,4243
2015-04-27,4117
2015-04-28,4117
2015-04-29,4117
2015-04-30,3985
2015-05-01,3985
2015-05-02,3918
2015-05-03,3918
2015-05-04,3918
2015-05-05,3945
2015-05-06,3945
2015-05-07,4106
2015-05-08,4106
2015-05-09,4106
2015-05-10,4149
2015-05-11,4149
2015-05-12,3971
2015-05-13,3971
2015-05-14,4001
2015-05-15,4001
2015-05-16,4001
2015-05-17,4004
2015-05-18,4004
2015-05-19,4004
2015-05-20,3897
2015-05-21,3897
2015-05-22,3897
2015-05-23,3948
2015-05-24,3948
2015-05-25,4000
2015-05-26,4000
2015-05-27,4000
2015-05-28,4110
2015-05-29,4110
2015-05-30,4087
2015-05-31,4087
2015-06-01,3938
2015-06-02,3938
2015-06-03,3811
2015-06-04,3811
2015-06-05,3761
2015-06-06,3761
2015-06-07,3754
2015-06-08,3754
2015-06-09,3716
2015-06-10,3716
2015-06-11,3757
2015-06-12,3757
2015-06-13,3786
2015-06-14,3786
2015-06-15,3815
2015-06-16,3815
2015-06-17,3855
2015-06-18,3855
2015-06-19,3830
2015-06-20,3830
2015-06-21,3833
2015-06-22,3833
2015-06-23,3871
2015-06-24,3871
2015-06-25,3874
2015-06-26,3874
2015-06-27,3860
2015-06-28,3855
2015-06-29,3855
2015-06-30,3786
2015-07-01,3786
2015-07-02,3852
2015-07-03,3919
2015-07-04,3919
2015-07-05,3960
2015-07-06,3960
2015-07-07,3933
2015-07-08,3933
2015-07-09,3980
2015-07-10,3980
2015-07-11,3982
2015-07-12,3982
2015-07-13,4080
2015-07-14,4080
2015-07-15,4276
2015-07-16,4276
2015-07-17,4490
2015-07-18,4490
2015-07-19,4644
2015-07-20,4644
2015-07-21,4750
2015-07-22,4922
2015-07-23,4922
2015-07-24,5073
2015-07-25,5073
2015-07-26,5102
2015-07-27,5102
2015-07-28,4909
2015-07-29,4710
2015-07-30,4710
2015-07-31,4504
2015-08-01,4504
2015-08-02,4346
2015-08-03,4346
2015-08-04,4169
2015-08-05,4011
2015-08-06,4011
2015-08-07,3952
2015-08-08,3952
2015-08-09,3814
2015-08-10,3814
2015-08-11,3705
2015-08-12,3705
2015-08-13,3707
2015-08-14,3887
2015-08-15,3887
2015-08-16,4045
2015-08-17,4045
2015-08-18,4136
2015-08-19,4136
2015-08-20,4139
2015-08-21,4229
2015-08-22,4229
2015-08-23,4312
2015-08-24,4437
2015-08-25,4437
2015-08-26,4437
2015-08-27,4636
2015-08-28,4636
2015-08-29,4708
2015-08-30,4708
2015-08-31,4500
2015-09-01,4441
2015-09-02,4441
2015-09-03,4492
2015-09-04,4492
2015-09-05,4599
2015-09-06,4599
2015-09-07,4521
2015-09-08,4521
2015-09-09,4620
2015-09-10,4620
2015-09-11,4830
2015-09-12,4830
2015-09-13,5046
2015-09-14,5046
2015-09-15,5268
2015-09-16,5268
2015-09-17,5501
2015-09-18,5501
2015-09-19,5298
2015-09-20,5298
2015-09-21,5071
2015-09-22,5071
2015-09-23,4958
2015-09-24,4958
2015-09-25,4958
2015-09-27,4941
2015-09-28,4729
2015-09-29,4729
2015-09-30,4693
2015-10-05,4631
2015-10-06,4634
2015-10-07,4634
2015-10-08,4735
2015-10-09,4948
2015-10-10,4948
2015-10-11,5157
2015-10-12,5157
2015-10-13,5415
2015-10-14,5415
2015-10-15,5639
2015-10-16,5639
2015-10-17,5773
2015-10-18,5773
2015-10-19,5628
2015-10-20,5628
2015-10-22,5469
2015-10-23,5325
2015-10-24,5325
2015-10-25,5252
2015-10-26,5252
2015-10-27,5106
2015-10-29,5075
2015-10-30,5075
2015-10-31,4913
2015-11-01,4913
2015-11-02,4759
2015-11-03,4759
2015-11-04,4859
2015-11-05,4859
2015-11-06,5004
2015-11-07,5004
2015-11-08,4960
2015-11-09,4960
2015-11-10,4931
2015-11-11,4931
2015-11-12,5063
2015-11-13,5063
2015-11-14,5030
2015-11-15,5030
2015-11-16,5096
2015-11-17,5096
2015-11-18,5233
2015-11-19,5233
2015-11-20,5225
2015-11-21,5225
2015-11-22,5170
2015-11-23,5170
2015-11-24,5317
2015-11-25,5317
2015-11-26,5288
2015-11-27,5288
2015-11-28,5193
2015-11-29,5193
2015-11-30,5192
2015-12-01,5192
2015-12-02,5279
2015-12-03,5279
2015-12-04,5324
2015-12-05,5324
2015-12-06,5350
2015-12-07,5350
2015-12-08,5463
2015-12-09,5514
2015-12-10,5514
2015-12-11,5569
2015-12-12,5569
2015-12-13,5493
2015-12-14,5493
2015-12-15,5347
2015-12-16,5347
2015-12-17,5207
2015-12-18,5207
2015-12-19,5154
2015-12-20,5063
2015-12-21,5063
2015-12-22,4957
2015-12-23,4957
2015-12-24,4939
2015-12-25,4939
2015-12-26,4834
2015-12-27,4819
2015-12-28,4819
2015-12-29,4927
2015-12-30,5042
2015-12-31,5042
2016-01-01,5036
2016-01-02,5036
2016-01-03,5031
2016-01-04,5218
2016-01-05,5384
2016-01-06,5360
2016-01-07,5360
2016-01-08,5562
2016-01-09,5562
2016-01-10,5769
2016-01-11,5769
2016-01-12,5877
2016-01-13,5877
2016-01-14,5843
2016-01-15,5679
2016-01-16,5679
2016-01-17,5444
2016-01-18,5178
2016-01-19,5178
2016-01-20,4941
2016-01-21,4941
2016-01-22,4720
2016-01-23,4595
2016-01-24,4595
2016-01-25,4515
2016-01-26,4515
2016-01-27,4506
2016-01-28,4506
2016-01-29,4531
2016-01-30,4531
2016-01-31,4642
2016-02-01,4747
2016-02-02,4747
2016-02-03,4924
2016-02-04,4924
2016-02-05,5026
2016-02-06,4871
2016-02-07,4871
2016-02-08,4715
2016-02-09,4715
2016-02-10,4736
2016-02-11,4736
2016-02-12,4936
2016-02-13,5106
2016-02-14,5106
2016-02-15,5234
2016-02-16,5234
2016-02-17,5346
2016-02-18,5346
2016-02-19,5502
2016-02-20,5658
2016-02-21,5782
2016-02-22,5782
2016-02-23,5943
2016-02-24,5943
2016-02-25,6086
2016-02-26,6086
2016-02-27,6173
2016-02-28,6173
2016-02-29,6007
2016-03-01,5904
2016-03-02,5904
2016-03-03,6034
2016-03-04,6094
2016-03-05,6169
2016-03-06,6283
2016-03-07,6283
2016-03-08,6192
2016-03-09,6040
2016-03-10,5946
2016-03-11,5946
2016-03-12,5862
2016-03-13,5862
2016-03-14,5818
2016-03-15,5825
2016-03-16,5891
2016-03-17,5891
2016-03-18,5867
2016-03-19,5867
2016-03-20,6009
2016-03-21,6009
2016-03-22,6286
2016-03-23,6358
2016-03-24,6358
2016-03-25,6526
2016-03-26,6224
2016-03-27,6224
2016-03-28,5945
2016-03-29,5836
2016-03-30,5836
2016-03-31,5644
2016-04-01,5644
2016-04-02,5511
2016-04-03,5610
2016-04-04,5641
2016-04-05,5641
2016-04-06,5653
2016-04-07,5653
2016-04-08,5677
2016-04-09,5597
2016-04-10,5597
2016-04-11,5597
2016-04-12,5595
