date_obj,Red%20spiders'%20eggs price
2015-03-26,67
2015-03-27,67
2015-03-28,65
2015-03-29,65
2015-03-30,63
2015-03-31,59
2015-04-01,59
2015-04-02,58
2015-04-03,59
2015-04-04,60
2015-04-05,60
2015-04-06,59
2015-04-07,60
2015-04-08,60
2015-04-09,62
2015-04-10,66
2015-04-11,70
2015-04-12,70
2015-04-13,69
2015-04-14,69
2015-04-15,66
2015-04-16,66
2015-04-17,62
2015-04-18,58
2015-04-19,57
2015-04-20,57
2015-04-21,56
2015-04-22,56
2015-04-23,58
2015-04-24,58
2015-04-25,60
2015-04-26,60
2015-04-27,61
2015-04-28,61
2015-04-29,61
2015-04-30,59
2015-05-01,56
2015-05-02,56
2015-05-03,56
2015-05-04,56
2015-05-05,56
2015-05-06,56
2015-05-07,56
2015-05-08,55
2015-05-09,56
2015-05-10,59
2015-05-11,59
2015-05-12,62
2015-05-13,62
2015-05-14,59
2015-05-15,59
2015-05-16,57
2015-05-17,55
2015-05-18,55
2015-05-19,53
2015-05-20,53
2015-05-21,53
2015-05-22,52
2015-05-23,52
2015-05-24,51
2015-05-25,50
2015-05-26,50
2015-05-27,51
2015-05-28,51
2015-05-29,53
2015-05-30,55
2015-05-31,55
2015-06-01,56
2015-06-02,56
2015-06-03,58
2015-06-04,58
2015-06-05,61
2015-06-06,65
2015-06-07,65
2015-06-08,69
2015-06-09,71
2015-06-10,70
2015-06-11,70
2015-06-12,68
2015-06-13,65
2015-06-14,62
2015-06-15,62
2015-06-16,60
2015-06-17,60
2015-06-18,57
2015-06-19,57
2015-06-20,54
2015-06-21,54
2015-06-22,51
2015-06-23,51
2015-06-24,48
2015-06-25,48
2015-06-26,47
2015-06-27,47
2015-06-28,49
2015-06-29,49
2015-06-30,51
2015-07-01,51
2015-07-02,51
2015-07-03,52
2015-07-04,52
2015-07-05,53
2015-07-06,53
2015-07-07,52
2015-07-08,51
2015-07-09,51
2015-07-10,50
2015-07-11,50
2015-07-12,50
2015-07-13,50
2015-07-14,50
