date_obj,Mahogany%20plank price
2015-03-26,1322
2015-03-27,1322
2015-03-28,1323
2015-03-29,1286
2015-03-30,1254
2015-03-31,1273
2015-04-01,1312
2015-04-02,1319
2015-04-03,1314
2015-04-04,1297
2015-04-05,1292
2015-04-06,1309
2015-04-07,1299
2015-04-08,1289
2015-04-09,1276
2015-04-10,1253
2015-04-11,1252
2015-04-12,1269
2015-04-13,1267
2015-04-14,1274
2015-04-15,1332
2015-04-16,1326
2015-04-17,1355
2015-04-18,1384
2015-04-19,1359
2015-04-20,1386
2015-04-21,1359
2015-04-22,1358
2015-04-23,1357
2015-04-24,1346
2015-04-25,1382
2015-04-26,1429
2015-04-27,1426
2015-04-28,1436
2015-04-29,1436
2015-04-30,1422
2015-05-01,1412
2015-05-02,1352
2015-05-03,1360
2015-05-04,1343
2015-05-05,1334
2015-05-06,1339
2015-05-07,1357
2015-05-08,1352
2015-05-09,1374
2015-05-10,1379
2015-05-11,1387
2015-05-12,1395
2015-05-13,1396
2015-05-14,1356
2015-05-15,1333
2015-05-16,1339
2015-05-17,1322
2015-05-18,1347
2015-05-19,1327
2015-05-20,1341
2015-05-21,1346
2015-05-22,1351
2015-05-23,1347
2015-05-24,1355
2015-05-25,1335
2015-05-26,1338
2015-05-27,1339
2015-05-28,1340
2015-05-29,1361
2015-05-30,1420
2015-05-31,1384
2015-06-01,1326
2015-06-02,1317
2015-06-03,1320
2015-06-04,1313
2015-06-05,1301
2015-06-06,1351
2015-06-07,1357
2015-06-08,1346
2015-06-09,1351
2015-06-10,1338
2015-06-11,1328
2015-06-12,1330
2015-06-13,1322
2015-06-14,1322
2015-06-15,1294
2015-06-16,1287
2015-06-17,1291
2015-06-18,1268
2015-06-19,1232
2015-06-20,1235
2015-06-21,1239
2015-06-22,1237
2015-06-23,1227
2015-06-24,1222
2015-06-25,1254
2015-06-26,1266
2015-06-27,1258
2015-06-28,1278
2015-06-29,1326
2015-06-30,1372
2015-07-01,1371
2015-07-02,1377
2015-07-03,1371
2015-07-04,1347
2015-07-05,1361
2015-07-06,1359
2015-07-07,1405
2015-07-08,1399
