date_obj,Bandos%20godsword%20ornament%20kit price
2016-07-06,50000000
2016-07-07,50000000
2016-07-08,50000000
2016-07-09,47510204
2016-07-10,47510204
2016-07-11,47510204
2016-07-12,45153697
2016-07-13,45153697
2016-07-14,45153697
2016-07-15,45153697
2016-07-16,45153697
2016-07-17,45153697
2016-07-18,42896012
2016-07-23,42896012
2016-07-24,42896012
2016-07-25,42896012
2016-07-26,40751211
2016-07-27,40751211
2016-07-28,40751211
2016-07-29,40751211
2016-07-30,40751211
2016-07-31,40751211
2016-08-01,38713650
2016-08-02,38713650
2016-08-03,38713650
2016-08-04,38713650
2016-08-05,38713650
2016-08-06,38713650
2016-08-07,36777967
2016-08-08,36777967
2016-08-09,36777967
2016-08-10,36777967
2016-08-11,36777967
2016-08-12,36777967
2016-08-13,36777967
2016-08-14,34939068
2016-08-15,34939068
2016-08-16,34939068
2016-08-17,34939068
2016-08-18,34939068
2016-08-19,34939068
2016-08-20,34939068
2016-08-21,33192114
2016-08-22,33192114
2016-08-23,33192114
2016-08-24,33192114
2016-08-25,31545576
2016-08-26,31545576
2016-08-28,31545576
2016-08-31,29968297
2016-09-01,29968297
2016-09-02,29968297
2016-09-03,29968297
2016-09-04,28469882
2016-09-05,28469882
2016-09-06,28469882
2016-09-07,28469882
2016-09-08,27055691
2016-09-09,27055691
2016-09-10,27055691
2016-09-11,27055691
2016-09-12,25702906
2016-09-13,25702906
2016-09-14,25702906
2016-09-15,25702906
2016-09-16,25702906
2016-09-17,24417760
2016-09-18,24417760
2016-09-19,24417760
2016-09-20,24417760
2016-09-21,24417760
2016-09-22,24417760
2016-09-23,24417760
2016-09-24,24417760
2016-09-25,23196872
2016-09-26,23196872
2016-09-27,23196872
2016-09-28,23196872
2016-09-29,22037028
2016-09-30,22037028
2016-10-01,22037028
2016-10-02,22037028
2016-10-03,22037028
2016-10-04,20935176
2016-10-05,20935176
2016-10-06,20935176
2016-10-07,20935176
2016-10-08,20935176
2016-10-09,20935176
2016-10-10,20935176
2016-10-11,20935176
2016-10-12,19888417
2016-10-13,19888417
2016-10-14,19888417
2016-10-15,19888417
2016-10-16,19888417
2016-10-17,19888417
2016-10-18,19888417
2016-10-19,19888417
2016-10-20,18893996
2016-10-21,18893996
2016-10-22,18893996
2016-10-23,18893996
2016-10-24,18893996
2016-10-25,18893996
2016-10-26,18893996
2016-10-27,17949296
