date_obj,Elven%20boots price
2020-04-23,10935
2020-04-24,10935
2020-04-25,10935
2020-04-26,10935
2020-04-27,10935
2020-04-28,10935
2020-04-29,10976
2020-04-30,10976
2020-05-01,10976
2020-05-02,10976
2020-05-03,10976
2020-05-04,10976
2020-05-05,10623
2020-05-06,10623
2020-05-07,10623
2020-05-08,10623
2020-05-09,10623
2020-05-10,10623
2020-05-11,10105
2020-05-12,10105
2020-05-13,10105
