date_obj,Ankou%20top price
2016-07-06,10000000
2016-07-07,10000000
2016-07-08,10292040
2016-07-09,10292040
2016-07-10,10292040
2016-07-11,10292040
2016-07-12,10292040
2016-07-13,10292040
2016-07-14,10292040
2016-07-15,10292040
2016-07-16,10292040
2016-07-17,10292040
2016-07-18,10292040
2016-07-23,10658393
2016-07-24,10658393
2016-07-25,10658393
2016-07-26,10658393
2016-07-27,10658393
2016-07-28,10658393
2016-07-29,10658393
2016-07-30,10658393
2016-07-31,10658393
2016-08-01,10658393
2016-08-02,10658393
2016-08-03,10658393
2016-08-04,11077770
2016-08-05,11077770
2016-08-06,11077770
2016-08-07,11077770
2016-08-08,11077770
2016-08-09,11077770
2016-08-10,11077770
2016-08-11,11077770
2016-08-12,11077770
2016-08-13,11077770
2016-08-14,11077770
2016-08-15,11077770
2016-08-16,11077770
2016-08-17,11077770
2016-08-18,11077770
2016-08-19,11077770
2016-08-20,11077770
2016-08-21,11077770
2016-08-22,11077770
2016-08-23,11517044
2016-08-24,11517044
2016-08-25,11517044
2016-08-26,11517044
2016-08-28,11517044
2016-08-31,11517044
2016-09-01,11517044
2016-09-02,11517044
2016-09-03,11517044
2016-09-04,11517044
2016-09-05,11517044
2016-09-06,11517044
2016-09-07,11517044
2016-09-08,11517044
2016-09-09,11517044
2016-09-10,11517044
2016-09-11,11517044
2016-09-12,11517044
2016-09-13,12005919
2016-09-14,12005919
2016-09-15,12005919
2016-09-16,12005919
2016-09-17,12005919
2016-09-18,12005919
2016-09-19,12005919
2016-09-20,12005919
2016-09-21,12005919
2016-09-22,12005919
2016-09-23,12005919
2016-09-24,12005919
2016-09-25,12005919
2016-09-26,12005919
2016-09-27,12005919
2016-09-28,12005919
2016-09-29,12005919
2016-09-30,12005919
2016-10-01,12005919
2016-10-02,12503372
2016-10-03,12503372
2016-10-04,12503372
2016-10-05,12503372
2016-10-06,12503372
2016-10-07,12503372
2016-10-08,12503372
2016-10-09,12503372
2016-10-10,12503372
2016-10-11,12503372
2016-10-12,12503372
2016-10-13,12503372
2016-10-14,12503372
2016-10-15,12503372
2016-10-16,12503372
2016-10-17,13030800
2016-10-18,13030800
2016-10-19,13030800
2016-10-20,13030800
2016-10-21,13030800
2016-10-22,13030800
2016-10-23,13030800
2016-10-24,13030800
2016-10-25,13030800
2016-10-26,13030800
2016-10-27,13030800
2016-10-28,13030800
2016-10-29,13030800
2016-10-30,13030800
2016-10-31,13030800
2016-11-01,13030800
2016-11-02,13030800
2016-11-03,13030800
2016-11-04,13580081
2016-11-05,13580081
2016-11-06,13580081
2016-11-07,13580081
2016-11-08,13580081
2016-11-09,13580081
2016-11-10,13580081
2016-11-11,13580081
2016-11-12,13580081
2016-11-13,13580081
2016-11-14,13580081
2016-11-15,13580081
2016-12-07,14160462
2016-12-08,14160462
2016-12-09,14160462
2016-12-10,14799350
2016-12-11,14799350
2016-12-12,14799350
2016-12-13,14799350
2016-12-14,14799350
2016-12-15,14799350
2016-12-16,14799350
2016-12-17,14799350
2016-12-18,14799350
2016-12-19,14799350
2016-12-20,14799350
2016-12-21,14799350
2016-12-22,14799350
2016-12-23,14799350
