date_obj,Lime%20chunks price
2015-03-26,180
2015-03-27,180
2015-03-28,180
2015-03-29,180
2015-03-30,180
2015-03-31,180
2015-04-01,180
2015-04-02,180
2015-04-03,180
2015-04-04,180
2015-04-05,180
2015-04-06,180
2015-04-07,180
2015-04-08,180
2015-04-09,180
2015-04-10,180
2015-04-11,180
2015-04-12,180
2015-04-13,180
2015-04-14,180
2015-04-15,180
2015-04-16,180
2015-04-17,180
2015-04-18,180
2015-04-19,180
2015-04-20,180
2015-04-21,180
2015-04-22,180
2015-04-23,180
2015-04-24,180
2015-04-25,180
2015-04-26,180
2015-04-27,180
2015-04-28,180
2015-04-29,180
2015-04-30,180
2015-05-01,180
2015-05-02,180
2015-05-03,180
2015-05-04,180
2015-05-05,180
2015-05-06,180
2015-05-07,180
2015-05-08,180
2015-05-09,180
2015-05-10,180
2015-05-11,180
2015-05-12,180
2015-05-13,180
2015-05-14,180
2015-05-15,180
2015-05-16,180
2015-05-17,180
2015-05-18,180
2015-05-19,180
2015-05-20,180
2015-05-21,180
2015-05-22,180
2015-05-23,180
2015-05-24,180
2015-05-25,180
2015-05-26,180
2015-05-27,180
2015-05-28,180
2015-05-29,180
2015-05-30,180
2015-05-31,180
2015-06-01,180
2015-06-02,180
2015-06-03,180
2015-06-04,180
2015-06-05,180
2015-06-06,180
2015-06-07,180
2015-06-08,180
2015-06-09,180
2015-06-10,180
2015-06-11,180
2015-06-12,180
2015-06-13,180
2015-06-14,180
2015-06-15,180
2015-06-16,180
2015-06-17,180
2015-06-18,180
2015-06-19,180
2015-06-20,180
2015-06-21,180
2015-06-22,180
2015-06-23,180
2015-06-24,180
2015-06-25,180
2015-06-26,180
2015-06-27,180
2015-06-28,180
2015-06-29,180
2015-06-30,180
2015-07-01,180
2015-07-02,180
2015-07-03,180
2015-07-04,180
2015-07-05,180
2015-07-06,180
2015-07-07,180
2015-07-08,180
2015-07-09,180
2015-07-10,180
2015-07-11,180
2015-07-12,180
2015-07-13,180
2015-07-14,180
2015-07-15,180
2015-07-16,180
2015-07-17,180
2015-07-18,180
2015-07-19,180
2015-07-20,180
2015-07-21,180
2015-07-22,180
2015-07-23,180
2015-07-24,180
2015-07-25,180
2015-07-26,180
2015-07-27,180
2015-07-28,180
2015-07-29,180
2015-07-30,180
2015-07-31,180
2015-08-01,180
2015-08-02,180
2015-08-03,180
2015-08-04,180
2015-08-05,180
2015-08-06,180
2015-08-07,180
2015-08-08,180
2015-08-09,180
2015-08-10,180
2015-08-11,180
2015-08-12,180
2015-08-13,180
2015-08-14,180
2015-08-15,180
2015-08-16,180
2015-08-17,180
2015-08-18,180
2015-08-19,180
2015-08-20,180
2015-08-21,180
2015-08-22,180
2015-08-23,180
2015-08-24,180
2015-08-25,180
2015-08-26,180
2015-08-27,180
2015-08-28,180
2015-08-29,180
2015-08-30,180
2015-08-31,180
2015-09-01,180
2015-09-02,180
