date_obj,Slayer%20bell price
2015-03-26,450
2015-03-27,450
2015-03-28,450
2015-03-29,450
2015-03-30,450
2015-03-31,450
2015-04-01,450
2015-04-02,450
2015-04-03,450
2015-04-04,450
2015-04-05,450
2015-04-06,450
2015-04-07,450
2015-04-08,450
2015-04-09,450
2015-04-10,450
2015-04-11,450
2015-04-12,450
2015-04-13,450
2015-04-14,450
2015-04-15,450
2015-04-16,450
2015-04-17,450
2015-04-18,450
2015-04-19,450
2015-04-20,450
2015-04-21,435
2015-04-22,435
2015-04-23,435
2015-04-24,435
2015-04-25,435
2015-04-26,435
2015-04-27,435
2015-04-28,435
2015-04-29,435
2015-04-30,435
2015-05-01,435
2015-05-02,435
2015-05-03,435
2015-05-04,435
2015-05-05,435
2015-05-06,435
2015-05-07,435
2015-05-08,435
2015-05-09,435
2015-05-10,435
2015-05-11,435
2015-05-12,435
2015-05-13,435
2015-05-14,435
2015-05-15,435
2015-05-16,435
2015-05-17,435
2015-05-18,435
2015-05-19,435
2015-05-20,435
2015-05-21,435
2015-05-22,435
2015-05-23,435
2015-05-24,435
2015-05-25,435
2015-05-26,435
2015-05-27,435
2015-05-28,435
2015-05-29,418
2015-05-30,418
2015-05-31,418
2015-06-01,418
2015-06-02,418
2015-06-03,418
2015-06-04,418
2015-06-05,418
2015-06-06,418
2015-06-07,418
2015-06-08,418
2015-06-09,418
2015-06-10,418
2015-06-11,418
2015-06-12,418
2015-06-13,418
2015-06-14,418
2015-06-15,418
2015-06-16,418
2015-06-17,418
2015-06-18,418
2015-06-19,418
2015-06-20,418
2015-06-21,418
2015-06-22,418
2015-06-23,418
2015-06-24,418
2015-06-25,418
2015-06-26,418
2015-06-27,418
2015-06-28,418
2015-06-29,418
2015-06-30,418
2015-07-01,418
2015-07-02,418
2015-07-03,418
2015-07-04,418
2015-07-05,418
2015-07-06,418
2015-07-07,418
2015-07-08,418
2015-07-09,418
2015-07-10,418
2015-07-11,418
2015-07-12,418
2015-07-13,404
2015-07-14,404
2015-07-15,404
2015-07-16,404
2015-07-17,404
2015-07-18,404
2015-07-19,404
2015-07-20,404
2015-07-21,404
2015-07-22,404
2015-07-23,404
2015-07-24,404
2015-07-25,404
2015-07-26,404
2015-07-27,404
2015-07-28,404
2015-07-29,404
2015-07-30,404
2015-07-31,404
2015-08-01,404
2015-08-02,404
2015-08-03,404
2015-08-04,404
2015-08-05,404
2015-08-06,404
2015-08-07,404
2015-08-08,404
2015-08-09,404
2015-08-10,404
2015-08-11,404
2015-08-12,404
2015-08-13,404
2015-08-14,404
2015-08-15,404
2015-08-16,404
2015-08-17,404
2015-08-18,404
2015-08-19,404
2015-08-20,404
2015-08-21,404
2015-08-22,404
2015-08-23,404
2015-08-24,404
2015-08-25,404
2015-08-26,404
2015-08-27,404
2015-08-28,404
2015-08-29,404
2015-08-30,404
2015-08-31,404
2015-09-01,404
2015-09-02,404
2015-09-03,404
2015-09-04,404
2015-09-05,404
2015-09-06,404
2015-09-07,404
2015-09-08,404
2015-09-09,404
