date_obj,Keg%20of%20beer price
2015-03-26,2016
2015-03-27,2016
2015-03-28,2016
2015-03-29,2016
2015-03-30,2016
2015-03-31,2016
2015-04-01,2016
2015-04-02,2016
2015-04-03,2016
2015-04-04,2016
2015-04-05,2016
2015-04-06,2016
2015-04-07,2016
2015-04-08,2016
2015-04-09,2016
2015-04-10,2016
2015-04-11,2016
2015-04-12,2037
2015-04-13,2037
2015-04-14,2037
2015-04-15,2037
2015-04-16,2037
2015-04-17,2037
2015-04-18,2037
2015-04-19,2037
2015-04-20,2037
2015-04-21,2037
2015-04-22,2037
2015-04-23,2037
2015-04-24,2037
2015-04-25,2037
2015-04-26,2037
2015-04-27,2037
2015-04-28,2037
2015-04-29,2037
2015-04-30,2037
2015-05-01,2037
2015-05-02,2037
2015-05-03,2037
2015-05-04,1990
2015-05-05,1990
2015-05-06,1990
2015-05-07,1990
2015-05-08,1990
2015-05-09,1990
2015-05-10,1990
2015-05-11,1990
2015-05-12,1990
2015-05-13,1990
2015-05-14,1990
2015-05-15,1990
2015-05-16,1990
2015-05-17,1990
2015-05-18,1990
2015-05-19,1990
2015-05-20,1990
2015-05-21,1990
2015-05-22,1990
2015-05-23,1990
2015-05-24,1990
2015-05-25,1990
2015-05-26,1990
2015-05-27,2006
2015-05-28,2006
2015-05-29,2006
2015-05-30,2006
2015-05-31,2006
2015-06-01,2006
2015-06-02,2006
2015-06-03,2006
2015-06-04,2006
2015-06-05,2006
2015-06-06,2006
2015-06-07,2006
2015-06-08,2006
2015-06-09,1985
2015-06-10,1985
2015-06-11,1985
2015-06-12,1985
2015-06-13,1985
2015-06-14,1985
2015-06-15,1985
2015-06-16,1985
2015-06-17,1985
2015-06-18,1985
2015-06-19,1985
2015-06-20,1985
2015-06-21,1985
2015-06-22,1985
2015-06-23,1985
2015-06-24,1985
2015-06-25,1947
2015-06-26,1947
2015-06-27,1947
2015-06-28,1947
2015-06-29,1947
2015-06-30,1947
2015-07-01,1947
2015-07-02,1947
2015-07-03,1947
2015-07-04,1947
2015-07-05,1947
2015-07-06,1947
2015-07-07,1947
2015-07-08,1947
2015-07-09,1947
2015-07-10,1975
2015-07-11,1975
2015-07-12,1975
2015-07-13,1975
2015-07-14,1975
2015-07-15,1975
2015-07-16,1975
2015-07-17,1975
2015-07-18,1975
2015-07-19,1975
2015-07-20,1975
2015-07-21,1975
2015-07-22,1975
2015-07-23,1975
2015-07-24,1911
2015-07-25,1911
2015-07-26,1911
