date_obj,Uncut%20sapphire price
2015-03-26,704
2015-03-27,725
2015-03-28,732
2015-03-29,722
2015-03-30,708
2015-03-31,700
2015-04-01,688
2015-04-02,695
2015-04-03,697
2015-04-04,700
2015-04-05,696
2015-04-06,700
2015-04-07,684
2015-04-08,665
2015-04-09,664
2015-04-10,666
2015-04-11,678
2015-04-12,674
2015-04-13,665
2015-04-14,653
2015-04-15,644
2015-04-16,643
2015-04-17,617
2015-04-18,596
2015-04-19,589
2015-04-20,611
2015-04-21,619
2015-04-22,614
2015-04-23,602
2015-04-24,601
2015-04-25,592
2015-04-26,594
2015-04-27,585
2015-04-28,591
2015-04-29,584
2015-04-30,580
2015-05-01,575
2015-05-02,558
2015-05-03,578
2015-05-04,593
2015-05-05,588
2015-05-06,574
2015-05-07,577
2015-05-08,603
2015-05-09,609
2015-05-10,622
2015-05-11,614
2015-05-12,637
2015-05-13,669
2015-05-14,697
2015-05-15,719
2015-05-16,690
2015-05-17,694
2015-05-18,699
2015-05-19,725
2015-05-20,705
2015-05-21,723
2015-05-22,731
2015-05-23,754
2015-05-24,759
2015-05-25,765
2015-05-26,788
2015-05-27,811
2015-05-28,793
2015-05-29,794
2015-05-30,803
2015-05-31,839
2015-06-01,854
2015-06-02,827
2015-06-03,837
2015-06-04,847
2015-06-05,876
2015-06-06,920
2015-06-07,959
2015-06-08,1001
2015-06-09,1041
2015-06-10,1026
2015-06-11,1064
2015-06-12,1074
2015-06-13,1119
2015-06-14,1171
2015-06-15,1158
2015-06-16,1196
2015-06-17,1214
2015-06-18,1223
2015-06-19,1271
2015-06-20,1298
2015-06-21,1280
2015-06-22,1256
2015-06-23,1269
2015-06-24,1260
2015-06-25,1210
2015-06-26,1196
2015-06-27,1171
2015-06-28,1135
2015-06-29,1126
2015-06-30,1146
2015-07-01,1175
2015-07-02,1163
2015-07-03,1165
2015-07-04,1184
2015-07-05,1173
2015-07-06,1145
2015-07-07,1151
2015-07-08,1155
2015-07-09,1199
2015-07-10,1171
2015-07-11,1151
2015-07-12,1129
2015-07-13,1128
2015-07-14,1110
2015-07-15,1087
2015-07-16,1092
2015-07-17,1100
2015-07-18,1127
2015-07-19,1155
2015-07-20,1155
2015-07-21,1197
2015-07-22,1166
2015-07-23,1157
2015-07-24,1157
