date_obj,Mithril%20gold-trimmed%20set%20(lg) price
2015-03-26,388342
2015-03-27,388342
2015-03-28,388342
2015-03-29,388342
2015-03-30,388342
2015-03-31,388342
2015-04-01,369769
2015-04-02,369769
2015-04-03,369769
2015-04-04,369769
2015-04-05,369769
2015-04-06,369769
2015-04-07,369769
2015-04-08,369769
2015-04-09,351825
2015-04-10,351825
2015-04-11,351825
2015-04-12,351825
2015-04-13,351825
2015-04-14,351825
2015-04-15,351825
2015-04-16,334736
2015-04-17,334736
2015-04-18,334736
2015-04-19,334736
2015-04-20,334736
2015-04-21,334736
2015-04-22,334736
2015-04-23,318723
2015-04-24,318723
2015-04-25,318723
2015-04-26,318723
2015-04-27,318723
2015-04-28,318723
2015-04-29,318723
2015-04-30,303264
2015-05-01,303264
2015-05-02,303264
2015-05-03,303264
2015-05-04,303264
2015-05-05,303264
2015-05-06,288713
2015-05-07,288713
2015-05-08,288713
2015-05-09,288713
2015-05-10,288713
2015-05-11,288713
2015-05-12,288713
2015-05-13,288713
2015-05-14,274713
2015-05-15,274713
2015-05-16,274713
2015-05-17,274713
2015-05-18,274713
2015-05-19,274713
2015-05-20,274713
2015-05-21,274713
2015-05-22,261321
2015-05-23,261321
2015-05-24,261321
2015-05-25,261321
2015-05-26,261321
2015-05-27,261321
2015-05-28,248254
2015-05-29,248254
2015-05-30,248254
2015-05-31,248254
2015-06-01,236334
2015-06-02,236334
2015-06-03,236334
2015-06-04,236334
2015-06-05,225134
2015-06-06,225134
2015-06-07,225134
2015-06-08,225134
2015-06-09,225134
2015-06-10,214258
2015-06-11,214258
2015-06-12,214258
2015-06-13,214258
2015-06-14,214258
2015-06-15,203974
2015-06-16,203974
2015-06-17,203974
2015-06-18,203974
2015-06-19,203974
2015-06-20,194104
2015-06-21,194104
2015-06-22,194104
2015-06-23,194104
2015-06-24,194104
2015-06-25,184675
2015-06-26,184675
2015-06-27,184675
2015-06-28,184675
2015-06-29,175804
2015-06-30,175804
2015-07-01,175804
2015-07-02,175804
2015-07-03,175804
2015-07-04,167179
2015-07-05,167179
2015-07-06,167179
2015-07-07,167179
2015-07-08,159365
2015-07-09,159365
2015-07-10,159365
2015-07-11,159365
2015-07-12,159365
2015-07-13,151680
2015-07-14,151680
2015-07-15,151680
2015-07-16,151680
2015-07-17,144447
2015-07-18,144447
2015-07-19,144447
2015-07-20,144447
2015-07-21,137224
2015-07-22,137224
2015-07-23,137224
2015-07-24,137224
2015-07-25,130362
2015-07-26,130362
2015-07-27,130362
2015-07-28,130362
2015-07-29,123991
2015-07-30,123991
2015-07-31,123991
2015-08-01,123991
2015-08-02,118055
2015-08-03,118055
2015-08-04,118055
2015-08-05,113063
2015-08-06,113063
2015-08-07,113063
2015-08-08,107861
2015-08-09,107861
2015-08-10,107861
2015-08-11,102820
2015-08-12,102820
2015-08-13,102820
2015-08-14,101852
2015-08-15,101852
2015-08-16,101852
2015-08-17,101852
2015-08-18,100562
2015-08-19,100562
2015-08-20,100562
2015-08-21,100562
2015-08-22,96116
2015-08-23,96116
2015-08-24,96116
2015-08-25,96116
2015-08-26,93865
2015-08-27,93865
2015-08-28,93865
2015-08-29,93865
2015-08-30,93678
2015-08-31,93678
2015-09-01,93678
2015-09-02,93678
2015-09-03,93417
2015-09-04,93417
2015-09-05,93417
2015-09-06,93417
2015-09-07,94695
2015-09-08,94695
2015-09-09,94695
2015-09-10,94695
2015-09-11,93501
2015-09-12,93501
2015-09-13,93501
2015-09-14,93501
2015-09-15,92165
2015-09-16,92165
2015-09-17,92165
2015-09-18,92165
2015-09-19,90690
2015-09-20,90690
2015-09-21,90690
2015-09-22,90690
2015-09-23,90031
2015-09-24,90031
2015-09-25,90031
2015-09-27,90031
2015-09-28,89353
2015-09-29,89353
2015-09-30,89353
2015-10-05,88647
2015-10-06,88857
2015-10-07,88857
2015-10-08,88857
2015-10-09,91181
2015-10-10,91181
2015-10-11,91181
2015-10-12,91181
2015-10-13,94760
2015-10-14,94760
2015-10-15,94760
2015-10-16,94760
2015-10-17,94760
2015-10-18,96697
2015-10-19,96697
2015-10-20,96697
2015-10-22,98366
2015-10-23,98366
2015-10-24,98366
2015-10-25,98366
2015-10-26,102329
2015-10-27,102329
2015-10-29,102329
2015-10-30,102329
2015-10-31,104263
2015-11-01,104263
2015-11-02,104263
