date_obj,Mithril%20sq%20shield price
2015-03-26,1398
2015-03-27,1398
2015-03-28,1328
2015-03-29,1261
2015-03-30,1200
2015-03-31,1144
2015-04-01,1091
2015-04-02,1040
2015-04-03,988
2015-04-04,938
2015-04-05,895
2015-04-06,852
2015-04-07,809
2015-04-08,809
2015-04-09,778
2015-04-10,745
2015-04-11,722
2015-04-12,724
2015-04-13,710
2015-04-14,710
2015-04-15,702
2015-04-16,702
2015-04-17,704
2015-04-18,707
2015-04-19,704
2015-04-20,704
2015-04-21,700
2015-04-22,700
2015-04-23,697
2015-04-24,703
2015-04-25,691
2015-04-26,695
2015-04-27,697
2015-04-28,702
2015-04-29,702
2015-04-30,704
2015-05-01,705
2015-05-02,703
2015-05-03,703
2015-05-04,700
2015-05-05,700
2015-05-06,695
2015-05-07,698
2015-05-08,698
2015-05-09,692
2015-05-10,695
2015-05-11,695
2015-05-12,704
2015-05-13,704
2015-05-14,698
2015-05-15,698
2015-05-16,694
2015-05-17,697
2015-05-18,695
2015-05-19,695
2015-05-20,721
2015-05-21,721
2015-05-22,726
2015-05-23,726
2015-05-24,723
2015-05-25,721
2015-05-26,711
2015-05-27,711
2015-05-28,708
2015-05-29,716
2015-05-30,702
2015-05-31,699
2015-06-01,709
2015-06-02,709
2015-06-03,733
2015-06-04,731
2015-06-05,728
2015-06-06,725
2015-06-07,723
2015-06-08,729
2015-06-09,733
2015-06-10,740
2015-06-11,742
2015-06-12,751
2015-06-13,752
2015-06-14,758
2015-06-15,760
2015-06-16,764
2015-06-17,772
2015-06-18,785
2015-06-19,792
2015-06-20,789
2015-06-21,773
2015-06-22,778
2015-06-23,766
2015-06-24,751
2015-06-25,751
2015-06-26,751
2015-06-27,751
2015-06-28,748
2015-06-29,764
2015-06-30,752
2015-07-01,746
2015-07-02,746
2015-07-03,737
2015-07-04,730
2015-07-05,734
2015-07-06,733
2015-07-07,731
2015-07-08,732
2015-07-09,732
2015-07-10,747
2015-07-11,759
2015-07-12,746
2015-07-13,753
2015-07-14,750
2015-07-15,751
2015-07-16,748
2015-07-17,754
2015-07-18,754
2015-07-19,751
2015-07-20,752
2015-07-21,755
2015-07-22,755
2015-07-23,755
2015-07-24,757
2015-07-25,758
2015-07-26,755
2015-07-27,757
2015-07-28,758
2015-07-29,758
2015-07-30,757
2015-07-31,759
2015-08-01,762
2015-08-02,762
2015-08-03,744
2015-08-04,767
2015-08-05,762
2015-08-06,769
2015-08-07,762
2015-08-08,772
2015-08-09,781
2015-08-10,773
2015-08-11,764
2015-08-12,764
2015-08-13,764
2015-08-14,765
2015-08-15,765
2015-08-16,763
2015-08-17,765
2015-08-18,760
2015-08-19,758
2015-08-20,760
2015-08-21,761
2015-08-22,760
2015-08-23,765
2015-08-24,760
2015-08-25,760
2015-08-26,765
2015-08-27,777
2015-08-28,786
2015-08-29,790
2015-08-30,790
2015-08-31,811
2015-09-01,813
2015-09-02,813
