date_obj,White%20sq%20shield price
2015-03-26,18000
2015-03-27,18000
2015-03-28,18000
2015-03-29,18000
2015-03-30,18000
2015-03-31,18000
2015-04-01,18000
2015-04-02,18000
2015-04-03,18000
2015-04-04,18000
2015-04-05,18000
2015-04-06,18000
2015-04-07,18000
2015-04-08,18000
2015-04-09,18000
2015-04-10,18000
2015-04-11,18000
2015-04-12,18000
2015-04-13,18000
2015-04-14,18000
2015-04-15,18000
2015-04-16,18000
2015-04-17,18000
2015-04-18,18000
2015-04-19,18000
2015-04-20,18000
2015-04-21,18000
2015-04-22,18000
2015-04-23,18000
2015-04-24,18000
2015-04-25,18000
2015-04-26,18000
2015-04-27,18000
2015-04-28,18000
2015-04-29,18000
2015-04-30,18000
2015-05-01,18000
2015-05-02,18000
2015-05-03,18000
2015-05-04,18000
2015-05-05,18000
2015-05-06,18000
2015-05-07,18000
2015-05-08,18000
2015-05-09,18000
2015-05-10,18000
2015-05-11,18000
2015-05-12,18000
2015-05-13,18000
2015-05-14,18000
2015-05-15,18000
2015-05-16,18000
2015-05-17,18000
2015-05-18,18000
2015-05-19,18000
2015-05-20,18000
2015-05-21,18000
2015-05-22,18000
2015-05-23,18000
2015-05-24,18000
2015-05-25,18000
2015-05-26,18000
2015-05-27,18000
2015-05-28,17516
2015-05-29,17516
2015-05-30,17516
2015-05-31,17516
2015-06-01,17516
2015-06-02,17516
2015-06-03,17516
2015-06-04,17516
2015-06-05,17516
2015-06-06,17516
2015-06-07,17516
2015-06-08,17516
2015-06-09,17516
2015-06-10,17516
2015-06-11,17516
2015-06-12,17516
2015-06-13,17516
2015-06-14,17516
2015-06-15,17516
2015-06-16,17516
2015-06-17,17516
2015-06-18,17516
2015-06-19,17516
2015-06-20,17516
2015-06-21,17516
2015-06-22,17516
2015-06-23,17516
2015-06-24,17516
2015-06-25,17516
2015-06-26,17516
2015-06-27,17516
2015-06-28,17516
2015-06-29,17516
2015-06-30,17516
2015-07-01,17516
2015-07-02,17516
2015-07-03,17516
2015-07-04,17516
2015-07-05,17516
2015-07-06,17516
2015-07-07,17516
2015-07-08,17516
2015-07-09,17516
2015-07-10,17516
2015-07-11,17516
2015-07-12,17516
2015-07-13,17516
2015-07-14,17516
2015-07-15,17516
2015-07-16,17516
2015-07-17,17516
2015-07-18,17516
2015-07-19,17516
2015-07-20,17516
2015-07-21,17516
2015-07-22,17516
2015-07-23,17516
2015-07-24,17516
2015-07-25,17516
2015-07-26,17516
2015-07-27,17516
2015-07-28,17516
2015-07-29,17516
2015-07-30,17516
2015-07-31,17516
2015-08-01,17516
2015-08-02,17516
2015-08-03,17516
2015-08-04,17516
2015-08-05,17516
2015-08-06,17516
2015-08-07,17516
2015-08-08,17516
2015-08-09,17516
2015-08-10,17516
2015-08-11,17516
2015-08-12,17516
2015-08-13,17516
2015-08-14,17516
2015-08-15,17516
2015-08-16,17516
2015-08-17,17516
2015-08-18,17516
2015-08-19,17516
2015-08-20,17516
2015-08-21,17139
2015-08-22,17139
2015-08-23,17139
2015-08-24,17139
