date_obj,Bandos%20chaps price
2015-03-26,24848
2015-03-27,24848
2015-03-28,24508
2015-03-29,24328
2015-03-30,23750
2015-03-31,23467
2015-04-01,22947
2015-04-02,22495
2015-04-03,22287
2015-04-04,22030
2015-04-05,21695
2015-04-06,21156
2015-04-07,20273
2015-04-08,19872
2015-04-09,19767
2015-04-10,20062
2015-04-11,19750
2015-04-12,20124
2015-04-13,20492
2015-04-14,21083
2015-04-15,21615
2015-04-16,21993
2015-04-17,21820
2015-04-18,21439
2015-04-19,21001
2015-04-20,20705
2015-04-21,20552
2015-04-22,20213
2015-04-23,19851
2015-04-24,19767
2015-04-25,19780
2015-04-26,20111
2015-04-27,20537
2015-04-28,21481
2015-04-29,21481
2015-04-30,22556
2015-05-01,23276
2015-05-02,23523
2015-05-03,24083
2015-05-04,24830
2015-05-05,23976
2015-05-06,22903
2015-05-07,21953
2015-05-08,20934
2015-05-09,20629
2015-05-10,20083
2015-05-11,19244
2015-05-12,18466
2015-05-13,17622
2015-05-14,17397
2015-05-15,17007
2015-05-16,16409
2015-05-17,15903
2015-05-18,15615
2015-05-19,15425
2015-05-20,15425
2015-05-21,15478
2015-05-22,16064
2015-05-23,16428
2015-05-24,17061
2015-05-25,17316
2015-05-26,17739
2015-05-27,17860
2015-05-28,17770
2015-05-29,18218
2015-05-30,18482
2015-05-31,18349
2015-06-01,18104
2015-06-02,18306
2015-06-03,18783
2015-06-04,18793
2015-06-05,18597
2015-06-06,18317
2015-06-07,18483
2015-06-08,18371
2015-06-09,18560
2015-06-10,18553
2015-06-11,18480
2015-06-12,18443
2015-06-13,18493
2015-06-14,18390
2015-06-15,18292
2015-06-16,18127
2015-06-17,18203
2015-06-18,18021
2015-06-19,17816
2015-06-20,17677
2015-06-21,17844
2015-06-22,17923
2015-06-23,18211
2015-06-24,18343
2015-06-25,18164
2015-06-26,18371
2015-06-27,18534
2015-06-28,18933
2015-06-29,19386
2015-06-30,19866
2015-07-01,20105
2015-07-02,20105
2015-07-03,20777
2015-07-04,21357
2015-07-05,22163
2015-07-06,22851
2015-07-07,23479
2015-07-08,23888
2015-07-09,23888
2015-07-10,24238
2015-07-11,24384
2015-07-12,24977
2015-07-13,24038
2015-07-14,23918
2015-07-15,23676
2015-07-16,23325
2015-07-17,23019
2015-07-18,22791
2015-07-19,22517
2015-07-20,22049
2015-07-21,21034
2015-07-22,20040
2015-07-23,20040
2015-07-24,19719
2015-07-25,19043
2015-07-26,18850
2015-07-27,18983
2015-07-28,19095
2015-07-29,19061
2015-07-30,19397
2015-07-31,19457
2015-08-01,19406
2015-08-02,19714
2015-08-03,19933
2015-08-04,20317
2015-08-05,20473
2015-08-06,20505
2015-08-07,20373
2015-08-08,20770
2015-08-09,21216
2015-08-10,21658
2015-08-11,22010
2015-08-12,22283
2015-08-13,22768
2015-08-14,23145
2015-08-15,23090
2015-08-16,23404
2015-08-17,23705
2015-08-18,24000
2015-08-19,24327
2015-08-20,24697
2015-08-21,24497
2015-08-22,24937
2015-08-23,25791
2015-08-24,25311
2015-08-25,25311
2015-08-26,26074
2015-08-27,26044
2015-08-28,26015
2015-08-29,26251
2015-08-30,26090
2015-08-31,26205
2015-09-01,26062
2015-09-02,26062
2015-09-03,26486
2015-09-04,27662
2015-09-05,27662
2015-09-06,28826
2015-09-07,29314
2015-09-08,28575
2015-09-09,28481
2015-09-10,27700
2015-09-11,26941
2015-09-12,26583
2015-09-13,25466
2015-09-14,24850
2015-09-15,25540
2015-09-16,25657
2015-09-17,26122
2015-09-18,26248
2015-09-19,26678
2015-09-20,26770
2015-09-21,26992
2015-09-22,26345
2015-09-23,26482
2015-09-24,26482
2015-09-25,26614
2015-09-27,26741
2015-09-28,26481
2015-09-29,25600
2015-09-30,24866
2015-10-05,24559
2015-10-06,25155
2015-10-07,24820
2015-10-08,24628
2015-10-09,23603
2015-10-10,23603
2015-10-11,22668
2015-10-12,22064
2015-10-13,22358
2015-10-14,22888
2015-10-15,22863
2015-10-16,23760
2015-10-17,23760
2015-10-18,23738
2015-10-19,23775
2015-10-20,23648
2015-10-22,23880
2015-10-23,24082
2015-10-24,24597
2015-10-25,24816
2015-10-26,25502
2015-10-27,25416
2015-10-28,25731
2015-10-29,25227
2015-10-30,25632
2015-10-31,25897
2015-11-01,25897
2015-11-02,26358
2015-11-03,26563
2015-11-04,25418
2015-11-05,24639
2015-11-06,24639
2015-11-07,23795
2015-11-08,24367
2015-11-09,24491
2015-11-10,24491
2015-11-11,24500
2015-11-12,24534
2015-11-13,23652
2015-11-14,23390
2015-11-15,22748
2015-11-16,23177
2015-11-17,23177
2015-11-18,23193
2015-11-19,22180
2015-11-20,21114
2015-11-21,21114
2015-11-22,20821
2015-11-23,20821
2015-11-24,20568
2015-11-25,20386
2015-11-26,20386
2015-11-27,20009
2015-11-28,20011
2015-11-29,19754
2015-11-30,19552
2015-12-01,19119
2015-12-02,18773
2015-12-03,18552
2015-12-04,18552
2015-12-05,18540
2015-12-06,18566
2015-12-07,17998
2015-12-08,17879
2015-12-09,18278
2015-12-10,18019
2015-12-11,17730
2015-12-12,17251
2015-12-13,17397
2015-12-14,17397
2015-12-15,17565
2015-12-16,17593
2015-12-17,18193
2015-12-18,17560
2015-12-19,16950
2015-12-20,16161
2015-12-21,15801
2015-12-22,15633
2015-12-23,15089
2015-12-24,14933
2015-12-25,14676
2015-12-26,14808
2015-12-27,14767
2015-12-28,14528
2015-12-29,14425
2015-12-30,14097
2015-12-31,14130
2016-01-01,14306
2016-01-02,14221
2016-01-03,14379
2016-01-04,14577
2016-01-05,14569
2016-01-06,14550
2016-01-07,14616
2016-01-08,14653
2016-01-09,14831
2016-01-10,14721
2016-01-11,15199
2016-01-12,15507
2016-01-13,15678
2016-01-14,16083
2016-01-15,16664
2016-01-16,16823
2016-01-17,17139
2016-01-18,17347
2016-01-19,17677
2016-01-20,17746
2016-01-21,18288
2016-01-22,18842
2016-01-23,19606
2016-01-24,20416
2016-01-25,21181
2016-01-26,22011
2016-01-27,22535
2016-01-28,22535
2016-01-29,22918
2016-01-30,22954
2016-01-31,22928
2016-02-01,22535
2016-02-02,22134
2016-02-03,22008
2016-02-04,21868
