date_obj,Dorgeshuun%20crossbow price
2015-03-26,7048
2015-03-27,7048
2015-03-28,6717
2015-03-29,6401
2015-03-30,6401
2015-03-31,6080
2015-04-01,6080
2015-04-02,5789
2015-04-03,5789
2015-04-04,5499
2015-04-05,5499
2015-04-06,5224
2015-04-07,5224
2015-04-08,4972
2015-04-09,4972
2015-04-10,4733
2015-04-11,4733
2015-04-12,4496
2015-04-13,4496
2015-04-14,4278
2015-04-15,4278
2015-04-16,4071
2015-04-17,4071
2015-04-18,3883
2015-04-19,3883
2015-04-20,3883
2015-04-21,3688
2015-04-22,3688
2015-04-23,3577
2015-04-24,3577
2015-04-25,3462
2015-04-26,3462
2015-04-27,3324
2015-04-28,3324
2015-04-29,3313
2015-04-30,3313
2015-05-01,3178
2015-05-02,3178
2015-05-03,3137
2015-05-04,3137
2015-05-05,3030
2015-05-06,3030
2015-05-07,2923
2015-05-08,2923
2015-05-09,2847
2015-05-10,2847
2015-05-11,2875
2015-05-12,2875
2015-05-13,2745
2015-05-14,2745
2015-05-15,2635
2015-05-16,2635
2015-05-17,2519
2015-05-18,2519
2015-05-19,2402
2015-05-20,2402
2015-05-21,2402
2015-05-22,2316
2015-05-23,2316
2015-05-24,2301
2015-05-25,2301
2015-05-26,2345
2015-05-27,2345
2015-05-28,2438
2015-05-29,2438
2015-05-30,2431
2015-05-31,2431
2015-06-01,2428
2015-06-02,2428
2015-06-03,2446
2015-06-04,2446
2015-06-05,2380
2015-06-06,2404
2015-06-07,2376
2015-06-08,2376
2015-06-09,2412
2015-06-10,2531
2015-06-11,2531
2015-06-12,2638
2015-06-13,2683
2015-06-14,2683
2015-06-15,2812
2015-06-16,2884
2015-06-17,2884
2015-06-18,2803
2015-06-19,2803
2015-06-20,2818
2015-06-21,2818
2015-06-22,2854
2015-06-23,2854
2015-06-24,2965
2015-06-25,2965
2015-06-26,3050
2015-06-27,3050
2015-06-28,3079
2015-06-29,3090
2015-06-30,3072
2015-07-01,3080
2015-07-02,3080
2015-07-03,3054
2015-07-04,3038
2015-07-05,3004
2015-07-06,2943
2015-07-07,2944
2015-07-08,3069
2015-07-09,3069
2015-07-10,3084
2015-07-11,3023
2015-07-12,2908
2015-07-13,2789
2015-07-14,2652
2015-07-15,2568
2015-07-16,2536
2015-07-17,2542
2015-07-18,2542
2015-07-19,2568
2015-07-20,2602
2015-07-21,2602
2015-07-22,2647
2015-07-23,2647
2015-07-24,2658
2015-07-25,2658
2015-07-26,2723
2015-07-27,2860
2015-07-28,2974
2015-07-29,3038
2015-07-30,2893
2015-07-31,2759
2015-08-01,2684
2015-08-02,2653
2015-08-03,2666
2015-08-04,2662
2015-08-05,2623
2015-08-06,2648
2015-08-07,2628
2015-08-08,2654
2015-08-09,2689
2015-08-10,2671
2015-08-11,2765
2015-08-12,2765
2015-08-13,2691
2015-08-14,2615
2015-08-15,2615
2015-08-16,2556
2015-08-17,2492
2015-08-18,2505
2015-08-19,2409
2015-08-20,2409
2015-08-21,2401
2015-08-22,2447
2015-08-23,2447
2015-08-24,2474
