date_obj,Bronze%20wire price
2015-03-26,2261
2015-03-27,2261
2015-03-28,2147
2015-03-29,2039
2015-03-30,1937
2015-03-31,1840
2015-04-01,1840
2015-04-02,1748
2015-04-03,1660
2015-04-04,1577
2015-04-05,1577
2015-04-06,1498
2015-04-07,1423
2015-04-08,1423
2015-04-09,1351
2015-04-10,1283
2015-04-11,1218
2015-04-12,1157
2015-04-13,1099
2015-04-14,1099
2015-04-15,1044
2015-04-16,1044
2015-04-17,991
2015-04-18,941
2015-04-19,893
2015-04-20,893
2015-04-21,848
2015-04-22,848
2015-04-23,805
2015-04-24,805
2015-04-25,764
2015-04-26,764
2015-04-27,725
2015-04-28,688
2015-04-29,688
2015-04-30,653
2015-05-01,620
2015-05-02,589
2015-05-03,589
2015-05-04,559
2015-05-05,559
2015-05-06,531
2015-05-07,504
2015-05-08,504
2015-05-09,478
2015-05-10,464
2015-05-11,464
2015-05-12,440
2015-05-13,440
2015-05-14,418
2015-05-15,418
2015-05-16,397
2015-05-17,377
2015-05-18,358
2015-05-19,358
2015-05-20,345
2015-05-21,345
2015-05-22,330
2015-05-23,330
2015-05-24,329
2015-05-25,332
2015-05-26,332
2015-05-27,335
2015-05-28,335
2015-05-29,343
2015-05-30,334
2015-05-31,322
2015-06-01,307
2015-06-02,307
2015-06-03,299
2015-06-04,299
2015-06-05,301
2015-06-06,309
2015-06-07,297
2015-06-08,289
2015-06-09,296
2015-06-10,300
2015-06-11,300
2015-06-12,294
2015-06-13,296
2015-06-14,299
2015-06-15,295
2015-06-16,280
2015-06-17,272
2015-06-18,266
2015-06-19,271
2015-06-20,278
2015-06-21,278
2015-06-22,275
2015-06-23,264
2015-06-24,261
2015-06-25,261
2015-06-26,267
2015-06-27,267
2015-06-28,266
2015-06-29,256
2015-06-30,252
2015-07-01,246
2015-07-02,246
2015-07-03,238
2015-07-04,239
2015-07-05,239
2015-07-06,247
2015-07-07,253
2015-07-08,258
2015-07-09,258
2015-07-10,253
2015-07-11,251
2015-07-12,249
2015-07-13,242
2015-07-14,229
2015-07-15,217
2015-07-16,209
2015-07-17,215
2015-07-18,215
2015-07-19,215
2015-07-20,209
2015-07-21,206
2015-07-22,210
2015-07-23,210
2015-07-24,205
2015-07-25,210
2015-07-26,211
2015-07-27,216
2015-07-28,217
2015-07-29,215
2015-07-30,215
2015-07-31,215
2015-08-01,214
2015-08-02,214
2015-08-03,216
2015-08-04,223
2015-08-05,213
2015-08-06,203
2015-08-07,192
2015-08-08,187
2015-08-09,188
2015-08-10,189
2015-08-11,186
2015-08-12,186
2015-08-13,189
2015-08-14,185
2015-08-15,185
2015-08-16,184
2015-08-17,190
2015-08-18,198
2015-08-19,203
2015-08-20,203
2015-08-21,209
2015-08-22,209
2015-08-23,209
2015-08-24,214
2015-08-25,214
2015-08-26,216
2015-08-27,220
