date_obj,Gnomeball price
2015-03-26,1541
2015-03-27,1541
2015-03-28,1541
2015-03-29,1541
2015-03-30,1541
2015-03-31,1541
2015-04-01,1541
2015-04-02,1541
2015-04-03,1541
2015-04-04,1607
2015-04-05,1607
2015-04-06,1607
2015-04-07,1607
2015-04-08,1607
2015-04-09,1607
2015-04-10,1607
2015-04-11,1607
2015-04-12,1607
2015-04-13,1607
2015-04-14,1607
2015-04-15,1607
2015-04-16,1607
2015-04-17,1607
2015-04-18,1607
2015-04-19,1607
2015-04-20,1659
2015-04-21,1659
2015-04-22,1659
2015-04-23,1659
2015-04-24,1659
2015-04-25,1659
2015-04-26,1659
2015-04-27,1659
2015-04-28,1659
2015-04-29,1659
2015-04-30,1659
2015-05-01,1659
2015-05-02,1659
2015-05-03,1659
2015-05-04,1659
2015-05-05,1659
2015-05-06,1659
2015-05-07,1709
2015-05-08,1709
2015-05-09,1709
2015-05-10,1709
2015-05-11,1709
2015-05-12,1709
2015-05-13,1709
2015-05-14,1709
2015-05-15,1709
2015-05-16,1709
2015-05-17,1709
2015-05-18,1709
2015-05-19,1709
2015-05-20,1709
2015-05-21,1709
2015-05-22,1709
2015-05-23,1743
2015-05-24,1743
2015-05-25,1743
2015-05-26,1743
2015-05-27,1743
2015-05-28,1743
2015-05-29,1743
2015-05-30,1743
2015-05-31,1743
2015-06-01,1743
2015-06-02,1779
2015-06-03,1779
2015-06-04,1779
2015-06-05,1779
2015-06-06,1779
2015-06-07,1779
2015-06-08,1779
2015-06-09,1779
2015-06-10,1819
2015-06-11,1819
2015-06-12,1819
2015-06-13,1819
2015-06-14,1819
2015-06-15,1819
2015-06-16,1819
2015-06-17,1819
2015-06-18,1819
2015-06-19,1819
2015-06-20,1909
2015-06-21,1909
2015-06-22,1909
2015-06-23,1909
2015-06-24,1909
2015-06-25,1909
2015-06-26,1959
2015-06-27,1959
2015-06-28,1959
2015-06-29,1959
2015-06-30,1959
2015-07-01,1959
2015-07-02,1959
2015-07-03,1959
2015-07-04,1959
2015-07-05,1959
2015-07-06,2029
2015-07-07,2029
2015-07-08,2029
2015-07-09,2029
2015-07-10,2029
2015-07-11,2029
2015-07-12,2029
2015-07-13,2029
2015-07-14,2111
2015-07-15,2111
2015-07-16,2111
2015-07-17,2111
2015-07-18,2111
2015-07-19,2111
2015-07-20,2111
2015-07-21,2207
2015-07-22,2207
2015-07-23,2207
2015-07-24,2207
2015-07-25,2207
2015-07-26,2207
2015-07-27,2291
2015-07-28,2291
2015-07-29,2291
2015-07-30,2291
2015-07-31,2291
2015-08-01,2291
2015-08-02,2406
2015-08-03,2406
2015-08-04,2406
2015-08-05,2406
2015-08-06,2406
2015-08-07,2406
2015-08-08,2406
2015-08-09,2525
2015-08-10,2525
2015-08-11,2525
2015-08-12,2525
2015-08-13,2525
2015-08-14,2525
2015-08-15,2525
2015-08-16,2525
2015-08-17,2646
2015-08-18,2646
2015-08-19,2646
2015-08-20,2646
2015-08-21,2646
2015-08-22,2646
2015-08-23,2646
2015-08-24,2646
2015-08-25,2646
2015-08-26,2696
2015-08-27,2696
2015-08-28,2696
2015-08-29,2696
2015-08-30,2696
2015-08-31,2696
2015-09-01,2696
2015-09-02,2699
2015-09-03,2699
2015-09-04,2699
2015-09-05,2699
2015-09-06,2699
2015-09-07,2699
2015-09-08,2699
2015-09-09,2699
2015-09-10,2706
2015-09-11,2706
2015-09-12,2706
2015-09-13,2706
2015-09-14,2706
2015-09-15,2706
2015-09-16,2706
2015-09-17,2706
2015-09-18,2706
2015-09-19,2706
2015-09-20,2706
2015-09-21,2832
2015-09-22,2832
2015-09-23,2832
2015-09-24,2832
2015-09-25,2832
2015-09-27,2832
2015-09-28,2832
2015-09-29,2832
2015-09-30,2832
2015-10-05,2886
2015-10-06,2886
2015-10-07,2886
2015-10-08,2886
2015-10-09,2886
2015-10-10,2886
2015-10-11,2886
2015-10-12,2965
2015-10-13,2965
2015-10-14,2965
2015-10-15,2965
2015-10-16,2965
2015-10-17,2965
2015-10-18,2965
2015-10-19,2965
2015-10-20,2965
2015-10-22,3049
2015-10-23,3049
2015-10-24,3049
2015-10-25,3049
2015-10-26,3049
2015-10-27,3049
2015-10-29,3049
2015-10-30,3049
2015-10-31,3049
2015-11-01,3158
2015-11-02,3158
2015-11-03,3158
2015-11-04,3158
2015-11-05,3158
2015-11-06,3158
2015-11-07,3158
2015-11-08,3158
2015-11-09,3158
2015-11-10,3158
2015-11-11,3158
2015-11-12,3160
2015-11-13,3160
2015-11-14,3160
2015-11-15,3160
2015-11-16,3160
2015-11-17,3160
2015-11-18,3160
2015-11-19,3160
2015-11-20,3122
2015-11-21,3122
2015-11-22,3122
2015-11-23,3122
2015-11-24,3122
2015-11-25,3122
2015-11-26,3122
2015-11-27,3122
2015-11-28,3122
2015-11-29,3132
2015-11-30,3132
2015-12-01,3132
2015-12-02,3132
2015-12-03,3132
2015-12-04,3132
2015-12-05,3132
2015-12-06,3132
2015-12-07,3132
2015-12-08,3121
2015-12-09,3121
2015-12-10,3121
2015-12-11,3121
2015-12-12,3121
2015-12-13,3121
2015-12-14,3121
2015-12-15,3121
2015-12-16,3120
2015-12-17,3120
2015-12-18,3120
2015-12-19,3120
2015-12-20,3120
2015-12-21,3120
2015-12-22,3120
2015-12-23,3169
2015-12-24,3169
2015-12-25,3169
2015-12-26,3169
2015-12-27,3169
2015-12-28,3169
2015-12-29,3169
2015-12-30,3211
2015-12-31,3211
2016-01-01,3211
2016-01-02,3211
2016-01-03,3211
2016-01-04,3211
2016-01-05,3211
2016-01-06,3194
2016-01-07,3194
2016-01-08,3194
2016-01-09,3194
2016-01-10,3194
2016-01-11,3194
2016-01-12,3194
2016-01-13,3194
2016-01-14,3328
2016-01-15,3328
2016-01-16,3328
2016-01-17,3328
2016-01-18,3328
2016-01-19,3328
2016-01-20,3493
2016-01-21,3493
2016-01-22,3493
2016-01-23,3493
2016-01-24,3493
2016-01-25,3493
2016-01-26,3493
2016-01-27,3653
2016-01-28,3653
2016-01-29,3653
2016-01-30,3653
2016-01-31,3653
2016-02-01,3653
2016-02-02,3653
2016-02-03,3653
2016-02-04,3653
2016-02-05,3826
2016-02-06,3826
2016-02-07,3826
2016-02-08,3826
2016-02-09,3826
2016-02-10,3826
2016-02-11,3826
2016-02-12,3826
2016-02-13,3826
2016-02-14,3908
2016-02-15,3908
2016-02-16,3908
2016-02-17,3908
2016-02-18,3908
2016-02-19,3908
2016-02-20,3908
2016-02-21,4034
2016-02-22,4034
2016-02-23,4034
2016-02-24,4034
2016-02-25,4034
2016-02-26,4034
2016-02-27,4034
2016-02-28,4034
2016-02-29,4202
2016-03-01,4202
2016-03-02,4202
2016-03-03,4202
2016-03-04,4202
2016-03-05,4202
2016-03-06,4202
2016-03-07,4202
2016-03-08,4330
2016-03-09,4330
2016-03-10,4330
2016-03-11,4330
2016-03-12,4330
2016-03-13,4330
2016-03-14,4330
2016-03-15,4456
2016-03-16,4456
2016-03-17,4456
2016-03-18,4456
2016-03-19,4456
2016-03-20,4456
2016-03-21,4456
2016-03-22,4511
2016-03-23,4511
2016-03-24,4511
2016-03-25,4511
2016-03-26,4511
2016-03-27,4511
2016-03-28,4511
2016-03-29,4657
2016-03-30,4657
2016-03-31,4657
2016-04-01,4657
2016-04-02,4657
2016-04-03,4657
2016-04-04,4657
2016-04-05,4657
2016-04-06,4657
2016-04-07,4657
2016-04-08,4583
2016-04-09,4583
2016-04-10,4583
2016-04-11,4583
2016-04-12,4583
2016-04-13,4583
2016-04-14,4583
2016-04-15,4583
2016-04-16,4583
2016-04-17,4520
2016-04-18,4520
2016-04-19,4520
2016-04-20,4520
2016-04-21,4520
2016-04-22,4520
2016-04-23,4520
2016-04-24,4520
2016-04-25,4651
2016-04-26,4651
2016-04-27,4651
2016-04-28,4651
2016-04-29,4651
2016-04-30,4651
2016-05-01,4651
2016-05-02,4651
2016-05-03,4545
2016-05-04,4545
2016-05-05,4545
2016-05-06,4545
2016-05-07,4545
2016-05-08,4545
2016-05-09,4545
2016-05-10,4545
2016-05-11,4610
2016-05-12,4610
2016-05-13,4610
2016-05-14,4610
2016-05-15,4610
2016-05-16,4610
2016-05-17,4584
2016-05-18,4584
2016-05-19,4584
2016-05-22,4584
2016-05-23,4452
2016-05-24,4452
2016-05-25,4452
2016-05-26,4452
2016-05-27,4452
2016-05-28,4234
2016-05-29,4234
2016-05-30,4234
2016-05-31,4234
2016-06-01,4133
2016-06-02,4133
2016-06-03,4133
2016-06-04,4133
2016-06-05,4133
2016-06-06,4123
2016-06-07,4123
2016-06-08,4123
