date_obj,Spottier%20cape price
2015-03-26,12943
2015-03-27,12943
2015-03-28,12295
2015-03-29,12295
2015-03-30,11711
2015-03-31,11711
2015-04-01,11145
2015-04-02,11145
2015-04-03,10625
2015-04-04,10625
2015-04-05,10249
2015-04-06,10249
2015-04-07,9746
2015-04-08,9746
2015-04-09,9746
2015-04-10,9258
2015-04-11,9258
2015-04-12,8807
2015-04-13,8807
2015-04-14,8807
2015-04-15,8366
2015-04-16,8366
2015-04-17,8366
2015-04-18,8001
2015-04-19,8001
2015-04-20,8001
2015-04-21,7787
2015-04-22,7787
2015-04-23,7787
2015-04-24,7693
2015-04-25,7693
2015-04-26,7693
2015-04-27,7542
2015-04-28,7542
2015-04-29,7542
2015-04-30,7192
2015-05-01,7192
2015-05-02,7192
2015-05-03,7092
2015-05-04,7092
2015-05-05,7092
2015-05-06,6764
2015-05-07,6764
2015-05-08,6764
2015-05-09,6428
2015-05-10,6428
2015-05-11,6428
2015-05-12,6106
2015-05-13,6106
2015-05-14,6106
2015-05-15,5845
2015-05-16,5845
2015-05-17,5845
2015-05-18,5645
2015-05-19,5645
2015-05-20,5645
2015-05-21,5645
2015-05-22,5429
2015-05-23,5429
2015-05-24,5429
2015-05-25,5320
2015-05-26,5320
2015-05-27,5320
2015-05-28,5252
2015-05-29,5252
2015-05-30,5456
2015-05-31,5456
2015-06-01,5721
2015-06-02,5721
2015-06-03,5721
2015-06-04,5897
2015-06-05,5897
2015-06-06,6178
2015-06-07,6178
2015-06-08,6178
2015-06-09,6090
2015-06-10,6090
2015-06-11,6090
2015-06-12,6070
2015-06-13,6070
2015-06-14,6297
2015-06-15,6297
2015-06-16,6297
2015-06-17,6350
2015-06-18,6350
2015-06-19,6583
2015-06-20,6583
2015-06-21,6583
2015-06-22,6786
2015-06-23,6786
2015-06-24,6815
2015-06-25,6815
2015-06-26,6815
2015-06-27,6530
2015-06-28,6530
2015-06-29,6530
2015-06-30,6229
2015-07-01,6229
2015-07-02,6229
2015-07-03,6158
2015-07-04,6158
2015-07-05,6158
2015-07-06,6007
2015-07-07,6007
2015-07-08,6231
2015-07-09,6231
2015-07-10,6231
2015-07-11,6507
2015-07-12,6507
2015-07-13,6507
2015-07-14,6638
2015-07-15,6638
2015-07-16,6638
2015-07-17,6456
2015-07-18,6456
2015-07-19,6456
2015-07-20,6489
2015-07-21,6489
2015-07-22,6770
2015-07-23,6770
2015-07-24,6770
2015-07-25,7000
2015-07-26,7000
2015-07-27,7000
2015-07-28,6889
2015-07-29,6889
2015-07-30,6856
2015-07-31,6856
2015-08-01,6856
2015-08-02,6804
2015-08-03,6804
2015-08-04,6804
2015-08-05,6650
2015-08-06,6650
2015-08-07,6650
2015-08-08,6775
2015-08-09,6775
