date_obj,Krandorian%20seed price
2015-03-05,133
2015-03-06,133
2015-03-07,126
2015-03-08,126
2015-03-09,126
2015-03-10,126
2015-03-11,126
2015-03-12,126
2015-03-13,119
2015-03-14,119
2015-03-15,119
2015-03-16,119
2015-03-17,119
2015-03-18,113
2015-03-19,113
2015-03-20,113
2015-03-21,113
2015-03-22,113
2015-03-23,113
2015-03-24,107
2015-03-25,107
2015-03-26,107
2015-03-27,107
2015-03-28,107
2015-03-29,101
2015-03-30,101
2015-03-31,101
2015-04-01,101
2015-04-02,101
2015-04-03,101
2015-04-04,95
2015-04-05,95
2015-04-06,95
2015-04-07,95
2015-04-08,95
2015-04-09,95
2015-04-10,90
2015-04-11,90
2015-04-12,90
2015-04-13,90
2015-04-14,90
2015-04-15,90
2015-04-16,85
2015-04-17,85
2015-04-18,85
2015-04-19,85
2015-04-20,85
2015-04-21,85
2015-04-22,80
2015-04-23,80
2015-04-24,80
2015-04-25,80
2015-04-26,80
2015-04-27,80
2015-04-28,76
2015-04-29,76
2015-04-30,76
2015-05-01,76
2015-05-02,76
2015-05-03,76
2015-05-04,76
2015-05-05,72
2015-05-06,72
2015-05-07,72
2015-05-08,72
2015-05-09,72
2015-05-10,72
2015-05-11,68
2015-05-12,68
2015-05-13,68
2015-05-14,68
2015-05-15,68
2015-05-16,68
2015-05-17,64
2015-05-18,64
2015-05-19,64
2015-05-20,64
2015-05-21,64
2015-05-22,64
2015-05-23,64
2015-05-24,60
2015-05-25,60
2015-05-26,60
2015-05-27,60
2015-05-28,57
2015-05-29,57
2015-05-30,57
2015-05-31,57
2015-06-01,54
2015-06-02,54
2015-06-03,54
2015-06-04,54
2015-06-05,54
2015-06-06,54
2015-06-07,51
2015-06-08,51
2015-06-09,51
2015-06-10,51
2015-06-11,51
2015-06-12,51
2015-06-13,48
2015-06-14,48
2015-06-15,48
2015-06-16,48
2015-06-17,48
2015-06-18,48
2015-06-19,45
2015-06-20,45
2015-06-21,45
2015-06-22,45
2015-06-23,45
2015-06-24,42
2015-06-25,42
2015-06-26,42
2015-06-27,42
2015-06-28,42
2015-06-29,42
2015-06-30,39
2015-07-01,39
2015-07-02,39
2015-07-03,39
2015-07-04,39
2015-07-05,39
2015-07-06,37
2015-07-07,37
2015-07-08,37
2015-07-09,37
2015-07-10,37
2015-07-11,37
2015-07-12,35
2015-07-13,35
2015-07-14,35
2015-07-15,35
2015-07-16,35
2015-07-17,35
2015-07-18,33
2015-07-19,33
2015-07-20,33
2015-07-21,33
2015-07-22,33
2015-07-23,31
2015-07-24,31
2015-07-25,31
2015-07-26,31
2015-07-27,31
2015-07-28,29
2015-07-29,29
2015-07-30,29
2015-07-31,29
2015-08-01,29
2015-08-02,27
2015-08-03,27
2015-08-04,27
2015-08-05,27
2015-08-06,27
2015-08-07,25
2015-08-08,25
2015-08-09,25
2015-08-10,25
2015-08-11,23
2015-08-12,23
2015-08-13,23
2015-08-14,23
2015-08-15,23
2015-08-16,23
2015-08-17,21
2015-08-18,21
2015-08-19,21
2015-08-20,21
2015-08-21,21
2015-08-22,19
2015-08-23,19
2015-08-24,19
2015-08-25,19
2015-08-26,19
2015-08-27,19
2015-08-28,18
2015-08-29,18
2015-08-30,18
2015-08-31,18
2015-09-02,18
2015-09-07,17
2015-09-08,17
2015-09-10,16
2015-09-14,16
2015-09-16,15
2015-09-22,14
2015-09-23,14
2015-09-24,14
2015-09-25,14
2015-09-27,14
2015-09-28,13
2015-09-29,13
2015-09-30,13
2015-10-05,13
2015-10-06,13
2015-10-07,13
2015-10-08,13
2015-10-09,13
2015-10-10,13
2015-10-11,12
2015-10-12,12
2015-10-13,12
2015-10-14,12
2015-10-15,12
2015-10-16,12
2015-10-17,12
2015-10-18,12
2015-10-19,12
2015-10-20,12
2015-10-22,12
2015-10-23,11
2015-10-24,11
2015-10-25,11
2015-10-26,11
2015-10-27,11
2015-10-29,10
2015-10-30,10
2015-10-31,10
2015-11-01,10
2015-11-02,10
2015-11-03,10
2015-11-04,9
2015-11-05,9
2015-11-06,9
2015-11-07,9
2015-11-08,9
2015-11-09,8
2015-11-10,8
2015-11-11,8
2015-11-12,8
2015-11-13,8
2015-11-14,8
2015-11-15,7
2015-11-16,7
2015-11-17,7
2015-11-18,7
2015-11-19,6
2015-11-20,6
2015-11-21,6
2015-11-22,6
2015-11-23,5
2015-11-24,5
2015-11-25,5
2015-11-26,5
2015-11-27,4
2015-11-28,4
2015-11-29,4
2015-11-30,4
2015-12-01,4
2015-12-02,3
2015-12-03,3
2015-12-04,3
2015-12-05,3
2015-12-06,2
2015-12-07,2
2015-12-08,2
2015-12-09,2
2015-12-10,2
2015-12-11,2
2015-12-12,2
2015-12-13,2
2015-12-14,2
2015-12-15,2
2015-12-16,2
2015-12-17,2
2015-12-18,2
2015-12-19,2
2015-12-20,2
2015-12-21,1
2015-12-22,1
2015-12-23,1
2015-12-24,1
2015-12-25,1
2015-12-26,1
2015-12-27,1
2015-12-28,1
2015-12-29,1
2015-12-30,1
2015-12-31,1
2016-01-01,1
2016-01-02,1
2016-01-03,1
2016-01-04,1
2016-01-05,1
2016-01-06,1
2016-01-07,1
2016-01-08,1
2016-01-09,1
2016-01-10,1
2016-01-11,1
2016-01-12,1
2016-01-13,1
2016-01-14,1
2016-01-15,1
2016-01-16,1
2016-01-17,1
2016-01-18,1
2016-01-19,2
2016-01-20,2
2016-01-21,2
2016-01-22,2
2016-01-23,2
2016-01-24,3
2016-01-25,3
2016-01-26,3
2016-01-27,3
2016-01-28,3
2016-01-29,2
2016-01-30,2
2016-01-31,2
2016-02-01,2
2016-02-02,2
2016-02-03,2
2016-02-04,2
2016-02-05,2
