date_obj,Steel%20platebody%20(g) price
2016-07-06,1000000
2016-07-07,959435
2016-07-08,959435
2016-07-09,959435
2016-07-10,912789
2016-07-11,912789
2016-07-12,868954
2016-07-13,868954
2016-07-14,868954
2016-07-15,826552
2016-07-16,826552
2016-07-17,826552
2016-07-18,785578
2016-07-24,711303
2016-07-25,711303
2016-07-26,711303
2016-07-27,711303
2016-07-28,677465
2016-07-29,677465
2016-07-30,677465
2016-07-31,677465
2016-08-01,644678
2016-08-02,644678
2016-08-03,644678
2016-08-04,644678
2016-08-05,644678
2016-08-06,613248
2016-08-07,613248
2016-08-08,613248
2016-08-09,613248
2016-08-10,584392
2016-08-11,584392
2016-08-12,584392
2016-08-13,584392
2016-08-14,584392
2016-08-15,584392
2016-08-16,584392
2016-08-17,556091
2016-08-18,556091
2016-08-19,556091
2016-08-20,556091
2016-08-21,556091
2016-08-22,556091
2016-08-23,556091
2016-08-24,529436
2016-08-25,529436
2016-08-26,529436
2016-08-28,529436
2016-08-31,503967
2016-09-01,503967
2016-09-02,503967
2016-09-03,503967
2016-09-04,503967
2016-09-05,503967
2016-09-06,479713
2016-09-07,479713
2016-09-08,479713
2016-09-09,479713
2016-09-10,479713
2016-09-11,479713
2016-09-12,479713
2016-09-13,456484
2016-09-14,456484
2016-09-15,456484
2016-09-16,456484
2016-09-17,456484
2016-09-18,456484
2016-09-19,456484
2016-09-20,434996
2016-09-21,434996
2016-09-22,434996
2016-09-23,434996
2016-09-24,434996
2016-09-25,434996
2016-09-26,414377
2016-09-27,414377
2016-09-28,414377
2016-09-29,414377
2016-09-30,414377
2016-10-01,394452
2016-10-02,394452
2016-10-03,394452
2016-10-04,394452
2016-10-05,394452
2016-10-06,394452
2016-10-07,376216
2016-10-08,376216
2016-10-09,376216
2016-10-10,376216
2016-10-11,376216
2016-10-12,376216
2016-10-13,358634
2016-10-14,358634
2016-10-15,358634
2016-10-16,358634
2016-10-17,358634
2016-10-18,358634
2016-10-19,341887
2016-10-20,341887
2016-10-21,341887
2016-10-22,341887
2016-10-23,341887
2016-10-24,325406
2016-10-25,325406
2016-10-26,325406
2016-10-27,325406
2016-10-28,325406
2016-10-29,325406
2016-10-30,310204
2016-10-31,65000
2016-11-01,65000
2016-11-02,65000
2016-11-03,65000
2016-11-04,65000
2016-11-05,65000
2016-11-06,65000
2016-11-07,65000
2016-11-08,65000
2016-11-09,61970
2016-11-10,61970
2016-11-11,61970
2016-11-12,61970
2016-11-13,61970
2016-11-14,61970
2016-12-08,56087
2016-12-09,56087
2016-12-10,56087
2016-12-11,56087
2016-12-12,56087
2016-12-13,56087
2016-12-14,56087
2016-12-15,55042
2016-12-16,55042
2016-12-17,55042
2016-12-18,55042
2016-12-19,55042
2016-12-20,55042
2016-12-21,55042
2016-12-22,55042
2016-12-23,52681
2016-12-24,52681
2016-12-25,52681
2016-12-26,52681
2016-12-27,52681
2016-12-28,52681
2016-12-29,52681
2016-12-30,52681
2016-12-31,52681
2017-01-01,50219
2017-01-02,50219
2017-01-03,50219
2017-01-04,50219
2017-01-05,50219
2017-01-06,50219
2017-01-07,50219
2017-01-08,47892
2017-01-09,47892
2017-01-10,47892
2017-01-11,47892
2017-01-12,47892
2017-01-13,46016
2017-01-14,46016
2017-01-15,46016
2017-01-16,46016
2017-01-17,46016
2017-01-18,46016
2017-01-19,43997
2017-01-20,43997
2017-01-21,43997
2017-01-22,43997
2017-01-27,42050
2017-01-28,42050
2017-01-29,42050
2017-01-30,42050
2017-01-31,42050
2017-02-01,42050
2017-02-02,42050
2017-02-03,41029
2017-02-04,41029
2017-02-05,41029
2017-02-06,41029
2017-02-07,41029
2017-02-08,41029
2017-02-09,41029
2017-02-10,41001
2017-02-11,41001
2017-02-12,41001
2017-02-13,41001
2017-02-14,41001
2017-02-15,41001
2017-02-16,39323
2017-02-18,39323
2017-02-19,39323
2017-02-20,39323
2017-02-21,39323
2017-02-22,38142
2017-02-23,38142
2017-02-24,38142
2017-02-25,38142
2017-02-26,38142
2017-02-27,38142
2017-02-28,36466
2017-03-01,36466
2017-03-02,36466
2017-03-03,36466
2017-03-04,36466
2017-03-05,36466
2017-03-06,35083
2017-03-07,35083
2017-03-08,35083
2017-03-09,35083
2017-03-10,35083
2017-03-11,35083
2017-03-12,34321
2017-03-13,34321
2017-03-14,34321
2017-03-15,34321
2017-03-16,34321
2017-03-17,34321
2017-03-18,33422
2017-03-19,33422
2017-03-20,33422
2017-03-21,33422
2017-03-22,33422
2017-03-23,33422
2017-03-24,32188
2017-03-25,32188
2017-03-26,32188
2017-03-27,32188
2017-03-28,32188
2017-03-29,32188
2017-03-30,32188
2017-03-31,32311
2017-04-01,32311
2017-04-02,32311
2017-04-03,32311
2017-04-04,32311
2017-04-12,31805
2017-04-13,31805
2017-04-14,31685
2017-04-15,31685
2017-04-16,31685
2017-04-17,31685
2017-04-18,31685
2017-04-19,31685
2017-04-20,31651
2017-04-21,31651
2017-04-22,31651
2017-04-23,31651
2017-04-24,31651
2017-04-25,31651
2017-04-26,31651
2017-04-27,31397
2017-04-28,31397
2017-04-29,31397
2017-04-30,31397
2017-05-01,31397
2017-05-02,31397
2017-05-03,31397
2017-05-04,31763
2017-05-05,31763
2017-05-06,31763
2017-05-07,31763
2017-05-08,31763
2017-05-09,31763
2017-05-10,31763
2017-05-11,31763
2017-05-12,32396
2017-05-13,32396
2017-05-14,32396
2017-05-15,32396
2017-05-16,32396
2017-05-17,32396
2017-05-18,32396
2017-05-19,32396
2017-05-20,32552
2017-05-21,32552
2017-05-22,32552
2017-05-23,32552
2017-05-24,32552
2017-05-25,32552
2017-05-26,32552
2017-05-27,32552
2017-05-28,33362
2017-05-29,33362
2017-05-30,33362
2017-05-31,33362
2017-06-01,33362
2017-06-02,33362
2017-06-03,33362
2017-06-06,32256
2017-06-07,32256
2017-06-08,32256
2017-06-09,32256
2017-06-10,32256
2017-06-11,31343
2017-06-12,31343
2017-06-13,31343
2017-06-14,31343
2017-06-15,31343
2017-06-16,31343
2017-06-17,31343
2017-06-18,31343
2017-06-19,31343
2017-06-20,30444
2017-06-21,30444
2017-06-22,30444
2017-06-23,30444
2017-06-24,30444
2017-06-25,30444
2017-06-26,30444
2017-06-27,30444
2017-06-28,29681
2017-06-29,29681
2017-06-30,29681
2017-07-01,29681
2017-07-02,29681
2017-07-03,29681
2017-07-04,29681
2017-07-05,29681
2017-07-06,29042
2017-07-07,29042
2017-07-08,29042
2017-07-13,29042
2017-07-14,28040
2017-07-15,28040
2017-07-16,28040
2017-07-17,28040
2017-07-18,28040
2017-07-19,28040
2017-07-20,28040
2017-07-21,26870
2017-07-22,26870
2017-07-23,26870
2017-07-24,26870
2017-07-25,26870
2017-07-26,26870
2017-07-27,26329
2017-07-28,26329
2017-07-29,26329
2017-07-30,26329
2017-07-31,26329
2017-08-01,26329
2017-08-02,26329
2017-08-03,25649
2017-08-04,25649
2017-08-05,25649
2017-08-06,25649
2017-08-09,25890
2017-08-10,25890
2017-08-11,25890
2017-08-12,25890
2017-08-13,25890
2017-08-14,25890
2017-08-15,25932
2017-08-17,25932
2017-08-18,25932
2017-08-19,25932
2017-08-20,25932
2017-08-21,25280
2017-08-22,25280
2017-08-23,25280
2017-08-24,25280
2017-08-25,25280
2017-08-26,25280
2017-08-27,25280
2017-08-28,25398
2017-08-29,25398
2017-08-30,25398
2017-08-31,25398
2017-09-01,25398
2017-09-02,25398
2017-09-03,25398
2017-09-04,25398
2017-09-05,25398
2017-09-06,26452
2017-09-07,26452
2017-09-08,26452
2017-09-09,26452
2017-09-10,26452
2017-09-11,26452
2017-09-12,26452
2017-09-13,26452
2017-09-14,27608
2017-09-15,27608
2017-09-16,27608
2017-09-17,27608
2017-09-19,27608
2017-09-20,27608
2017-09-21,27608
2017-09-22,28684
2017-09-23,28684
2017-09-24,28684
2017-09-25,28684
2017-09-26,28684
2017-09-27,28684
2017-09-28,28684
2017-09-29,29419
2017-09-30,29419
2017-10-01,29419
2017-10-02,29419
2017-10-03,29419
2017-10-04,29419
2017-10-05,29419
2017-10-06,29419
2017-10-07,30067
2017-10-08,30067
2017-10-09,30067
2017-10-10,30067
2017-10-11,30067
2017-10-12,30067
2017-10-13,30067
2017-10-14,30928
2017-10-15,30928
2017-10-16,30928
2017-10-17,30928
2017-10-18,30928
2017-10-19,30928
2017-10-20,30928
2017-10-21,30928
2017-10-22,31714
2017-10-23,31714
2017-10-24,31714
2017-10-25,31714
2017-10-26,31714
2017-10-27,31714
2017-10-28,31714
2017-10-29,31714
2017-10-30,31225
2017-10-31,31225
2017-11-01,31225
2017-11-02,31225
2017-11-03,31225
2017-11-04,31225
2017-11-05,32200
2017-11-06,32200
2017-11-07,32200
2017-11-08,32200
2017-11-09,32200
2017-11-10,32200
2017-11-11,32200
2017-11-12,32200
2017-11-13,32222
2017-11-14,32222
2017-11-15,32222
2017-11-16,32222
2017-11-17,32222
2017-11-18,32222
2017-11-19,32222
2017-11-20,32222
2017-11-21,32589
2017-11-22,32589
2017-11-23,32589
2017-11-24,32589
2017-11-25,32589
2017-11-26,32589
2017-11-27,32589
2017-11-28,31527
2017-11-29,31527
2017-11-30,31527
2017-12-01,31527
2017-12-02,31527
2017-12-03,31527
2017-12-04,30178
2017-12-05,30178
2017-12-06,30178
2017-12-07,30178
2017-12-08,30178
2017-12-09,30178
2017-12-10,28771
2017-12-11,28771
2017-12-12,28771
2017-12-13,28771
2017-12-14,28771
2017-12-15,28771
2017-12-16,28771
2017-12-17,27637
2017-12-18,27637
2017-12-19,27637
2017-12-20,27637
2017-12-21,27637
2017-12-22,27637
2017-12-23,27246
2017-12-24,27246
2017-12-25,27246
2017-12-26,27246
2017-12-27,27246
2017-12-28,27246
2017-12-29,27246
2017-12-30,27440
2017-12-31,27440
2018-01-01,27440
2018-01-02,27440
2018-01-03,27440
2018-01-04,27440
2018-01-05,28120
2018-01-06,28120
2018-01-07,28120
2018-01-08,28120
2018-01-09,28120
2018-01-10,28120
2018-01-11,28120
2018-01-12,28803
2018-01-13,28803
2018-01-14,28803
2018-01-15,28803
2018-01-16,28803
2018-01-17,28803
2018-01-18,29708
2018-01-19,29708
2018-01-20,29708
2018-01-21,29708
2018-01-22,29708
2018-01-23,29708
2018-01-24,30650
2018-01-25,30650
2018-01-26,30650
2018-01-27,30650
2018-01-28,31757
2018-01-29,31757
2018-01-30,31757
2018-02-01,32440
2018-02-02,32440
2018-02-03,32440
2018-02-04,33067
2018-02-05,33067
2018-02-06,33067
2018-02-07,33067
2018-02-08,34371
2018-02-09,34371
2018-02-10,34371
2018-02-11,35438
2018-02-12,35438
2018-02-13,35438
2018-02-14,35438
2018-02-15,36625
2018-02-16,36625
2018-02-17,36625
2018-02-18,36625
2018-02-19,35939
2018-02-20,35939
2018-02-21,35939
2018-02-22,35939
2018-02-23,34580
2018-02-24,34580
2018-02-25,34580
2018-02-26,33220
2018-02-27,33220
2018-02-28,33220
2018-03-01,31779
2018-03-02,31779
2018-03-03,31779
2018-03-04,30693
2018-03-05,30693
2018-03-06,30693
2018-03-07,29324
2018-03-08,29324
2018-03-09,29324
2018-03-10,28370
2018-03-11,28370
2018-03-12,28370
2018-03-13,27885
2018-03-14,27885
2018-03-15,27885
2018-03-16,27885
2018-03-17,26906
2018-03-18,26906
2018-03-19,26906
2018-03-20,27118
2018-03-21,27118
2018-03-23,27118
2018-03-24,27363
2018-03-26,27363
2018-03-27,27363
2018-03-28,28014
2018-03-29,28014
2018-03-30,28014
2018-03-31,27929
2018-04-01,27929
2018-04-02,27929
2018-04-03,29086
2018-04-04,29086
2018-04-05,29086
2018-04-06,29086
2018-04-08,30035
2018-04-09,30035
2018-04-10,30035
2018-04-11,29652
2018-04-12,29652
2018-04-13,29652
2018-04-14,29652
2018-04-16,29808
2018-04-17,29808
2018-04-18,29808
2018-04-19,29808
2018-04-20,29577
2018-04-21,29577
2018-04-22,29577
2018-04-23,28633
2018-04-24,28633
2018-04-25,28633
2018-04-26,28633
2018-04-27,28152
2018-04-28,28152
2018-04-29,28152
2018-04-30,28152
2018-05-01,27528
2018-05-02,27528
2018-05-03,27528
2018-05-04,27528
2018-05-05,28270
2018-05-06,28270
2018-05-07,28270
2018-05-08,28270
2018-05-09,28270
2018-05-10,28148
2018-05-11,28148
2018-05-12,28148
2018-05-13,28148
2018-05-14,28600
2018-05-15,28600
2018-05-16,28600
2018-05-17,28600
2018-05-18,29359
2018-05-19,29359
2018-05-20,29359
2018-05-21,29359
2018-05-22,29706
2018-05-23,29706
2018-05-24,29706
2018-05-25,29706
2018-05-26,30373
2018-05-27,30373
2018-05-28,30373
2018-05-29,30373
2018-05-30,31541
2018-05-31,31541
2018-06-01,31541
2018-06-02,32003
2018-06-03,32003
2018-06-04,32003
2018-06-05,31523
2018-06-06,31523
2018-06-07,31523
2018-06-08,31317
2018-06-09,31317
2018-06-10,31317
2018-06-11,31317
2018-06-12,30485
2018-06-13,30485
2018-06-14,30485
2018-06-15,29628
2018-06-16,29628
2018-06-17,29628
2018-06-18,28220
2018-06-19,28220
2018-06-20,28220
2018-06-21,27293
2018-06-22,27293
2018-06-23,27293
2018-06-24,26838
2018-06-25,26838
2018-06-26,26838
2018-06-27,26838
2018-06-28,26520
2018-06-29,26520
2018-06-30,26520
2018-07-01,26193
2018-07-02,26193
2018-07-03,26193
2018-07-04,26193
2018-07-05,26914
2018-07-06,26914
2018-07-07,26914
2018-07-08,27529
2018-07-09,27529
2018-07-10,27529
2018-07-11,27242
2018-07-12,27242
2018-07-13,27242
2018-07-14,26932
2018-07-15,26932
2018-07-16,26932
2018-07-17,26474
2018-07-18,26474
2018-07-19,26474
2018-07-20,26825
2018-07-21,26825
2018-07-22,26825
2018-07-23,27703
2018-07-24,27703
2018-07-25,27703
2018-07-26,27703
2018-07-27,27020
2018-07-28,27020
2018-07-29,27020
2018-07-30,27275
2018-07-31,27275
2018-08-01,27275
2018-08-02,27900
2018-08-03,27900
2018-08-04,27900
2018-08-05,27565
2018-08-06,27565
2018-08-07,27565
2018-08-08,27453
2018-08-09,27453
2018-08-10,27453
2018-08-11,27965
2018-08-12,27965
2018-08-14,27337
2018-08-16,27394
2018-08-17,27394
2018-08-18,27394
2018-08-19,27633
2018-08-20,27633
2018-08-21,27717
2018-08-22,27717
2018-08-23,27717
2018-08-24,28493
2018-08-25,28493
2018-08-26,28493
2018-08-27,28723
