date_obj,Menaphite%20purple%20top price
2015-03-05,22000
2015-03-06,22000
2015-03-07,22000
2015-03-08,22000
2015-03-09,22000
2015-03-10,22000
2015-03-11,22000
2015-03-12,22000
2015-03-13,22000
2015-03-14,22000
2015-03-15,22000
2015-03-16,22000
2015-03-17,22000
2015-03-18,22000
2015-03-19,22000
2015-03-20,22000
2015-03-21,22000
2015-03-22,20938
2015-03-23,20938
2015-03-24,20938
2015-03-25,20938
2015-03-26,20938
2015-03-27,20938
2015-03-28,20938
2015-03-29,20938
2015-03-30,20938
2015-03-31,20938
2015-04-01,20938
2015-04-02,20938
2015-04-03,20938
2015-04-04,20938
2015-04-05,20938
2015-04-06,20938
2015-04-07,20938
2015-04-08,20938
2015-04-09,20938
2015-04-10,19908
2015-04-11,19908
2015-04-12,19908
2015-04-13,19908
2015-04-14,19908
2015-04-15,19908
2015-04-16,19908
2015-04-17,19908
2015-04-18,19908
2015-04-19,19908
2015-04-20,19908
2015-04-21,19908
2015-04-22,19908
2015-04-23,19908
2015-04-24,19908
2015-04-25,19908
2015-04-26,19908
2015-04-27,19908
2015-04-28,18925
2015-04-29,18925
2015-04-30,18925
2015-05-01,18925
2015-05-02,18925
2015-05-03,18925
2015-05-04,18925
2015-05-05,18925
2015-05-06,18925
2015-05-07,18925
2015-05-08,18925
2015-05-09,18925
2015-05-10,18925
2015-05-11,18925
2015-05-12,18925
2015-05-13,18925
2015-05-14,18925
2015-05-15,18925
2015-05-16,18925
2015-05-17,18925
2015-05-18,17984
2015-05-19,17984
2015-05-20,17984
2015-05-21,17984
2015-05-22,17984
2015-05-23,17984
2015-05-24,17984
2015-05-25,17984
2015-05-26,17984
2015-05-27,17984
2015-05-28,17984
2015-05-29,17984
2015-05-30,17984
2015-05-31,17984
2015-06-01,17133
2015-06-02,17133
2015-06-03,17133
2015-06-04,17133
2015-06-05,17133
2015-06-06,17133
2015-06-07,17133
2015-06-08,17133
2015-06-09,17133
2015-06-10,17133
2015-06-11,17133
2015-06-12,17133
2015-06-13,17133
2015-06-14,16287
2015-06-15,16287
2015-06-16,16287
2015-06-17,16287
2015-06-18,16287
2015-06-19,16287
2015-06-20,16287
2015-06-21,16287
2015-06-22,16287
2015-06-23,16287
2015-06-24,16287
2015-06-25,16287
2015-06-26,15477
2015-06-27,15477
2015-06-28,15477
2015-06-29,15477
2015-06-30,15477
2015-07-01,15477
2015-07-02,15477
2015-07-03,15477
2015-07-04,15477
2015-07-05,15477
2015-07-06,15477
2015-07-07,14741
2015-07-08,14741
2015-07-09,14741
2015-07-10,14741
2015-07-11,14741
2015-07-12,14741
2015-07-13,14741
2015-07-14,14741
2015-07-15,14741
2015-07-16,14085
2015-07-17,14085
2015-07-18,14085
2015-07-19,14085
2015-07-20,14085
2015-07-21,14085
2015-07-22,14085
2015-07-23,14085
2015-07-24,13459
2015-07-25,13459
2015-07-26,13459
2015-07-27,13459
2015-07-28,13459
2015-07-29,13459
2015-07-30,13459
2015-07-31,13459
2015-08-01,12812
2015-08-02,12812
2015-08-03,12812
2015-08-04,12812
2015-08-05,12812
2015-08-06,12812
2015-08-07,12812
2015-08-08,12812
2015-08-09,12812
2015-08-10,12184
2015-08-11,12184
2015-08-12,12184
2015-08-13,12184
2015-08-14,12184
2015-08-15,12184
2015-08-16,12184
2015-08-17,12184
2015-08-18,12184
2015-08-19,12184
2015-08-20,11626
2015-08-21,11626
2015-08-22,11626
2015-08-23,11626
2015-08-24,11626
2015-08-25,11626
2015-08-26,11626
2015-08-27,11626
2015-08-28,11626
2015-08-29,11626
2015-08-30,11266
2015-08-31,11266
2015-09-02,11266
2015-09-07,11266
2015-09-08,11266
2015-09-10,10743
2015-09-14,10743
2015-09-16,10743
2015-09-22,10224
2015-09-23,10224
2015-09-24,10224
2015-09-25,10224
2015-09-27,10224
2015-09-28,10224
2015-09-29,10224
2015-09-30,10224
2015-10-05,9720
2015-10-06,9720
2015-10-07,9720
2015-10-08,9720
2015-10-09,9720
2015-10-10,9720
2015-10-11,9720
2015-10-12,9720
2015-10-13,9257
2015-10-14,9257
2015-10-15,9257
2015-10-16,9257
2015-10-17,9257
2015-10-18,9257
2015-10-19,9257
2015-10-20,9257
2015-10-22,9257
2015-10-23,8823
2015-10-24,8823
2015-10-25,8823
2015-10-26,8823
2015-10-27,8823
2015-10-29,8823
2015-10-30,8823
2015-10-31,8823
2015-11-01,8823
2015-11-02,8823
2015-11-03,8823
2015-11-04,8823
2015-11-05,8391
2015-11-06,8391
2015-11-07,8391
2015-11-08,8391
2015-11-09,8391
2015-11-10,8391
2015-11-11,8391
