date_obj,Magic%20longbow%20(u) price
2015-03-26,1204
2015-03-27,1204
2015-03-28,1189
2015-03-29,1189
2015-03-30,1189
2015-03-31,1184
2015-04-01,1184
2015-04-02,1184
2015-04-03,1207
2015-04-04,1207
2015-04-05,1207
2015-04-06,1238
2015-04-07,1238
2015-04-08,1238
2015-04-09,1250
2015-04-10,1250
2015-04-11,1250
2015-04-12,1236
2015-04-13,1236
2015-04-14,1236
2015-04-15,1230
2015-04-16,1230
2015-04-17,1230
2015-04-18,1220
2015-04-19,1220
2015-04-20,1220
2015-04-21,1222
2015-04-22,1222
2015-04-23,1222
2015-04-24,1232
2015-04-25,1232
2015-04-26,1232
2015-04-27,1245
2015-04-28,1245
2015-04-29,1245
2015-04-30,1238
2015-05-01,1238
2015-05-02,1238
2015-05-03,1221
2015-05-04,1221
2015-05-05,1221
2015-05-06,1200
2015-05-07,1200
2015-05-08,1200
2015-05-09,1197
2015-05-10,1197
2015-05-11,1197
2015-05-12,1197
2015-05-13,1197
2015-05-14,1197
2015-05-15,1192
2015-05-16,1192
2015-05-17,1192
2015-05-18,1203
2015-05-19,1203
2015-05-20,1203
2015-05-21,1203
2015-05-22,1216
2015-05-23,1216
2015-05-24,1216
2015-05-25,1201
2015-05-26,1201
2015-05-27,1201
2015-05-28,1196
2015-05-29,1196
2015-05-30,1195
2015-05-31,1195
2015-06-01,1191
2015-06-02,1191
2015-06-03,1190
2015-06-04,1190
2015-06-05,1173
2015-06-06,1163
2015-06-07,1163
2015-06-08,1160
2015-06-09,1160
2015-06-10,1159
2015-06-11,1159
2015-06-12,1143
2015-06-13,1143
2015-06-14,1170
2015-06-15,1170
2015-06-16,1181
2015-06-17,1181
2015-06-18,1205
2015-06-19,1205
2015-06-20,1200
2015-06-21,1200
2015-06-22,1169
2015-06-23,1169
2015-06-24,1166
2015-06-25,1166
2015-06-26,1196
2015-06-27,1196
2015-06-28,1192
2015-06-29,1192
2015-06-30,1201
2015-07-01,1201
2015-07-02,1222
2015-07-03,1222
2015-07-04,1225
2015-07-05,1225
2015-07-06,1190
2015-07-07,1190
2015-07-08,1176
2015-07-09,1176
2015-07-10,1187
2015-07-11,1187
2015-07-12,1184
2015-07-13,1184
2015-07-14,1157
2015-07-15,1157
2015-07-16,1160
2015-07-17,1160
2015-07-18,1172
2015-07-19,1172
2015-07-20,1163
2015-07-21,1163
2015-07-22,1179
2015-07-23,1179
2015-07-24,1176
2015-07-25,1176
2015-07-26,1177
2015-07-27,1182
2015-07-28,1182
2015-07-29,1173
2015-07-30,1173
2015-07-31,1171
2015-08-01,1171
2015-08-02,1183
2015-08-03,1183
2015-08-04,1194
2015-08-05,1207
2015-08-06,1207
2015-08-07,1200
2015-08-08,1229
2015-08-09,1183
2015-08-10,1193
2015-08-11,1179
2015-08-12,1179
2015-08-13,1187
2015-08-14,1191
2015-08-15,1191
2015-08-16,1196
2015-08-17,1181
2015-08-18,1181
2015-08-19,1201
2015-08-20,1201
2015-08-21,1210
2015-08-22,1209
2015-08-23,1209
2015-08-24,1230
2015-08-25,1230
2015-08-26,1259
2015-08-27,1226
2015-08-28,1226
2015-08-29,1244
2015-08-30,1244
2015-08-31,1222
2015-09-01,1218
2015-09-02,1218
2015-09-03,1217
2015-09-04,1230
2015-09-05,1230
2015-09-06,1205
2015-09-07,1214
2015-09-08,1235
2015-09-09,1228
2015-09-10,1228
2015-09-11,1259
2015-09-12,1259
2015-09-13,1217
2015-09-14,1217
2015-09-15,1193
2015-09-16,1193
2015-09-17,1214
2015-09-18,1214
2015-09-19,1238
2015-09-20,1238
2015-09-21,1240
2015-09-22,1269
2015-09-23,1243
2015-09-24,1243
2015-09-25,1266
2015-09-27,1237
2015-09-28,1228
2015-09-29,1228
2015-09-30,1235
2015-10-05,1188
2015-10-06,1177
2015-10-07,1177
2015-10-08,1161
2015-10-09,1173
2015-10-10,1173
2015-10-11,1203
2015-10-12,1215
2015-10-13,1215
2015-10-14,1231
2015-10-15,1221
2015-10-16,1200
2015-10-17,1200
2015-10-18,1191
2015-10-19,1191
2015-10-20,1216
2015-10-22,1232
2015-10-23,1205
2015-10-24,1205
2015-10-25,1206
2015-10-26,1190
2015-10-27,1190
2015-10-29,1185
2015-10-30,1185
2015-10-31,1184
2015-11-01,1184
2015-11-02,1188
2015-11-03,1188
2015-11-04,1201
2015-11-05,1201
2015-11-06,1176
2015-11-07,1162
2015-11-08,1162
2015-11-09,1162
2015-11-10,1177
2015-11-11,1177
2015-11-12,1197
2015-11-13,1197
2015-11-14,1192
2015-11-15,1192
2015-11-16,1198
2015-11-17,1198
2015-11-18,1222
2015-11-19,1222
2015-11-20,1229
2015-11-21,1229
2015-11-22,1233
2015-11-23,1233
2015-11-24,1233
2015-11-25,1229
2015-11-26,1229
2015-11-27,1208
2015-11-28,1208
2015-11-29,1207
2015-11-30,1207
2015-12-01,1201
2015-12-02,1201
2015-12-03,1183
2015-12-04,1183
2015-12-05,1177
2015-12-06,1177
2015-12-07,1184
2015-12-08,1184
2015-12-09,1190
2015-12-10,1190
2015-12-11,1179
2015-12-12,1179
2015-12-13,1192
2015-12-14,1192
2015-12-15,1184
2015-12-16,1184
2015-12-17,1167
2015-12-18,1162
2015-12-19,1162
2015-12-20,1204
2015-12-21,1204
2015-12-22,1195
2015-12-23,1212
2015-12-24,1212
2015-12-25,1233
2015-12-26,1233
2015-12-27,1228
2015-12-28,1228
2015-12-29,1232
2015-12-30,1233
2015-12-31,1223
2016-01-01,1223
2016-01-02,1201
2016-01-03,1205
2016-01-04,1224
2016-01-05,1193
2016-01-06,1170
2016-01-07,1170
2016-01-08,1165
2016-01-09,1165
2016-01-10,1182
2016-01-11,1183
2016-01-12,1190
2016-01-13,1190
2016-01-14,1183
2016-01-15,1180
2016-01-16,1189
2016-01-17,1198
2016-01-18,1201
2016-01-19,1201
2016-01-20,1215
2016-01-21,1215
2016-01-22,1218
2016-01-23,1218
2016-01-24,1204
2016-01-25,1212
2016-01-26,1212
2016-01-27,1217
2016-01-28,1217
2016-01-29,1225
2016-01-30,1225
2016-01-31,1254
2016-02-01,1279
2016-02-02,1279
2016-02-03,1291
2016-02-04,1291
2016-02-05,1280
2016-02-06,1284
2016-02-07,1284
2016-02-08,1251
2016-02-09,1251
2016-02-10,1244
2016-02-11,1244
2016-02-12,1226
2016-02-13,1243
2016-02-14,1243
2016-02-15,1237
2016-02-16,1237
2016-02-17,1251
2016-02-18,1251
2016-02-19,1248
2016-02-20,1248
2016-02-21,1244
2016-02-22,1244
2016-02-23,1231
2016-02-24,1231
2016-02-25,1218
2016-02-26,1218
2016-02-27,1206
2016-02-28,1206
2016-02-29,1201
2016-03-01,1213
2016-03-02,1213
2016-03-03,1220
2016-03-04,1220
2016-03-05,1224
2016-03-06,1199
2016-03-07,1199
2016-03-08,1191
2016-03-09,1197
2016-03-10,1201
2016-03-11,1201
2016-03-12,1214
2016-03-13,1214
2016-03-14,1221
2016-03-15,1233
2016-03-16,1222
2016-03-17,1222
2016-03-18,1186
2016-03-19,1186
2016-03-20,1168
2016-03-21,1168
2016-03-22,1190
2016-03-23,1225
2016-03-24,1225
2016-03-25,1237
2016-03-26,1229
2016-03-27,1229
2016-03-28,1216
2016-03-29,1216
2016-03-30,1200
2016-03-31,1202
2016-04-01,1202
2016-04-02,1209
2016-04-03,1219
2016-04-04,1222
2016-04-05,1222
2016-04-06,1209
2016-04-07,1209
2016-04-08,1208
2016-04-09,1202
2016-04-10,1193
2016-04-11,1193
2016-04-12,1199
2016-04-13,1199
2016-04-14,1179
2016-04-15,1160
2016-04-16,1160
2016-04-17,1174
2016-04-18,1169
2016-04-19,1169
2016-04-20,1153
2016-04-21,1153
2016-04-22,1148
2016-04-23,1162
2016-04-24,1162
2016-04-25,1162
2016-04-26,1162
2016-04-27,1154
2016-04-28,1154
2016-04-29,1133
2016-04-30,1133
2016-05-01,1128
2016-05-02,1142
2016-05-03,1153
2016-05-04,1153
2016-05-05,1173
2016-05-06,1173
2016-05-07,1143
2016-05-08,1143
2016-05-09,1138
2016-05-10,1145
2016-05-11,1145
2016-05-12,1165
2016-05-13,1161
2016-05-14,1143
2016-05-15,1146
2016-05-16,1146
2016-05-17,1154
2016-05-18,1169
2016-05-19,1169
2016-05-22,1183
2016-05-23,1186
2016-05-24,1194
2016-05-25,1194
2016-05-26,1224
2016-05-27,1205
2016-05-28,1205
2016-05-29,1224
2016-05-30,1224
2016-05-31,1211
2016-06-01,1207
2016-06-02,1183
2016-06-03,1183
2016-06-04,1175
2016-06-05,1175
2016-06-06,1177
2016-06-07,1177
2016-06-08,1188
2016-06-09,1171
2016-06-10,1163
2016-06-11,1163
2016-06-12,1173
2016-06-13,1173
2016-06-14,1189
2016-06-15,1198
2016-06-16,1198
2016-06-17,1187
2016-06-18,1187
2016-06-19,1180
2016-06-20,1182
2016-06-21,1187
2016-06-22,1180
2016-06-23,1172
2016-06-24,1172
2016-06-25,1162
2016-06-26,1162
2016-06-27,1158
2016-06-28,1181
2016-06-29,1191
2016-06-30,1196
2016-07-01,1198
2016-07-02,1198
2016-07-03,1198
2016-07-04,1197
2016-07-05,1197
2016-07-06,1196
2016-07-07,1196
2016-07-08,1197
2016-07-09,1201
2016-07-10,1198
2016-07-11,1204
2016-07-12,1204
