date_obj,Bird%20nest price
2016-10-26,4320
2016-10-27,4493
2016-10-28,4288
2016-10-29,4073
2016-10-30,3940
2016-10-31,3898
2016-11-01,3898
2016-11-02,3998
2016-11-03,4147
2016-11-04,4304
2016-11-05,4304
2016-11-06,4346
2016-11-07,4329
2016-11-08,4249
2016-11-09,4278
2016-11-10,4133
2016-11-11,3966
2016-11-12,3780
2016-11-13,3605
2016-11-14,3601
2016-11-15,3499
2016-12-07,4025
2016-12-08,4141
2016-12-09,4230
2016-12-10,4241
2016-12-11,4263
2016-12-12,4228
2016-12-13,4331
2016-12-14,4416
2016-12-15,4397
2016-12-16,4343
2016-12-17,4159
2016-12-18,4193
2016-12-19,4184
2016-12-20,4287
2016-12-21,4342
2016-12-22,4400
2016-12-23,4374
2016-12-24,4485
2016-12-25,4618
2016-12-26,4723
2016-12-27,4658
2016-12-28,4480
2016-12-29,4498
2016-12-30,4448
2016-12-31,4483
2017-01-01,4399
2017-01-02,4370
2017-01-03,4453
2017-01-04,4661
2017-01-05,4534
2017-01-06,4705
2017-01-07,4933
2017-01-08,5172
2017-01-09,5232
2017-01-10,5140
2017-01-11,5112
2017-01-12,5289
2017-01-13,5531
2017-01-14,5400
2017-01-15,5139
2017-01-16,5060
2017-01-17,5130
2017-01-18,5379
2017-01-19,5566
2017-01-20,5702
2017-01-21,5537
2017-01-23,5570
2017-01-27,5033
2017-01-28,4827
2017-01-29,4919
2017-01-30,5022
2017-01-31,4996
2017-02-01,5182
2017-02-02,5364
2017-02-03,5113
2017-02-04,4900
2017-02-05,4678
2017-02-06,4825
2017-02-07,4964
2017-02-08,5189
2017-02-09,5436
2017-02-10,5495
2017-02-11,5376
2017-02-12,5410
2017-02-13,5378
2017-02-14,5589
2017-02-15,5855
2017-02-16,5892
2017-02-18,5751
2017-02-19,5537
2017-02-20,5601
2017-02-21,5563
2017-02-22,5477
2017-02-23,5446
2017-02-24,5394
2017-02-25,5439
2017-02-26,5385
2017-02-27,5412
2017-02-28,5484
2017-03-01,5493
2017-03-02,5542
2017-03-03,5553
2017-03-04,5544
2017-03-05,5552
2017-03-06,5487
2017-03-07,5543
2017-03-08,5632
2017-03-09,5664
2017-03-10,5877
2017-03-11,6088
2017-03-12,6326
2017-03-13,6478
2017-03-14,6403
2017-03-15,6112
2017-03-16,6089
2017-03-17,6257
2017-03-18,6392
2017-03-19,6478
2017-03-20,6189
2017-03-21,5887
2017-03-22,5799
2017-03-23,5860
