date_obj,Snakeskin%20vambraces price
2015-03-26,16491
2015-03-27,16491
2015-03-28,15666
2015-03-29,15666
2015-03-30,15666
2015-03-31,14882
2015-04-01,14882
2015-04-02,14882
2015-04-03,14137
2015-04-04,14137
2015-04-05,13436
2015-04-06,13436
2015-04-07,12781
2015-04-08,12781
2015-04-09,12781
2015-04-10,12141
2015-04-11,12141
2015-04-12,11565
2015-04-13,11565
2015-04-14,11565
2015-04-15,10986
2015-04-16,10986
2015-04-17,10986
2015-04-18,10436
2015-04-19,10436
2015-04-20,10436
2015-04-21,9921
2015-04-22,9921
2015-04-23,9921
2015-04-24,9431
2015-04-25,9431
2015-04-26,9431
2015-04-27,8959
2015-04-28,8959
2015-04-29,8959
2015-04-30,8511
2015-05-01,8511
2015-05-02,8511
2015-05-03,8094
2015-05-04,8094
2015-05-05,8094
2015-05-06,7689
2015-05-07,7689
2015-05-08,7689
2015-05-09,7317
2015-05-10,7317
2015-05-11,7317
2015-05-12,6957
2015-05-13,6957
2015-05-14,6957
2015-05-15,6615
2015-05-16,6615
2015-05-17,6293
2015-05-18,6293
2015-05-19,6293
2015-05-20,6008
2015-05-21,6008
2015-05-22,6008
2015-05-23,5714
2015-05-24,5714
2015-05-25,5439
2015-05-26,5439
2015-05-27,5439
2015-05-28,5167
2015-05-29,5167
2015-05-30,4908
2015-05-31,4908
2015-06-01,4663
2015-06-02,4663
2015-06-03,4449
2015-06-04,4449
2015-06-05,4242
2015-06-06,4242
2015-06-07,4031
2015-06-08,4031
2015-06-09,3852
2015-06-10,3852
2015-06-11,3679
2015-06-12,3679
2015-06-13,3512
2015-06-14,3512
2015-06-15,3350
2015-06-16,3350
2015-06-17,3185
2015-06-18,3029
2015-06-19,3029
2015-06-20,2879
2015-06-21,2879
2015-06-22,2745
2015-06-23,2745
2015-06-24,2610
2015-06-25,2610
2015-06-26,2483
2015-06-27,2483
2015-06-28,2361
2015-06-29,2361
2015-06-30,2254
2015-07-01,2254
2015-07-02,2143
2015-07-03,2038
2015-07-04,2038
2015-07-05,1938
2015-07-06,1938
2015-07-07,1847
2015-07-08,1758
2015-07-09,1758
2015-07-10,1675
2015-07-11,1675
2015-07-12,1594
2015-07-13,1518
2015-07-14,1518
2015-07-15,1447
2015-07-16,1447
2015-07-17,1378
2015-07-18,1378
2015-07-19,1312
2015-07-20,1312
2015-07-21,1253
2015-07-22,1193
2015-07-23,1193
2015-07-24,1136
2015-07-25,1136
2015-07-26,1085
2015-07-27,1085
2015-07-28,1032
2015-07-29,984
2015-07-30,984
2015-07-31,937
2015-08-01,937
2015-08-02,890
2015-08-03,890
2015-08-04,890
2015-08-05,845
2015-08-06,845
2015-08-07,803
2015-08-08,803
2015-08-09,762
2015-08-10,762
2015-08-11,723
2015-08-12,723
2015-08-13,723
2015-08-14,687
2015-08-15,687
2015-08-16,687
2015-08-17,657
2015-08-18,657
2015-08-19,657
2015-08-20,626
2015-08-21,626
2015-08-22,597
2015-08-23,597
2015-08-24,597
2015-08-25,570
2015-08-26,570
2015-08-27,570
2015-08-28,542
2015-08-29,542
2015-08-30,542
2015-08-31,514
2015-09-01,514
2015-09-02,514
2015-09-03,494
2015-09-04,494
2015-09-05,494
2015-09-06,474
2015-09-07,474
2015-09-08,474
2015-09-09,456
2015-09-10,456
2015-09-11,456
2015-09-12,438
2015-09-13,438
2015-09-14,438
2015-09-15,417
2015-09-16,417
2015-09-17,417
2015-09-18,417
2015-09-19,397
2015-09-20,397
2015-09-21,397
2015-09-22,397
2015-09-23,379
2015-09-24,379
2015-09-25,379
2015-09-27,367
2015-09-28,367
2015-09-29,367
2015-09-30,349
2015-10-05,346
2015-10-06,346
2015-10-07,329
2015-10-08,329
2015-10-09,329
2015-10-10,313
2015-10-11,313
2015-10-12,299
2015-10-13,299
2015-10-14,299
2015-10-15,290
2015-10-16,290
2015-10-17,290
2015-10-18,290
2015-10-19,278
2015-10-20,278
2015-10-22,278
2015-10-23,273
2015-10-24,273
2015-10-25,273
2015-10-26,260
2015-10-27,260
2015-10-29,260
2015-10-30,249
2015-10-31,249
2015-11-01,249
2015-11-02,240
2015-11-03,240
2015-11-04,240
2015-11-05,240
2015-11-06,229
2015-11-07,229
2015-11-08,229
2015-11-09,221
2015-11-10,221
2015-11-11,221
2015-11-12,221
2015-11-13,209
2015-11-14,209
2015-11-15,209
2015-11-16,200
2015-11-17,200
2015-11-18,200
2015-11-19,198
2015-11-20,198
2015-11-21,198
2015-11-22,196
2015-11-23,196
2015-11-24,196
2015-11-25,194
2015-11-26,194
2015-11-27,194
2015-11-28,194
2015-11-29,193
2015-11-30,193
2015-12-01,193
2015-12-02,192
2015-12-03,192
2015-12-04,192
2015-12-05,194
2015-12-06,194
2015-12-07,194
2015-12-08,193
2015-12-09,193
2015-12-10,193
2015-12-11,189
2015-12-12,189
2015-12-13,189
2015-12-14,189
2015-12-15,188
2015-12-16,188
2015-12-17,188
2015-12-18,184
2015-12-19,184
2015-12-20,184
2015-12-21,178
2015-12-22,178
2015-12-23,178
2015-12-24,178
2015-12-25,178
2015-12-26,178
2015-12-27,174
2015-12-28,174
2015-12-29,174
2015-12-30,169
2015-12-31,169
2016-01-01,169
2016-01-02,169
2016-01-03,171
2016-01-04,171
2016-01-05,171
2016-01-06,165
2016-01-07,165
2016-01-08,165
2016-01-09,161
2016-01-10,161
2016-01-11,161
2016-01-12,161
2016-01-13,161
2016-01-14,161
2016-01-15,152
2016-01-16,152
2016-01-17,152
2016-01-18,145
2016-01-19,145
2016-01-20,145
2016-01-21,143
2016-01-22,143
2016-01-23,143
2016-01-24,141
2016-01-25,141
2016-01-26,141
2016-01-27,140
2016-01-28,140
2016-01-29,140
2016-01-30,136
2016-01-31,136
2016-02-01,134
2016-02-02,134
2016-02-03,134
2016-02-04,130
2016-02-05,130
2016-02-06,130
2016-02-07,127
