date_obj,Black%20wizard%20hat%20(t) price
2015-03-26,159945
2015-03-27,159945
2015-03-28,157045
2015-03-29,155517
2015-03-30,151672
2015-03-31,147800
2015-04-01,145260
2015-04-02,143122
2015-04-03,139995
2015-04-04,138012
2015-04-05,137210
2015-04-06,134628
2015-04-07,132228
2015-04-08,132228
2015-04-09,130629
2015-04-10,130788
2015-04-11,131765
2015-04-12,132509
2015-04-13,131421
2015-04-14,131421
2015-04-15,131084
2015-04-16,129867
2015-04-17,130600
2015-04-18,130519
2015-04-19,130093
2015-04-20,130093
2015-04-21,129686
2015-04-22,129778
2015-04-23,130042
2015-04-24,131221
2015-04-25,134127
2015-04-26,135152
2015-04-27,139592
2015-04-28,142239
2015-04-29,142239
2015-04-30,145605
2015-05-01,146069
2015-05-02,143986
2015-05-03,143986
2015-05-04,142698
2015-05-05,140162
2015-05-06,137958
2015-05-07,137221
2015-05-08,135932
2015-05-09,134390
2015-05-10,133132
2015-05-11,133132
2015-05-12,130023
2015-05-13,128060
2015-05-14,126529
2015-05-15,124073
2015-05-16,121202
2015-05-17,119452
2015-05-18,116528
2015-05-19,115282
2015-05-20,115282
2015-05-21,114942
2015-05-22,114059
2015-05-23,116794
2015-05-24,119411
2015-05-25,119470
2015-05-26,120756
2015-05-27,121500
2015-05-28,120084
2015-05-29,121712
2015-05-30,123021
2015-05-31,123021
2015-06-01,122970
2015-06-02,122970
2015-06-03,125226
2015-06-04,128107
2015-06-05,133976
2015-06-06,138850
2015-06-07,143345
2015-06-08,143345
2015-06-09,146786
2015-06-10,151613
2015-06-11,151613
2015-06-12,154931
2015-06-13,160209
2015-06-14,163681
2015-06-15,163681
2015-06-16,166950
2015-06-17,171041
2015-06-18,175000
2015-06-19,175000
2015-06-20,175724
2015-06-21,175724
2015-06-22,175854
2015-06-23,175854
2015-06-24,176938
2015-06-25,176938
2015-06-26,177630
2015-06-27,177630
2015-06-28,181050
2015-06-29,181050
2015-06-30,181546
2015-07-01,185531
2015-07-02,185531
2015-07-03,186462
2015-07-04,186462
2015-07-05,183948
2015-07-06,183948
2015-07-07,180625
2015-07-08,182852
2015-07-09,182852
2015-07-10,184371
2015-07-11,187736
2015-07-12,187736
2015-07-13,190276
2015-07-14,188274
2015-07-15,191476
2015-07-16,191476
2015-07-17,196149
2015-07-18,196149
2015-07-19,195118
2015-07-20,190865
2015-07-21,191829
2015-07-22,192127
2015-07-23,192127
2015-07-24,193626
2015-07-25,193626
2015-07-26,193942
2015-07-27,191576
2015-07-28,190142
2015-07-29,190269
2015-07-30,190269
2015-07-31,189305
2015-08-01,187103
2015-08-02,186332
2015-08-03,184899
2015-08-04,184899
2015-08-05,178806
2015-08-06,175653
2015-08-07,171848
2015-08-08,168885
2015-08-09,166919
2015-08-10,165840
2015-08-11,168577
2015-08-12,168577
2015-08-13,170715
2015-08-14,173549
2015-08-15,173549
2015-08-16,177968
2015-08-17,181189
2015-08-18,181189
2015-08-19,182830
2015-08-20,182830
2015-08-21,184795
2015-08-22,187726
2015-08-23,187726
2015-08-24,187880
2015-08-25,187880
2015-08-26,183391
2015-08-27,180847
2015-08-28,182362
2015-08-29,181355
2015-08-30,181355
2015-08-31,178540
2015-09-01,174938
2015-09-02,174938
2015-09-03,176199
2015-09-04,178009
2015-09-05,178009
2015-09-06,181278
2015-09-07,179044
2015-09-08,177103
2015-09-09,175516
2015-09-10,171598
2015-09-11,169756
2015-09-12,171102
2015-09-13,172390
2015-09-14,176204
2015-09-15,178569
2015-09-16,178569
2015-09-17,181498
2015-09-18,183889
2015-09-19,185488
2015-09-20,188110
2015-09-21,188319
2015-09-22,189743
2015-09-23,190044
2015-09-24,190044
2015-09-25,191391
2015-09-27,197347
2015-09-28,194757
2015-09-29,194757
2015-09-30,196736
2015-10-05,195633
2015-10-06,199051
2015-10-07,199051
2015-10-08,199503
2015-10-09,200792
2015-10-10,200792
2015-10-11,204041
2015-10-12,204682
2015-10-13,203167
2015-10-14,203167
2015-10-15,200315
2015-10-16,198813
