date_obj,Ballista%20limbs price
2016-05-05,5000000
2016-05-06,5000000
2016-05-07,4778235
2016-05-08,4539323
2016-05-09,4312356
2016-05-10,4096738
2016-05-11,4096738
2016-05-12,3891901
2016-05-13,3697305
2016-05-14,3515361
2016-05-15,3341950
2016-05-16,3341950
2016-05-17,3174852
2016-05-18,250000
2016-05-19,250000
2016-05-22,237500
2016-05-23,225625
2016-05-24,225625
2016-05-25,214495
2016-05-26,214495
2016-05-27,203912
2016-05-28,203912
2016-05-29,203912
2016-05-30,203912
2016-05-31,193996
2016-06-01,193996
2016-06-02,193996
2016-06-03,184647
2016-06-04,184647
2016-06-05,184647
2016-06-06,175600
2016-06-07,175600
2016-06-08,175600
2016-06-09,175600
2016-06-10,167068
2016-06-11,167068
2016-06-12,167068
2016-06-13,158910
2016-06-14,158910
2016-06-15,158910
2016-06-16,158910
2016-06-17,150964
2016-06-18,150964
2016-06-19,150964
2016-06-20,150964
2016-06-21,143538
2016-06-22,143538
2016-06-23,143538
2016-06-24,143538
2016-06-25,136521
2016-06-26,136521
2016-06-27,136521
2016-06-28,136521
2016-06-29,136521
2016-06-30,130009
2016-07-01,130009
2016-07-02,130009
2016-07-03,130009
2016-07-04,123663
2016-07-05,123663
2016-07-06,123663
2016-07-07,123663
2016-07-08,123663
2016-07-09,117641
2016-07-10,117641
2016-07-11,117641
2016-07-12,117641
2016-07-13,117641
2016-07-14,111857
2016-07-15,111857
2016-07-16,111857
2016-07-17,111857
2016-07-18,111857
2016-07-23,106433
2016-07-24,106433
2016-07-25,101244
2016-07-26,101244
2016-07-27,101244
2016-07-28,101244
2016-07-29,101244
2016-07-30,96477
2016-07-31,96477
2016-08-01,96477
2016-08-02,96477
2016-08-03,96477
2016-08-04,96477
2016-08-05,91738
2016-08-06,91738
2016-08-07,91738
2016-08-08,91738
2016-08-09,87290
2016-08-10,87290
2016-08-11,87290
2016-08-12,87290
2016-08-13,87290
2016-08-14,82992
2016-08-15,82992
2016-08-16,82992
2016-08-17,82992
2016-08-18,82992
2016-08-19,78971
2016-08-20,78971
2016-08-21,78971
2016-08-22,78971
2016-08-23,75139
2016-08-24,75139
2016-08-25,75139
2016-08-26,75139
2016-08-28,71502
2016-08-31,71502
2016-09-01,67926
2016-09-02,67926
2016-09-03,67926
2016-09-04,67926
2016-09-05,64544
2016-09-06,64544
2016-09-07,64544
2016-09-08,64544
2016-09-09,64544
2016-09-10,61316
2016-09-11,61316
2016-09-12,61316
2016-09-13,61316
2016-09-14,61316
2016-09-15,58250
2016-09-16,58250
2016-09-17,58250
2016-09-18,58250
2016-09-19,58250
2016-09-20,55373
2016-09-21,55373
2016-09-22,55373
2016-09-23,55373
2016-09-24,55373
2016-09-25,52739
2016-09-26,52739
