date_obj,Celastrus%20sapling price
2019-01-10,35300
2019-01-10,37065
2019-01-11,38919
2019-01-12,40865
2019-01-13,42909
2019-01-14,45055
2019-01-15,47308
2019-01-16,49674
2019-01-17,52158
2019-01-18,54766
2019-01-19,57505
2019-01-20,60381
2019-01-21,63401
2019-01-22,66572
2019-01-23,69901
2019-01-24,73397
2019-01-25,77067
2019-01-26,80921
2019-01-27,84272
2019-01-28,84272
2019-01-29,82791
2019-01-30,78784
2019-01-31,74844
2019-02-01,71407
2019-02-02,67836
2019-02-03,66072
2019-02-04,67157
2019-02-05,65460
2019-02-06,63856
2019-02-07,63132
2019-02-08,65956
2019-02-09,69095
2019-02-10,72324
2019-02-11,73080
2019-02-12,73331
2019-02-13,75686
2019-02-14,76237
2019-02-15,76935
2019-02-16,78395
2019-02-17,77956
2019-02-18,77152
2019-02-19,76923
2019-02-20,75208
2019-02-21,75180
2019-02-22,72603
2019-02-23,71656
2019-02-24,73650
2019-02-25,71299
2019-02-26,70370
2019-02-27,70466
2019-02-28,71776
2019-03-01,70943
2019-03-02,69463
2019-03-03,68859
2019-03-04,69967
2019-03-05,70636
2019-03-06,70774
2019-03-07,71643
2019-03-08,71643
2019-03-09,74234
2019-03-10,76102
2019-03-11,74916
2019-03-12,76084
2019-03-13,76084
2019-03-14,76817
2019-03-15,77482
2019-03-16,78858
2019-03-17,79189
2019-03-18,79189
2019-03-19,78911
2019-03-20,80786
2019-03-21,82001
2019-03-22,82464
2019-03-23,84577
2019-03-24,83727
2019-03-25,83397
2019-03-26,81989
2019-03-27,81989
2019-03-28,80917
2019-03-29,80381
2019-03-30,80381
2019-03-31,81477
2019-04-01,85303
2019-04-02,89425
2019-04-03,93477
2019-04-04,97116
2019-04-05,96382
2019-04-06,96382
2019-04-07,95925
2019-04-08,95462
2019-04-09,94222
2019-04-10,95288
2019-04-11,94954
2019-04-12,93749
2019-04-13,92469
2019-04-14,90143
2019-04-15,89046
2019-04-16,88119
2019-04-17,88071
2019-04-18,86911
2019-04-19,86292
2019-04-20,84024
2019-04-21,82833
2019-04-22,82721
2019-04-23,82911
2019-04-24,82490
2019-04-25,82227
2019-04-26,82096
2019-04-27,82405
