date_obj,Pink%20elegant%20skirt price
2015-03-26,54742
2015-03-27,54742
2015-03-28,52303
2015-03-29,52303
2015-03-30,49687
2015-03-31,49687
2015-04-01,49687
2015-04-02,47268
2015-04-03,47268
2015-04-04,45052
2015-04-05,45052
2015-04-06,43005
2015-04-07,43005
2015-04-08,41095
2015-04-09,41095
2015-04-10,39143
2015-04-11,39143
2015-04-12,37301
2015-04-13,37301
2015-04-14,35570
2015-04-15,35570
2015-04-16,33791
2015-04-17,33791
2015-04-18,32149
2015-04-19,32149
2015-04-20,32149
2015-04-21,30541
2015-04-22,30541
2015-04-23,30541
2015-04-24,29114
2015-04-25,29114
2015-04-26,29114
2015-04-27,27685
2015-04-28,27685
2015-04-29,27685
2015-04-30,26300
2015-05-01,26300
2015-05-02,25064
2015-05-03,25064
2015-05-04,25064
2015-05-05,23886
2015-05-06,23886
2015-05-07,22760
2015-05-08,22760
2015-05-09,21726
2015-05-10,21726
2015-05-11,21726
2015-05-12,20639
2015-05-13,20639
2015-05-14,20639
2015-05-15,19607
2015-05-16,19607
2015-05-17,18680
2015-05-18,18680
2015-05-19,18680
2015-05-20,17804
2015-05-21,17804
2015-05-22,17804
2015-05-23,16984
2015-05-24,16984
2015-05-25,16202
2015-05-26,16202
2015-05-27,16202
2015-05-28,15391
2015-05-29,15391
2015-05-30,14663
2015-05-31,14663
2015-06-01,14663
2015-06-02,14663
2015-06-03,13947
2015-06-04,13947
2015-06-05,13947
2015-06-06,13637
2015-06-07,13637
2015-06-08,13637
2015-06-09,13637
2015-06-10,13251
2015-06-11,13251
2015-06-12,13251
2015-06-13,13251
2015-06-14,13117
2015-06-15,13117
2015-06-16,13117
2015-06-17,13117
2015-06-18,12753
2015-06-19,12753
2015-06-20,12753
2015-06-21,12753
2015-06-22,12197
2015-06-23,12197
2015-06-24,12197
2015-06-25,11625
2015-06-26,11625
2015-06-27,11070
2015-06-28,11070
2015-06-29,10542
2015-06-30,10542
2015-07-01,10542
2015-07-02,10059
2015-07-03,10059
2015-07-04,10059
2015-07-05,9682
2015-07-06,9682
2015-07-07,9682
2015-07-08,9324
2015-07-09,9324
2015-07-10,9324
2015-07-11,9156
2015-07-12,9156
2015-07-13,9156
2015-07-14,8977
2015-07-15,8977
2015-07-16,8977
2015-07-17,8625
2015-07-18,8625
2015-07-19,8625
2015-07-20,8625
2015-07-21,8263
2015-07-22,8263
2015-07-23,8263
2015-07-24,7868
2015-07-25,7868
2015-07-26,7868
2015-07-27,7512
2015-07-28,7512
2015-07-29,7193
2015-07-30,7193
2015-07-31,7193
2015-08-01,6912
2015-08-02,6912
2015-08-03,6912
2015-08-04,6631
2015-08-05,6631
2015-08-06,6631
2015-08-07,6299
2015-08-08,6299
2015-08-09,6178
2015-08-10,6178
2015-08-11,5896
2015-08-12,5896
2015-08-13,5896
2015-08-14,5601
2015-08-15,5601
2015-08-16,5601
2015-08-17,5396
2015-08-18,5396
2015-08-19,5396
2015-08-20,5396
2015-08-21,5304
2015-08-22,5304
2015-08-23,5304
2015-08-24,5248
2015-08-25,5248
2015-08-26,5248
2015-08-27,5119
2015-08-28,5119
2015-08-29,5119
2015-08-30,4969
2015-08-31,4969
2015-09-01,4969
2015-09-02,4898
2015-09-03,4898
2015-09-04,4898
2015-09-05,4898
2015-09-06,5060
2015-09-07,5060
2015-09-08,5060
2015-09-09,5184
2015-09-10,5184
2015-09-11,5184
2015-09-12,5056
2015-09-13,5056
2015-09-14,5056
2015-09-15,4937
2015-09-16,4937
2015-09-17,4937
2015-09-18,4937
2015-09-19,4878
2015-09-20,4878
2015-09-21,4878
2015-09-22,4878
2015-09-23,4973
2015-09-24,4973
2015-09-25,4973
2015-09-27,5059
2015-09-28,5059
2015-09-29,5059
2015-09-30,5004
2015-10-05,4858
2015-10-06,4858
2015-10-07,4858
2015-10-08,4786
2015-10-09,4786
2015-10-10,4786
2015-10-11,4786
2015-10-12,4776
2015-10-13,4776
2015-10-14,4776
2015-10-15,4999
2015-10-16,4999
2015-10-17,4999
2015-10-18,5227
2015-10-19,5227
2015-10-20,5227
2015-10-22,5480
2015-10-23,5480
2015-10-24,5480
2015-10-25,5674
2015-10-26,5674
2015-10-27,5674
2015-10-29,5674
2015-10-30,5891
2015-10-31,5891
2015-11-01,5891
2015-11-02,5891
2015-11-03,6016
2015-11-04,6016
2015-11-05,6016
2015-11-06,6016
2015-11-07,6016
2015-11-08,5911
2015-11-09,5911
2015-11-10,5911
2015-11-11,5911
2015-11-12,5911
2015-11-13,5911
2015-11-14,6158
2015-11-15,6158
2015-11-16,6158
2015-11-17,6158
2015-11-18,6158
2015-11-19,6077
2015-11-20,6077
2015-11-21,6077
2015-11-22,6077
2015-11-23,6021
2015-11-24,6021
2015-11-25,6021
2015-11-26,6021
2015-11-27,5820
2015-11-28,5820
2015-11-29,5820
2015-11-30,5820
2015-12-01,5924
2015-12-02,5924
2015-12-03,5924
2015-12-04,5697
2015-12-05,5697
2015-12-06,5697
2015-12-07,5431
2015-12-08,5431
2015-12-09,5184
2015-12-10,5184
2015-12-11,5184
2015-12-12,4942
2015-12-13,4942
2015-12-14,4942
2015-12-15,4763
2015-12-16,4763
2015-12-17,4763
2015-12-18,4763
2015-12-19,4673
2015-12-20,4673
2015-12-21,4673
2015-12-22,4647
2015-12-23,4647
2015-12-24,4647
2015-12-25,4647
2015-12-26,4555
2015-12-27,4555
2015-12-28,4555
2015-12-29,4343
2015-12-30,4343
2015-12-31,4343
2016-01-01,4343
2016-01-02,4349
2016-01-03,4349
2016-01-04,4349
2016-01-05,4457
2016-01-06,4457
2016-01-07,4457
2016-01-08,4564
2016-01-09,4564
2016-01-10,4564
2016-01-11,4564
2016-01-12,4541
2016-01-13,4541
2016-01-14,4541
2016-01-15,4541
2016-01-16,4541
2016-01-17,4541
2016-01-18,4548
2016-01-19,4548
2016-01-20,4548
2016-01-21,4548
2016-01-22,4487
2016-01-23,4487
