date_obj,Saradomin%20godsword%20ornament%20kit price
2016-07-06,50000000
2016-07-07,50000000
2016-07-08,49144681
2016-07-09,49144681
2016-07-10,49144681
2016-07-11,49144681
2016-07-12,49144681
2016-07-13,49144681
2016-07-14,46687446
2016-07-15,46687446
2016-07-16,46687446
2016-07-17,46687446
2016-07-18,46687446
2016-07-23,46687446
2016-07-24,44353073
2016-07-25,44353073
2016-07-26,44353073
2016-07-27,44353073
2016-07-28,44353073
2016-07-29,44353073
2016-07-30,44353073
2016-07-31,44353073
2016-08-01,42135419
2016-08-02,42135419
2016-08-03,42135419
2016-08-04,42135419
2016-08-05,42135419
2016-08-06,42135419
2016-08-07,42135419
2016-08-08,42135419
2016-08-09,40028648
2016-08-10,40028648
2016-08-11,40028648
2016-08-12,40028648
2016-08-13,40028648
2016-08-14,40028648
2016-08-15,40028648
2016-08-16,38044222
2016-08-17,38044222
2016-08-18,38044222
2016-08-19,38044222
2016-08-20,38044222
2016-08-21,38044222
2016-08-22,38044222
2016-08-23,36142010
2016-08-24,36142010
2016-08-25,36142010
2016-08-26,36142010
2016-08-28,34334909
2016-08-31,34334909
2016-09-01,34334909
2016-09-02,32618163
2016-09-03,32618163
2016-09-04,32618163
2016-09-05,32618163
2016-09-06,32618163
2016-09-07,32618163
2016-09-08,32618163
2016-09-09,32618163
2016-09-10,30987254
2016-09-11,30987254
2016-09-12,30987254
2016-09-13,30987254
2016-09-14,30987254
2016-09-15,30987254
2016-09-16,30987254
2016-09-17,30987254
2016-09-18,30987254
2016-09-19,30987254
2016-09-20,30987254
2016-09-21,29437891
2016-09-22,29437891
2016-09-23,29437891
2016-09-24,29437891
2016-09-25,29437891
2016-09-26,29437891
2016-09-27,29437891
2016-09-28,29437891
2016-09-29,29437891
2016-09-30,27965996
2016-10-01,27965996
2016-10-02,27965996
2016-10-03,27965996
2016-10-04,27965996
2016-10-05,27965996
2016-10-06,27965996
2016-10-07,27965996
2016-10-08,27965996
2016-10-09,26567696
2016-10-10,26567696
2016-10-11,26567696
2016-10-12,26567696
2016-10-13,26567696
2016-10-14,26567696
2016-10-15,26567696
2016-10-16,26567696
2016-10-17,26567696
2016-10-18,26567696
2016-10-19,25239311
2016-10-20,25239311
2016-10-21,25239311
2016-10-22,25239311
2016-10-23,25239311
2016-10-24,25239311
2016-10-25,25239311
2016-10-26,25239311
2016-10-27,25239311
