date_obj,Armadyl%20godsword%20ornament%20kit price
2016-07-06,51532170
2016-07-07,51532170
2016-07-08,51532170
2016-07-09,50256804
2016-07-10,50256804
2016-07-11,50256804
2016-07-12,50256804
2016-07-13,47743963
2016-07-14,47743963
2016-07-15,47743963
2016-07-16,47743963
2016-07-17,47743963
2016-07-18,45356764
2016-07-23,43097857
2016-07-24,43097857
2016-07-25,43097857
2016-07-26,43097857
2016-07-27,40942964
2016-07-28,40942964
2016-07-29,40942964
2016-07-30,38895815
2016-07-31,38895815
2016-08-01,38895815
2016-08-02,38895815
2016-08-03,38895815
2016-08-04,36967935
2016-08-05,36967935
2016-08-06,36967935
2016-08-07,36967935
2016-08-08,35165366
2016-08-09,35165366
2016-08-10,35165366
2016-08-11,35165366
2016-08-12,33474347
2016-08-13,33474347
2016-08-14,33474347
2016-08-15,33474347
2016-08-16,33474347
2016-08-17,33474347
2016-08-18,31800629
2016-08-19,31800629
2016-08-20,31800629
2016-08-21,31800629
2016-08-22,31800629
2016-08-23,30210597
2016-08-24,30210597
2016-08-25,30210597
2016-08-26,30210597
2016-08-28,28720581
2016-08-31,28720581
2016-09-01,27284551
2016-09-02,27284551
2016-09-03,27284551
2016-09-04,27284551
2016-09-05,25920323
2016-09-06,25920323
2016-09-07,25920323
2016-09-08,25920323
2016-09-09,25920323
2016-09-10,24633369
2016-09-11,24633369
2016-09-12,24633369
2016-09-13,24633369
2016-09-14,24633369
2016-09-15,24633369
2016-09-16,23420435
2016-09-17,23420435
2016-09-18,23420435
2016-09-19,23420435
2016-09-20,23420435
2016-09-21,22249413
2016-09-22,22249413
2016-09-23,22249413
2016-09-24,22249413
2016-09-25,21136942
2016-09-26,21136942
2016-09-27,21136942
2016-09-28,21136942
2016-09-29,21136942
2016-09-30,20087537
2016-10-01,20087537
2016-10-02,20087537
2016-10-03,20087537
2016-10-04,20087537
2016-10-05,19090737
2016-10-06,19090737
2016-10-07,19090737
2016-10-08,19090737
2016-10-09,19090737
2016-10-10,19090737
2016-10-11,18136200
2016-10-12,18136200
2016-10-13,18136200
2016-10-14,18136200
2016-10-15,18136200
2016-10-16,18136200
2016-10-17,17229390
2016-10-18,17229390
2016-10-19,17229390
2016-10-20,17229390
2016-10-21,17229390
2016-10-22,16374703
2016-10-23,16374703
2016-10-24,16374703
2016-10-25,16374703
2016-10-26,15555967
2016-10-27,15555967
