date_obj,Mithril%20seeds price
2015-03-26,119
2015-03-27,119
2015-03-28,114
2015-03-29,109
2015-03-30,104
2015-03-31,99
2015-04-01,99
2015-04-02,95
2015-04-03,91
2015-04-04,88
2015-04-05,88
2015-04-06,84
2015-04-07,84
2015-04-08,81
2015-04-09,81
2015-04-10,76
2015-04-11,76
2015-04-12,73
2015-04-13,73
2015-04-14,70
2015-04-15,70
2015-04-16,66
2015-04-17,66
2015-04-18,63
2015-04-19,63
2015-04-20,59
2015-04-21,59
2015-04-22,59
2015-04-23,62
2015-04-24,62
2015-04-25,62
2015-04-26,62
2015-04-27,59
2015-04-28,59
2015-04-29,57
2015-04-30,57
2015-05-01,54
2015-05-02,54
2015-05-03,52
2015-05-04,52
2015-05-05,53
2015-05-06,53
2015-05-07,53
2015-05-08,53
2015-05-09,55
2015-05-10,55
2015-05-11,55
2015-05-12,55
2015-05-13,55
2015-05-14,55
2015-05-15,55
2015-05-16,55
2015-05-17,57
2015-05-18,57
2015-05-19,60
2015-05-20,60
2015-05-21,60
2015-05-22,62
2015-05-23,62
2015-05-24,63
2015-05-25,63
2015-05-26,59
2015-05-27,59
2015-05-28,58
2015-05-29,58
2015-05-30,56
2015-05-31,56
2015-06-01,59
2015-06-02,59
2015-06-03,62
2015-06-04,62
2015-06-05,65
2015-06-06,65
2015-06-07,66
2015-06-08,66
2015-06-09,67
2015-06-10,67
2015-06-11,71
2015-06-12,71
2015-06-13,74
2015-06-14,74
2015-06-15,75
2015-06-16,75
2015-06-17,78
2015-06-18,78
2015-06-19,81
2015-06-20,81
2015-06-21,84
2015-06-22,84
2015-06-23,87
2015-06-24,87
2015-06-25,87
2015-06-26,87
2015-06-27,87
2015-06-28,87
2015-06-29,89
2015-06-30,89
2015-07-01,92
2015-07-02,92
2015-07-03,90
2015-07-04,90
2015-07-05,92
2015-07-06,92
2015-07-07,94
2015-07-08,94
2015-07-09,98
2015-07-10,98
2015-07-11,98
2015-07-12,98
2015-07-13,99
2015-07-14,99
2015-07-15,100
2015-07-16,100
2015-07-17,100
2015-07-18,100
2015-07-19,101
2015-07-20,101
2015-07-21,101
2015-07-22,101
2015-07-23,97
2015-07-24,97
2015-07-25,95
2015-07-26,95
2015-07-27,96
2015-07-28,96
2015-07-29,98
2015-07-30,98
2015-07-31,98
2015-08-01,99
2015-08-02,99
2015-08-03,99
2015-08-04,99
2015-08-05,103
2015-08-06,103
2015-08-07,101
2015-08-08,101
2015-08-09,103
2015-08-10,103
2015-08-11,104
2015-08-12,104
2015-08-13,104
2015-08-14,109
2015-08-15,109
2015-08-16,109
2015-08-17,111
2015-08-18,111
2015-08-19,111
2015-08-20,109
2015-08-21,109
2015-08-22,109
2015-08-23,108
2015-08-24,108
2015-08-25,108
2015-08-26,108
2015-08-27,107
2015-08-28,107
2015-08-29,107
2015-08-30,106
2015-08-31,106
2015-09-01,106
2015-09-02,103
2015-09-03,103
2015-09-04,103
2015-09-05,103
2015-09-06,103
2015-09-07,103
2015-09-08,102
2015-09-09,102
2015-09-10,102
2015-09-11,97
2015-09-12,97
2015-09-13,97
2015-09-14,95
2015-09-15,95
2015-09-16,95
2015-09-17,93
2015-09-18,93
2015-09-19,93
2015-09-20,92
2015-09-21,92
2015-09-22,92
2015-09-23,92
2015-09-24,92
2015-09-25,92
2015-09-27,94
2015-09-28,94
2015-09-29,94
2015-09-30,99
2015-10-05,102
2015-10-06,102
2015-10-07,102
2015-10-08,107
2015-10-09,107
2015-10-10,107
2015-10-11,113
2015-10-12,113
2015-10-13,113
2015-10-14,113
2015-10-15,119
2015-10-16,119
2015-10-17,119
2015-10-18,119
2015-10-19,119
2015-10-20,119
2015-10-22,119
2015-10-23,117
2015-10-24,117
2015-10-25,117
2015-10-26,115
2015-10-27,115
2015-10-29,115
2015-10-30,111
2015-10-31,111
2015-11-01,111
2015-11-02,109
2015-11-03,109
2015-11-04,109
2015-11-05,109
2015-11-06,106
2015-11-07,106
2015-11-08,106
2015-11-09,106
2015-11-10,106
2015-11-11,106
2015-11-12,106
2015-11-13,103
2015-11-14,103
2015-11-15,103
2015-11-16,103
2015-11-17,101
2015-11-18,101
2015-11-19,101
2015-11-20,100
2015-11-21,100
2015-11-22,100
2015-11-23,100
2015-11-24,99
2015-11-25,99
2015-11-26,99
2015-11-27,99
2015-11-28,99
2015-11-29,99
2015-11-30,101
2015-12-01,101
2015-12-02,101
2015-12-03,101
2015-12-04,106
2015-12-05,106
2015-12-06,106
2015-12-07,107
2015-12-08,107
2015-12-09,107
2015-12-10,106
2015-12-11,106
2015-12-12,106
2015-12-13,105
2015-12-14,105
2015-12-15,105
2015-12-16,106
2015-12-17,106
2015-12-18,106
2015-12-19,109
2015-12-20,109
2015-12-21,109
2015-12-22,107
2015-12-23,107
2015-12-24,107
2015-12-25,110
2015-12-26,110
2015-12-27,110
2015-12-28,116
2015-12-29,116
2015-12-30,122
2015-12-31,122
2016-01-01,122
2016-01-02,128
2016-01-03,128
2016-01-04,135
2016-01-05,135
2016-01-06,135
2016-01-07,142
