date_obj,Elemental%20talisman price
2015-03-26,14176
2015-03-27,14176
2015-03-28,13467
2015-03-29,12810
2015-03-30,12202
2015-03-31,11599
2015-04-01,11042
2015-04-02,10492
2015-04-03,10005
2015-04-04,9543
2015-04-05,9094
2015-04-06,8664
2015-04-07,8256
2015-04-08,8256
2015-04-09,7843
2015-04-10,7466
2015-04-11,7125
2015-04-12,6778
2015-04-13,6455
2015-04-14,6455
2015-04-15,6132
2015-04-16,6132
2015-04-17,5825
2015-04-18,5544
2015-04-19,5282
2015-04-20,5282
2015-04-21,5025
2015-04-22,5025
2015-04-23,4773
2015-04-24,4773
2015-04-25,4534
2015-04-26,4534
2015-04-27,4313
2015-04-28,4313
2015-04-29,4225
2015-04-30,4225
2015-05-01,4098
2015-05-02,4098
2015-05-03,3893
2015-05-04,3893
2015-05-05,3698
2015-05-06,3698
2015-05-07,3513
2015-05-08,3513
2015-05-09,3337
2015-05-10,3337
2015-05-11,3170
2015-05-12,3041
2015-05-13,3041
2015-05-14,2888
2015-05-15,2888
2015-05-16,2751
2015-05-17,2618
2015-05-18,2618
2015-05-19,2487
2015-05-20,2487
2015-05-21,2487
2015-05-22,2467
2015-05-23,2467
2015-05-24,2344
2015-05-25,2344
2015-05-26,2265
2015-05-27,2265
2015-05-28,2237
2015-05-29,2237
2015-05-30,2167
2015-05-31,2167
2015-06-01,2076
2015-06-02,2076
2015-06-03,2076
2015-06-04,2016
2015-06-05,2016
2015-06-06,1963
2015-06-07,1963
2015-06-08,1873
2015-06-09,1873
2015-06-10,1832
2015-06-11,1832
2015-06-12,1832
2015-06-13,1817
2015-06-14,1817
2015-06-15,1817
2015-06-16,1908
2015-06-17,1908
2015-06-18,2002
2015-06-19,2002
2015-06-20,2094
2015-06-21,2094
2015-06-22,2186
2015-06-23,2186
2015-06-24,2233
2015-06-25,2233
2015-06-26,2345
2015-06-27,2345
2015-06-28,2345
2015-06-29,2351
2015-06-30,2351
2015-07-01,2422
2015-07-02,2422
2015-07-03,2505
2015-07-04,2505
2015-07-05,2628
2015-07-06,2628
2015-07-07,2700
2015-07-08,2700
2015-07-09,2807
2015-07-10,2807
2015-07-11,2714
2015-07-12,2714
2015-07-13,2591
2015-07-14,2591
2015-07-15,2461
2015-07-16,2461
2015-07-17,2409
2015-07-18,2409
2015-07-19,2409
2015-07-20,2341
2015-07-21,2341
2015-07-22,2223
2015-07-23,2223
2015-07-24,2117
2015-07-25,2117
2015-07-26,2017
2015-07-27,2017
2015-07-28,1949
2015-07-29,1949
2015-07-30,1861
2015-07-31,1861
2015-08-01,1842
2015-08-02,1842
2015-08-03,1801
2015-08-04,1801
2015-08-05,1767
2015-08-06,1767
2015-08-07,1767
2015-08-08,1729
2015-08-09,1729
2015-08-10,1652
2015-08-11,1652
2015-08-12,1652
2015-08-13,1602
2015-08-14,1602
2015-08-15,1574
2015-08-16,1574
2015-08-17,1602
2015-08-18,1602
2015-08-19,1671
2015-08-20,1671
2015-08-21,1753
2015-08-22,1753
2015-08-23,1753
2015-08-24,1700
2015-08-25,1700
2015-08-26,1700
2015-08-27,1668
2015-08-28,1668
2015-08-29,1668
2015-08-30,1640
2015-08-31,1640
2015-09-01,1666
2015-09-02,1666
2015-09-03,1666
2015-09-04,1659
2015-09-05,1659
2015-09-06,1659
2015-09-07,1665
2015-09-08,1665
2015-09-09,1622
2015-09-10,1622
2015-09-11,1622
2015-09-12,1614
2015-09-13,1614
2015-09-14,1633
2015-09-15,1633
2015-09-16,1633
2015-09-17,1715
2015-09-18,1715
2015-09-19,1800
2015-09-20,1800
2015-09-21,1800
2015-09-22,1868
2015-09-23,1868
2015-09-24,1868
2015-09-25,1960
2015-09-27,2038
2015-09-28,2038
2015-09-29,2079
2015-09-30,2079
2015-10-05,2064
2015-10-06,2064
2015-10-07,2118
2015-10-08,2118
2015-10-09,2134
2015-10-10,2134
2015-10-11,2064
2015-10-12,2064
2015-10-13,2064
2015-10-14,2121
2015-10-15,2121
2015-10-16,2162
2015-10-17,2162
2015-10-18,2162
2015-10-19,2133
2015-10-20,2133
2015-10-22,2119
2015-10-23,2119
2015-10-24,2099
2015-10-25,2099
2015-10-26,2107
2015-10-27,2107
2015-10-29,2102
2015-10-30,2102
2015-10-31,2102
2015-11-01,2083
2015-11-02,2083
2015-11-03,2083
2015-11-04,2060
2015-11-05,2060
2015-11-06,2060
2015-11-07,2027
2015-11-08,2027
2015-11-09,2027
2015-11-10,2040
2015-11-11,2040
2015-11-12,2040
2015-11-13,2042
2015-11-14,2042
2015-11-15,2042
2015-11-16,2033
2015-11-17,2033
2015-11-18,2033
2015-11-19,2007
2015-11-20,2007
2015-11-21,2007
2015-11-22,1990
2015-11-23,1990
2015-11-24,1990
2015-11-25,2034
2015-11-26,2034
2015-11-27,2034
2015-11-28,2009
2015-11-29,2009
2015-11-30,2012
2015-12-01,2012
2015-12-02,2012
2015-12-03,2016
2015-12-04,2016
