date_obj,Strength%20amulet%20(t) price
2015-03-26,121162
2015-03-27,121162
2015-03-28,116920
2015-03-29,112239
2015-03-30,107381
2015-03-31,102767
2015-04-01,102767
2015-04-02,98187
2015-04-03,93806
2015-04-04,89446
2015-04-05,89446
2015-04-06,84973
2015-04-07,81212
2015-04-08,81212
2015-04-09,78168
2015-04-10,74608
2015-04-11,71143
2015-04-12,71143
2015-04-13,67614
2015-04-14,67614
2015-04-15,64845
2015-04-16,62180
2015-04-17,59963
2015-04-18,57913
2015-04-19,55875
2015-04-20,55875
2015-04-21,53650
2015-04-22,53650
2015-04-23,51596
2015-04-24,51596
2015-04-25,49556
2015-04-26,49556
2015-04-27,48293
2015-04-28,47101
2015-04-29,47101
2015-04-30,45869
2015-05-01,44537
2015-05-02,43238
2015-05-03,43238
2015-05-04,41736
2015-05-05,41736
2015-05-06,40563
2015-05-07,39334
2015-05-08,39334
2015-05-09,38104
2015-05-10,37694
2015-05-11,37694
2015-05-12,37526
2015-05-13,37526
2015-05-14,37816
2015-05-15,37816
2015-05-16,38161
2015-05-17,38721
2015-05-18,39254
2015-05-19,39254
2015-05-20,40197
2015-05-21,40197
2015-05-22,41477
2015-05-23,41477
2015-05-24,42859
2015-05-25,44169
2015-05-26,44169
2015-05-27,45838
2015-05-28,46846
2015-05-29,47316
2015-05-30,47153
2015-05-31,46991
2015-06-01,47306
2015-06-02,47306
2015-06-03,48608
2015-06-04,49486
2015-06-05,49546
2015-06-06,49665
2015-06-07,49506
2015-06-08,49612
2015-06-09,49042
2015-06-10,49072
2015-06-11,49062
2015-06-12,48583
2015-06-13,48899
2015-06-14,49021
2015-06-15,49067
2015-06-16,49127
2015-06-17,49219
2015-06-18,49344
2015-06-19,49415
2015-06-20,49111
2015-06-21,48079
2015-06-22,47959
2015-06-23,47032
2015-06-24,45868
2015-06-25,45868
2015-06-26,45699
2015-06-27,47203
2015-06-28,47012
2015-06-29,47270
2015-06-30,47610
2015-07-01,47975
2015-07-02,47975
2015-07-03,47871
2015-07-04,48101
2015-07-05,48336
2015-07-06,48379
2015-07-07,49275
2015-07-08,51735
2015-07-09,51735
2015-07-10,54260
2015-07-11,56745
2015-07-12,59225
2015-07-13,61986
2015-07-14,61780
2015-07-15,62141
2015-07-16,62052
2015-07-17,62703
2015-07-18,62703
2015-07-19,63093
2015-07-20,63603
2015-07-21,65010
2015-07-22,65223
2015-07-23,65223
2015-07-24,67370
2015-07-25,70458
2015-07-26,73243
2015-07-27,76165
2015-07-28,79486
2015-07-29,81060
2015-07-30,83514
2015-07-31,85328
2015-08-01,87695
2015-08-02,89452
2015-08-03,90918
2015-08-04,92270
2015-08-05,92321
2015-08-06,92529
2015-08-07,95703
2015-08-08,96517
2015-08-09,97088
2015-08-10,97103
2015-08-11,95632
2015-08-12,95632
2015-08-13,92486
2015-08-14,87861
2015-08-15,84199
2015-08-16,80391
2015-08-17,77270
2015-08-18,73850
2015-08-19,73582
2015-08-20,72346
2015-08-21,70779
2015-08-22,68554
2015-08-23,68444
2015-08-24,67570
2015-08-25,67570
2015-08-26,67473
2015-08-27,66794
2015-08-28,66641
2015-08-29,65627
2015-08-30,64437
2015-08-31,64140
2015-09-01,64205
2015-09-02,64205
2015-09-03,64368
2015-09-04,65511
2015-09-05,65511
2015-09-06,66629
2015-09-07,67842
2015-09-08,69043
2015-09-09,71504
2015-09-10,72623
2015-09-11,74728
2015-09-12,76856
2015-09-13,78594
2015-09-14,80793
2015-09-15,83097
2015-09-16,83097
2015-09-17,81266
2015-09-18,83095
2015-09-19,85164
2015-09-20,87254
2015-09-21,91067
2015-09-22,95449
2015-09-23,100159
2015-09-24,100159
2015-09-25,104490
2015-09-27,106738
2015-09-28,107096
2015-09-29,106653
2015-09-30,104431
2015-10-05,91112
2015-10-06,86605
2015-10-07,83578
2015-10-08,80747
2015-10-09,80746
2015-10-10,80746
2015-10-11,79660
2015-10-12,79696
2015-10-13,79696
2015-10-14,79604
2015-10-15,80573
2015-10-16,81168
2015-10-17,81168
2015-10-18,82948
2015-10-19,82479
2015-10-20,81279
2015-10-22,80142
2015-10-23,79239
2015-10-24,77728
2015-10-25,76050
2015-10-26,76267
2015-10-27,76267
2015-10-29,77783
2015-10-30,79409
2015-10-31,79881
2015-11-01,79881
2015-11-02,81212
2015-11-03,81922
2015-11-04,80499
2015-11-05,80304
2015-11-06,80304
2015-11-07,80835
2015-11-08,80835
2015-11-09,80806
2015-11-10,80806
2015-11-11,81829
2015-11-12,82456
2015-11-13,82456
2015-11-14,82109
2015-11-15,81848
2015-11-16,82003
2015-11-17,83007
2015-11-18,82603
2015-11-19,80888
2015-11-20,78775
2015-11-21,78775
2015-11-22,76077
2015-11-23,76077
2015-11-24,73073
2015-11-25,71018
2015-11-26,71018
2015-11-27,71783
2015-11-28,71612
2015-11-29,70699
2015-11-30,69660
2015-12-01,69660
2015-12-02,68971
2015-12-03,68390
2015-12-04,68390
2015-12-05,67931
2015-12-06,67562
2015-12-07,67605
2015-12-08,67550
2015-12-09,69001
2015-12-10,69908
2015-12-11,69975
2015-12-13,68756
2015-12-14,68756
2015-12-15,69148
2015-12-16,69641
2015-12-17,69641
2015-12-18,70387
2015-12-19,71040
2015-12-20,70126
2015-12-21,69302
2015-12-22,69819
2015-12-23,70405
2015-12-24,71276
2015-12-25,72063
2015-12-26,72339
2015-12-27,73256
2015-12-28,73524
2015-12-29,74114
2015-12-30,74544
2015-12-31,75001
2016-01-01,75178
2016-01-02,75080
2016-01-03,74317
2016-01-04,73636
2016-01-05,72730
2016-01-06,72449
2016-01-07,71677
2016-01-08,71651
2016-01-09,72062
2016-01-10,72018
2016-01-11,71973
2016-01-12,71356
2016-01-13,70543
2016-01-14,69949
2016-01-15,69898
2016-01-16,70721
2016-01-17,71160
2016-01-18,70461
2016-01-19,69862
2016-01-20,69194
2016-01-21,68937
2016-01-22,68614
2016-01-23,68286
2016-01-24,67117
2016-01-25,66573
2016-01-26,66907
2016-01-27,64735
2016-01-28,64735
2016-01-29,63662
2016-01-30,63662
2016-01-31,62531
2016-02-01,62268
2016-02-02,62108
2016-02-03,61547
2016-02-04,61524
2016-02-05,59941
2016-02-06,58711
2016-02-07,57705
2016-02-08,56989
2016-02-09,56044
2016-02-10,55324
2016-02-11,54796
2016-02-12,54284
2016-02-13,53519
2016-02-14,53519
2016-02-15,53091
2016-02-16,51780
2016-02-17,51970
2016-02-18,52799
2016-02-19,53738
2016-02-20,54151
2016-02-21,54159
2016-02-22,54159
2016-02-23,54666
2016-02-24,55340
2016-02-25,56072
2016-02-26,56072
2016-02-27,57096
2016-02-28,57884
2016-02-29,58471
2016-03-01,56748
2016-03-02,55071
2016-03-03,54087
2016-03-04,53853
2016-03-05,53525
2016-03-06,52656
2016-03-07,52106
2016-03-08,51690
2016-03-09,51829
2016-03-10,51465
2016-03-11,51443
2016-03-12,51032
2016-03-13,49721
2016-03-14,49282
2016-03-15,49560
2016-03-16,50593
2016-03-17,51832
2016-03-18,52755
2016-03-19,52727
2016-03-20,52317
2016-03-21,52021
2016-03-22,51871
2016-03-23,52328
2016-03-24,52691
2016-03-25,52650
2016-03-26,52473
2016-03-27,52696
2016-03-28,53040
2016-03-29,53590
2016-03-30,53590
2016-03-31,53783
2016-04-01,54047
2016-04-02,54174
2016-04-03,54232
2016-04-04,54070
2016-04-05,54355
2016-04-06,54017
2016-04-07,53691
2016-04-08,53838
2016-04-09,53306
2016-04-10,53296
2016-04-11,53296
2016-04-12,53392
2016-04-13,53496
2016-04-14,53640
2016-04-15,53734
2016-04-16,53303
2016-04-17,54155
2016-04-18,54058
2016-04-19,54131
2016-04-20,54233
2016-04-21,53431
2016-04-22,52162
2016-04-23,51351
2016-04-24,49692
2016-04-25,48736
2016-04-26,48005
2016-04-27,47426
2016-04-28,47508
2016-04-29,47318
2016-04-30,46803
2016-05-01,46309
2016-05-02,45727
2016-05-03,44586
2016-05-04,43489
2016-05-05,43375
2016-05-06,43375
2016-05-07,43072
2016-05-08,43030
2016-05-09,42620
2016-05-10,42663
2016-05-11,42915
2016-05-12,43218
2016-05-13,43460
2016-05-14,43691
2016-05-15,43977
2016-05-16,44163
2016-05-17,44618
2016-05-18,44914
2016-05-19,45559
2016-05-22,46164
2016-05-23,46535
2016-05-24,47090
2016-05-25,46384
2016-05-26,46479
2016-05-27,46642
2016-05-28,46664
2016-05-29,46101
2016-05-30,46101
2016-05-31,45927
2016-06-01,45848
2016-06-02,45139
2016-06-03,45266
2016-06-04,44728
2016-06-05,44469
2016-06-06,44446
2016-06-07,44421
2016-06-08,44524
2016-06-09,45141
2016-06-10,45229
2016-06-11,45183
2016-06-12,45203
2016-06-13,45671
2016-06-14,45970
2016-06-15,46079
2016-06-16,45189
2016-06-17,45044
2016-06-18,44812
2016-06-19,44979
2016-06-20,44925
2016-06-21,44905
2016-06-22,45353
2016-06-23,45239
2016-06-24,45809
2016-06-25,46292
2016-06-26,46609
2016-06-27,46088
2016-06-28,46049
2016-06-29,45831
2016-06-30,45610
2016-07-01,45708
2016-07-02,46104
2016-07-03,46654
2016-07-04,46401
2016-07-05,46452
2016-07-06,45854
2016-07-07,45465
2016-07-08,45084
2016-07-09,44815
2016-07-10,43781
2016-07-11,43000
2016-07-12,42194
2016-07-13,41250
2016-07-14,40490
2016-07-15,39191
2016-07-16,38767
2016-07-17,38624
2016-07-18,37386
2016-07-24,32191
2016-07-25,31797
2016-07-26,31411
2016-07-27,30887
2016-07-28,30386
2016-07-29,30403
2016-07-30,29864
2016-07-31,29406
2016-08-01,28692
2016-08-02,28475
2016-08-03,28350
2016-08-04,28487
2016-08-05,28646
2016-08-06,28775
2016-08-07,28600
2016-08-08,28849
2016-08-09,28976
2016-08-10,29406
2016-08-11,29470
2016-08-12,29954
2016-08-13,30341
2016-08-14,30691
2016-08-15,30924
2016-08-16,31630
2016-08-17,32373
2016-08-18,32600
2016-08-19,32796
2016-08-20,31488
2016-08-21,31257
2016-08-22,31096
2016-08-23,30846
2016-08-24,30581
2016-08-25,30979
2016-08-26,30979
2016-08-28,31024
2016-08-31,31285
2016-09-01,31553
2016-09-02,31553
2016-09-03,31303
2016-09-04,31302
2016-09-05,31309
2016-09-06,31461
2016-09-07,31749
2016-09-08,31785
2016-09-09,32084
2016-09-10,31912
2016-09-11,31912
2016-09-12,31737
2016-09-13,31669
2016-09-14,31819
2016-09-15,31791
2016-09-16,31995
2016-09-17,32425
2016-09-18,31798
2016-09-19,31973
2016-09-20,30855
2016-09-21,30965
2016-09-22,31066
2016-09-23,31373
2016-09-24,31373
2016-09-25,31485
2016-09-26,32367
2016-09-27,32841
2016-09-28,33484
2016-09-29,33475
2016-09-30,33356
2016-10-01,33598
2016-10-02,33598
2016-10-03,33530
2016-10-04,33524
2016-10-05,34352
2016-10-06,35099
2016-10-07,35353
2016-10-08,35814
2016-10-09,36455
2016-10-10,36992
2016-10-11,37964
2016-10-12,38720
2016-10-13,39257
2016-10-14,39750
2016-10-15,40507
2016-10-16,41135
2016-10-17,42204
2016-10-18,43395
2016-10-19,43621
2016-10-20,44604
2016-10-21,45411
2016-10-22,45411
2016-10-23,45994
2016-10-24,46969
2016-10-25,46969
2016-10-26,47552
2016-10-27,48120
2016-10-28,48633
2016-10-29,49294
2016-10-30,49206
2016-10-31,49477
2016-11-01,49477
2016-11-02,49311
2016-11-03,49367
2016-11-04,49182
2016-11-05,49182
2016-11-06,48725
2016-11-07,48181
2016-11-08,47139
2016-11-09,45938
2016-11-10,43982
2016-11-11,42550
2016-11-12,41706
2016-11-13,41967
2016-11-14,41529
2016-12-08,43861
2016-12-09,43096
2016-12-10,42465
2016-12-11,41986
2016-12-12,41427
2016-12-13,41031
2016-12-14,40723
2016-12-15,40151
2016-12-16,39801
2016-12-17,39308
2016-12-18,39165
2016-12-19,38878
2016-12-20,38424
2016-12-21,37999
2016-12-22,36682
2016-12-23,36702
2016-12-24,34965
2016-12-25,33373
2016-12-26,32596
2016-12-27,31961
2016-12-28,31386
2016-12-29,31146
2016-12-30,31221
2016-12-31,31633
2017-01-01,32013
2017-01-02,31883
2017-01-03,31817
2017-01-04,31337
2017-01-05,30850
2017-01-06,30084
2017-01-07,29519
2017-01-08,29258
2017-01-09,29249
2017-01-10,29767
2017-01-11,30134
2017-01-12,30350
2017-01-13,30429
2017-01-14,30171
