date_obj,Mystic%20lava%20staff price
2015-03-26,130492
2015-03-27,130492
2015-03-28,125068
2015-03-29,125068
2015-03-30,125068
2015-03-31,125068
2015-04-01,125068
2015-04-02,125068
2015-04-03,125068
2015-04-04,125068
2015-04-05,125068
2015-04-06,125068
2015-04-07,125068
2015-04-08,125068
2015-04-09,125068
2015-04-10,125068
2015-04-11,125068
2015-04-12,120379
2015-04-13,120379
2015-04-14,120379
2015-04-15,120379
2015-04-16,120379
2015-04-17,120379
2015-04-18,120379
2015-04-19,120379
2015-04-20,120379
2015-04-21,120379
2015-04-22,120379
2015-04-23,120379
2015-04-24,120379
2015-04-25,120379
2015-04-26,120379
2015-04-27,114993
2015-04-28,114993
2015-04-29,114993
2015-04-30,114993
2015-05-01,114993
2015-05-02,114993
2015-05-03,114993
2015-05-04,114993
2015-05-05,114993
2015-05-06,114993
2015-05-07,114993
2015-05-08,114993
2015-05-09,114993
2015-05-10,114993
2015-05-11,109391
2015-05-12,109391
2015-05-13,109391
2015-05-14,109391
2015-05-15,109391
2015-05-16,109391
2015-05-17,109391
2015-05-18,109391
2015-05-19,109391
2015-05-20,109391
2015-05-21,109391
2015-05-22,109391
2015-05-23,109391
2015-05-24,109391
2015-05-25,103971
2015-05-26,103971
2015-05-27,103971
2015-05-28,103971
2015-05-29,103971
2015-05-30,103971
2015-05-31,98884
2015-06-01,98884
2015-06-02,98884
2015-06-03,98884
2015-06-04,98884
2015-06-05,98884
2015-06-06,98884
2015-06-07,94072
2015-06-08,94072
2015-06-09,94072
2015-06-10,94072
2015-06-11,94072
2015-06-12,94072
2015-06-13,94072
2015-06-14,89624
2015-06-15,89624
2015-06-16,89624
2015-06-17,89624
2015-06-18,89624
2015-06-19,89624
2015-06-20,89624
2015-06-21,86053
2015-06-22,86053
2015-06-23,86053
2015-06-24,86053
2015-06-25,86053
2015-06-26,86053
2015-06-27,86053
2015-06-28,81800
2015-06-29,81800
2015-06-30,81800
2015-07-01,81800
2015-07-02,81800
2015-07-03,81800
2015-07-04,81800
2015-07-05,81800
2015-07-06,77785
2015-07-07,77785
2015-07-08,77785
2015-07-09,77785
2015-07-10,77785
2015-07-11,77785
2015-07-12,73971
2015-07-13,73971
2015-07-14,73971
2015-07-15,73971
2015-07-16,73971
2015-07-17,73971
2015-07-18,70328
2015-07-19,70328
2015-07-20,70328
2015-07-21,70328
2015-07-22,70328
2015-07-23,70328
2015-07-24,67022
2015-07-25,67022
2015-07-26,67022
2015-07-27,67022
2015-07-28,67022
2015-07-29,67022
2015-07-30,67022
2015-07-31,63806
2015-08-01,63806
2015-08-02,63806
2015-08-03,63806
2015-08-04,63806
2015-08-05,63806
2015-08-06,60703
2015-08-07,60703
2015-08-08,60703
2015-08-09,60703
2015-08-10,60703
2015-08-11,60703
2015-08-12,58868
2015-08-13,58868
2015-08-14,58868
2015-08-15,58868
2015-08-16,58868
2015-08-17,58868
2015-08-18,56509
2015-08-19,56509
2015-08-20,56509
2015-08-21,56509
2015-08-22,56509
2015-08-23,56509
2015-08-24,57045
2015-08-25,57045
2015-08-26,57045
2015-08-27,57045
2015-08-28,57045
2015-08-29,57045
2015-08-30,57045
2015-08-31,57485
2015-09-01,57485
2015-09-02,57485
2015-09-03,57485
2015-09-04,57485
2015-09-05,57485
2015-09-06,57485
2015-09-07,56395
2015-09-08,56395
2015-09-09,56395
2015-09-10,56395
2015-09-11,56395
2015-09-12,56395
2015-09-13,53575
2015-09-14,53575
2015-09-15,53575
2015-09-16,53575
2015-09-17,53575
2015-09-18,53575
2015-09-19,51406
2015-09-20,51406
2015-09-21,51406
2015-09-22,51406
2015-09-23,51406
2015-09-24,51406
2015-09-25,51406
2015-09-27,50902
2015-09-28,50902
2015-09-29,50902
2015-09-30,50902
2015-10-05,41965
2015-10-06,39960
2015-10-07,38161
2015-10-08,36376
2015-10-09,34557
2015-10-10,34557
2015-10-11,32829
2015-10-12,32829
2015-10-13,31187
2015-10-14,31187
2015-10-15,29627
2015-10-16,29627
2015-10-17,28145
2015-10-18,28145
2015-10-19,26758
2015-10-20,26758
2015-10-22,25972
2015-10-23,26210
2015-10-24,26210
2015-10-25,26291
2015-10-26,26291
2015-10-27,26291
2015-10-29,26433
2015-10-30,26433
2015-10-31,26627
2015-11-01,26627
2015-11-02,26627
2015-11-03,26794
2015-11-04,26794
2015-11-05,26794
2015-11-06,27204
2015-11-07,27204
2015-11-08,27204
2015-11-09,27246
2015-11-10,27246
