date_obj,Ring%20of%20forging price
2015-03-26,1122
2015-03-27,1122
2015-03-28,1128
2015-03-29,1117
2015-03-30,1070
2015-03-31,1059
2015-04-01,1059
2015-04-02,1071
2015-04-03,1046
2015-04-04,1095
2015-04-05,1095
2015-04-06,1129
2015-04-07,1097
2015-04-08,1097
2015-04-09,1094
2015-04-10,1124
2015-04-11,1137
2015-04-12,1136
2015-04-13,1130
2015-04-14,1130
2015-04-15,1111
2015-04-16,1111
2015-04-17,1061
2015-04-18,1042
2015-04-19,1020
2015-04-20,1020
2015-04-21,1059
2015-04-22,1059
2015-04-23,1100
2015-04-24,1100
2015-04-25,1136
2015-04-26,1136
2015-04-27,1169
2015-04-28,1197
2015-04-29,1197
2015-04-30,1174
2015-05-01,1199
2015-05-02,1164
2015-05-03,1164
2015-05-04,1143
2015-05-05,1143
2015-05-06,1123
2015-05-07,1085
2015-05-08,1085
2015-05-09,1047
2015-05-10,1056
2015-05-11,1056
2015-05-12,1037
2015-05-13,1037
2015-05-14,1046
2015-05-15,1046
2015-05-16,1045
2015-05-17,1058
2015-05-18,1058
2015-05-19,1040
2015-05-20,1040
2015-05-21,1040
2015-05-22,1023
2015-05-23,1023
2015-05-24,1001
2015-05-25,1007
2015-05-26,1007
2015-05-27,1004
2015-05-28,1015
2015-05-29,1027
2015-05-30,1037
2015-05-31,1037
2015-06-01,1055
2015-06-02,1055
2015-06-03,1061
2015-06-04,1061
2015-06-05,1113
2015-06-06,1169
2015-06-07,1215
2015-06-08,1215
2015-06-09,1157
2015-06-10,1121
2015-06-11,1121
2015-06-12,1082
2015-06-13,1097
2015-06-14,1097
2015-06-15,1066
2015-06-16,1103
2015-06-17,1103
2015-06-18,1100
2015-06-19,1100
2015-06-20,1128
2015-06-21,1128
2015-06-22,1113
2015-06-23,1113
2015-06-24,1095
2015-06-25,1095
2015-06-26,1115
2015-06-27,1115
2015-06-28,1094
2015-06-29,1094
2015-06-30,1082
2015-07-01,1073
2015-07-02,1073
2015-07-03,1067
2015-07-04,1067
2015-07-05,1069
2015-07-06,1069
2015-07-07,1104
2015-07-08,1092
2015-07-09,1092
2015-07-10,1107
2015-07-11,1107
2015-07-12,1134
2015-07-13,1100
2015-07-14,1100
2015-07-15,1079
2015-07-16,1079
2015-07-17,1088
2015-07-18,1088
2015-07-19,1077
2015-07-20,1100
2015-07-21,1100
2015-07-22,1104
2015-07-23,1104
2015-07-24,1098
2015-07-25,1098
2015-07-26,1081
2015-07-27,1090
2015-07-28,1090
2015-07-29,1126
2015-07-30,1126
2015-07-31,1161
2015-08-01,1161
2015-08-02,1220
2015-08-03,1220
2015-08-04,1246
2015-08-05,1196
2015-08-06,1196
2015-08-07,1172
2015-08-08,1176
2015-08-09,1162
2015-08-10,1161
2015-08-11,1149
2015-08-12,1149
2015-08-13,1139
2015-08-14,1093
2015-08-15,1093
2015-08-16,1085
2015-08-17,1097
2015-08-18,1097
2015-08-19,1120
2015-08-20,1120
2015-08-21,1095
2015-08-22,1095
2015-08-23,1092
2015-08-24,1122
2015-08-25,1122
2015-08-26,1137
2015-08-27,1131
2015-08-28,1131
2015-08-29,1098
2015-08-30,1098
2015-08-31,1087
2015-09-01,1087
2015-09-02,1099
2015-09-03,1099
2015-09-04,1083
2015-09-05,1083
2015-09-06,1098
2015-09-07,1098
2015-09-08,1138
2015-09-09,1138
2015-09-10,1181
2015-09-11,1181
2015-09-12,1193
2015-09-13,1214
2015-09-14,1214
2015-09-15,1171
2015-09-16,1171
2015-09-17,1167
2015-09-18,1167
2015-09-19,1171
2015-09-20,1171
2015-09-21,1199
2015-09-22,1199
2015-09-23,1212
2015-09-24,1212
2015-09-25,1198
2015-09-27,1164
2015-09-28,1164
2015-09-29,1122
2015-09-30,1090
2015-10-05,1078
2015-10-06,1114
2015-10-07,1114
2015-10-08,1095
2015-10-09,1103
2015-10-10,1103
2015-10-11,1080
2015-10-12,1080
2015-10-13,1050
2015-10-14,1050
2015-10-15,1044
2015-10-16,1044
2015-10-17,1052
2015-10-18,1052
2015-10-19,1073
2015-10-20,1073
2015-10-22,1070
2015-10-23,1102
2015-10-24,1102
2015-10-25,1120
2015-10-26,1120
2015-10-27,1115
2015-10-29,1081
2015-10-30,1081
2015-10-31,1070
2015-11-01,1070
2015-11-02,1083
2015-11-03,1083
2015-11-04,1073
2015-11-05,1073
2015-11-06,1085
2015-11-07,1109
2015-11-08,1109
2015-11-09,1121
2015-11-10,1121
2015-11-11,1090
2015-11-12,1090
2015-11-13,1112
2015-11-14,1112
2015-11-15,1096
2015-11-16,1096
2015-11-17,1126
2015-11-18,1126
2015-11-19,1120
2015-11-20,1120
2015-11-21,1119
2015-11-22,1136
2015-11-23,1136
2015-11-24,1121
2015-11-25,1073
2015-11-26,1073
2015-11-27,1061
2015-11-28,1061
2015-11-29,1063
2015-11-30,1063
2015-12-01,1053
2015-12-02,1053
2015-12-03,1078
2015-12-04,1078
2015-12-05,1086
2015-12-06,1113
2015-12-07,1113
2015-12-08,1096
2015-12-09,1126
2015-12-10,1126
2015-12-11,1142
2015-12-12,1142
2015-12-13,1171
2015-12-14,1171
2015-12-15,1151
2015-12-16,1151
2015-12-17,1149
2015-12-18,1165
2015-12-19,1165
2015-12-20,1139
2015-12-21,1139
2015-12-22,1152
2015-12-23,1152
2015-12-24,1134
2015-12-25,1134
2015-12-26,1130
2015-12-27,1124
2015-12-28,1124
2015-12-29,1116
2015-12-30,1097
2015-12-31,1097
2016-01-01,1111
2016-01-02,1111
2016-01-03,1132
2016-01-04,1117
2016-01-05,1117
2016-01-06,1109
2016-01-07,1109
2016-01-08,1112
2016-01-09,1112
2016-01-10,1114
2016-01-11,1114
2016-01-12,1122
2016-01-13,1122
2016-01-14,1102
2016-01-15,1102
2016-01-16,1123
2016-01-17,1123
2016-01-18,1103
2016-01-19,1103
2016-01-20,1106
2016-01-21,1106
2016-01-22,1104
2016-01-23,1104
2016-01-24,1125
2016-01-25,1118
2016-01-26,1118
2016-01-27,1128
2016-01-28,1128
2016-01-29,1148
2016-01-30,1148
2016-01-31,1151
2016-02-01,1127
2016-02-02,1127
2016-02-03,1104
2016-02-04,1104
2016-02-05,1129
2016-02-06,1129
2016-02-07,1129
2016-02-08,1120
2016-02-09,1120
2016-02-10,1120
2016-02-11,1120
2016-02-12,1154
2016-02-13,1157
2016-02-14,1157
2016-02-15,1184
2016-02-16,1184
2016-02-17,1124
2016-02-18,1124
2016-02-19,1098
2016-02-20,1098
2016-02-21,1077
2016-02-22,1077
2016-02-23,1083
2016-02-24,1083
2016-02-25,1110
2016-02-26,1110
2016-02-27,1137
2016-02-28,1137
2016-02-29,1101
2016-03-01,1084
2016-03-02,1084
2016-03-03,1061
2016-03-04,1057
2016-03-05,1074
2016-03-06,1083
2016-03-07,1083
2016-03-08,1106
2016-03-09,1131
2016-03-10,1102
2016-03-11,1102
2016-03-12,1088
2016-03-13,1088
2016-03-14,1081
2016-03-15,1122
2016-03-16,1126
2016-03-17,1126
2016-03-18,1129
2016-03-19,1129
2016-03-20,1119
2016-03-21,1119
2016-03-22,1126
2016-03-23,1111
2016-03-24,1111
2016-03-25,1103
2016-03-26,1106
2016-03-27,1106
2016-03-28,1089
2016-03-29,1095
2016-03-30,1095
2016-03-31,1102
2016-04-01,1102
2016-04-02,1088
2016-04-03,1066
2016-04-04,1107
2016-04-05,1107
2016-04-06,1156
2016-04-07,1156
2016-04-08,1116
2016-04-09,1081
2016-04-10,1062
2016-04-11,1062
2016-04-12,1073
2016-04-13,1073
2016-04-14,1113
2016-04-15,1109
2016-04-16,1124
2016-04-17,1158
2016-04-18,1162
2016-04-19,1162
2016-04-20,1138
2016-04-21,1103
2016-04-22,1103
2016-04-23,1099
2016-04-24,1078
2016-04-25,1091
2016-04-26,1088
2016-04-27,1107
2016-04-28,1107
2016-04-29,1087
2016-04-30,1097
2016-05-01,1097
2016-05-02,1088
2016-05-03,1094
2016-05-04,1094
2016-05-05,1062
2016-05-06,1062
2016-05-07,1036
2016-05-08,1036
2016-05-09,1027
2016-05-10,1025
2016-05-11,1025
2016-05-12,1038
2016-05-13,1075
2016-05-14,1080
2016-05-15,1109
2016-05-16,1109
2016-05-17,1084
2016-05-18,1099
2016-05-19,1099
2016-05-22,1127
2016-05-23,1135
2016-05-24,1159
2016-05-25,1159
2016-05-26,1153
2016-05-27,1119
2016-05-28,1119
2016-05-29,1122
2016-05-30,1122
2016-05-31,1094
2016-06-01,1120
2016-06-02,1120
2016-06-03,1122
2016-06-04,1162
2016-06-05,1162
2016-06-06,1106
2016-06-07,1106
2016-06-08,1064
2016-06-09,1096
2016-06-10,1133
2016-06-11,1133
2016-06-12,1157
2016-06-13,1157
2016-06-14,1120
2016-06-15,1120
2016-06-16,1116
2016-06-17,1109
